Date,Open,High,Low,Close,Volume,Adj Close
2014-07-03,188.39,188.81,187.35,188.53,2422400,188.53
2014-07-02,186.34,188.99,186.17,188.39,5093000,188.39
2014-07-01,181.70,187.27,181.70,186.35,6643100,186.35
2014-06-30,181.33,181.93,180.26,181.27,4223800,181.27
2014-06-27,179.77,182.46,179.66,181.71,4575500,181.71
2014-06-26,180.87,181.37,179.27,180.37,3258500,180.37
2014-06-25,180.25,180.97,180.06,180.72,2762800,180.72
2014-06-24,181.50,183.00,180.65,180.88,3875400,180.88
2014-06-23,181.92,182.25,181.00,182.14,3231700,182.14
2014-06-20,182.59,182.67,181.40,181.55,10686800,181.55
2014-06-19,184.12,184.47,182.36,182.82,3551100,182.82
2014-06-18,182.04,183.61,181.79,183.60,3931800,183.60
2014-06-17,181.90,182.81,181.56,182.26,2445400,182.26
2014-06-16,182.40,182.71,181.24,182.35,3538700,182.35
2014-06-13,182.00,183.00,181.52,182.56,2773600,182.56
2014-06-12,182.48,182.55,180.91,181.22,4425300,181.22
2014-06-11,183.61,184.20,182.01,182.25,4061700,182.25
2014-06-10,186.20,186.22,183.82,184.29,4154900,184.29
2014-06-09,186.22,187.64,185.96,186.22,2728400,186.22
2014-06-06,186.47,187.65,185.90,186.37,3296700,186.37
2014-06-05,184.66,186.09,183.92,185.98,2852200,185.98
2014-06-04,184.71,185.45,184.20,184.51,2376800,184.51
2014-06-03,185.55,185.76,184.12,184.37,2517100,184.37
2014-06-02,184.76,186.28,184.67,185.69,3200500,185.69
2014-05-30,183.38,184.57,182.49,184.36,4620500,184.36
2014-05-29,183.64,183.78,182.33,183.76,2759900,183.76
2014-05-28,184.48,184.88,182.94,183.08,3721600,183.08
2014-05-27,184.80,185.65,183.93,184.78,4793800,184.78
2014-05-23,185.84,186.14,185.31,185.94,2562900,185.94
2014-05-22,186.45,186.45,185.03,185.68,2218000,185.68
2014-05-21,185.85,187.16,184.95,186.39,2988000,186.39
2014-05-20,186.25,186.70,184.70,184.89,3026500,184.89
2014-05-19,186.61,187.13,186.04,187.00,3270700,187.00
2014-05-16,186.27,187.41,185.93,187.06,3949500,187.06
2014-05-15,189.07,189.08,186.18,186.46,4202200,186.46
2014-05-14,191.91,191.99,188.17,188.72,5251500,188.72
2014-05-13,192.79,193.03,191.76,192.19,2226600,192.19
2014-05-12,191.12,193.02,190.94,192.57,3777400,192.57
2014-05-09,188.98,190.59,188.37,190.08,2261600,190.08
2014-05-08,189.16,190.57,188.23,188.91,2431900,188.91
2014-05-07,189.34,190.30,186.93,189.30,3821000,189.30
2014-05-06,190.93,190.95,189.25,190.03,3188700,188.93
2014-05-05,191.05,191.49,189.80,191.26,2222100,190.15
2014-05-02,193.75,193.84,191.25,191.44,3049900,190.33
2014-05-01,196.31,196.74,193.15,193.53,3674000,192.41
2014-04-30,194.38,196.86,194.35,196.47,4206800,195.33
2014-04-29,193.59,195.94,193.41,195.11,4626300,193.98
2014-04-28,191.14,193.99,190.58,193.14,5638300,192.02
2014-04-25,190.54,190.67,189.11,189.63,3871000,188.53
2014-04-24,192.22,192.22,190.03,190.22,4407100,189.12
2014-04-23,191.79,192.41,190.11,191.73,4736400,190.62
2014-04-22,192.01,193.00,191.20,192.15,3878600,191.04
2014-04-21,189.80,192.81,189.74,192.27,5419700,191.16
2014-04-17,187.25,190.70,187.01,190.01,11255500,188.91
2014-04-16,198.05,198.71,195.00,196.40,8527300,195.26
2014-04-15,195.98,197.41,195.42,197.02,5351300,195.88
2014-04-14,196.24,198.24,195.88,197.77,5431100,196.63
2014-04-11,195.04,197.00,194.27,195.19,4835000,194.06
2014-04-10,196.06,199.21,195.66,195.68,8417900,194.55
2014-04-09,193.88,197.00,193.60,196.64,5480100,195.50
2014-04-08,193.89,194.17,192.69,193.29,5125000,192.17
2014-04-07,191.72,195.31,191.57,194.52,6740500,193.39
2014-04-04,193.12,193.97,191.28,191.77,6089900,190.66
2014-04-03,193.20,193.38,192.35,192.69,4091100,191.57
2014-04-02,194.24,194.50,192.49,193.55,4924100,192.43
2014-04-01,193.12,195.13,192.78,194.50,5394100,193.37
2014-03-31,191.64,193.77,191.40,192.49,8537300,191.38
2014-03-28,189.94,192.62,189.11,190.45,5194400,189.35
2014-03-27,191.91,192.67,189.32,189.83,6767700,188.73
2014-03-26,194.98,195.63,191.96,192.62,6851700,191.51
2014-03-25,188.76,195.40,188.70,195.04,10912700,193.91
2014-03-24,187.43,189.44,187.37,188.25,5738500,187.16
2014-03-21,188.50,188.70,186.40,186.67,12535200,185.59
2014-03-20,184.47,188.26,184.17,187.90,5062600,186.81
2014-03-19,185.60,186.70,183.50,184.71,4323900,183.64
2014-03-18,185.99,187.90,185.54,186.81,3961300,185.73
2014-03-17,182.66,186.35,182.66,185.81,4938100,184.73
2014-03-14,183.89,184.29,182.21,182.21,5490300,181.16
2014-03-13,186.41,187.00,183.71,183.90,4913200,182.84
2014-03-12,186.01,187.45,185.89,186.22,4833000,185.14
2014-03-11,187.41,188.45,186.04,186.76,4229500,185.68
2014-03-10,187.55,188.37,185.85,186.39,4591200,185.31
2014-03-07,188.35,188.92,187.18,187.68,4117800,186.59
2014-03-06,187.37,188.39,186.90,187.64,3817300,186.55
