A,29.25,29.26,28.22,28.54,33832
AA,10.86,10.925,10.5,10.66,264198
AAPL,252.78,253.48,248.68,249.88,152394
ABC,29.3,29.41,28.75,29.17,26471
ABT,50.16,50.21,49.04,49.32,102187
ACE,54.17,54.17,53.26,53.32,22955
ADBE,27.99,28.14,27.27,27.69,51266
ADI,30.02,30.22,29.53,29.67,61245
ADM,30.77,30.86,30.22,30.23,53972
ADP,40.02,40.14,39.22,39.45,32099
ADSK,28.03,28.29,27.57,27.63,34729
AEE,27.44,27.52,26.93,27.11,21003
AEP,35.19,35.19,34.55,34.84,34823
AES,10.85,10.85,10.56,10.58,45238
AET,28.21,28.22,27.23,27.25,46816
AFL,47.73,47.73,46.35,46.56,43812
AGN,63.43,63.44,62.65,63.06,14894
AIG,36.84,36.8796,35.34,35.55,34737
AIV,20.15,20.2,19.65,19.84,21754
AIZ,37.35,37.41,36.66,36.72,9436
AKAM,43.8,45.39,43.75,45.01,64010
AKS,14.26,14.45,13.65,13.73,91428
ALL,28.22,28.25,27.78,28.04,42935
ALTR,25.61,25.96,25.24,25.5,61815
AMAT,11.41,11.62,11.29,11.36,219473
AMD,6.48,6.55,6.28,6.42,216584
AMGN,53.83,53.99,52.29,52.72,48955
AMP,44.44,44.77,43.42,43.45,26555
AMT,47.8,47.98,47.162,47.49,38157
AMZN,129.19,130.02,126.82,127.57,55824
AN,23.73,23.99,22.91,23.42,14412
ANF,36.14,36.62,35.46,35.67,48577
AON,37.29,37.34,36.9,36.96,27787
APA,92.49,92.83,91.17,91.75,34002
APC,51.89,51.89,49.6,50,71341
APD,76.68,76.68,74.18,75.59,18339
APH,42.09,42.32,41.36,41.48,12964
APOL,40.65,40.79,39.75,40.59,32517
ARG,66.4,66.4,65.97,66.25,6844
ATI,46.63,47.51,44.74,44.99,20586
AVB,104.95,105.09,103.21,104.01,14095
AVP,29.68,29.68,29.21,29.44,19350
AVY,34.65,34.75,33.64,34.05,6886
AXP,41.45,41.53,40.9,40.96,94746
AYE,22.65,22.65,22.19,22.29,19338
AZO,212.44,213.04,210.11,211,3695
BA,65.74,65.82,64.15,64.62,42015
BAC,13.28,13.37,13.01,13.02,1533447
BAX,45.65,45.73,44.74,44.99,30028
BBBY,38.96,39.48,38.13,38.56,44959
BBT,23.74,23.98,23.25,23.28,50423
BBY,33.09,33.38,32.49,32.66,40820
BCR,80.45,80.53,78.94,79.22,5208
BDX,71.96,72.04,70.71,71.31,10138
BEN,100.31,101.1896,98.08,98.42,10508
BF.B,62.13,62.13,60.92,61.22,2721
BHI,40.43,40.57,39.39,39.75,45185
BIG,30.96,31.37,30.7,31.08,15741
BIIB,56.21,56.28,54.68,55.06,23259
BK,24.99,25.05,24.53,24.59,62915
BLL,58.11,58.25,57.08,57.35,7435
BMC,36.3,37.73,36.3,37.59,53945
BMS,29.8,29.9,29.22,29.47,7376
BMY,26.2,26.29,25.81,26.06,82179
BRCM,32.71,33,32.24,32.29,90820
BRK.B,78.53,78.65,77.36,77.54,56912
BSX,5.91,5.97,5.79,5.84,218797
BTU,46.35,47.08,45.22,45.73,36188
BXP,82.74,82.83,80.53,81.24,15227
C,3.85,3.89,3.78,3.79,5386740
CA,18.58,18.84,18.23,18.39,41518
CAG,21.91,22.1,21.5,21.74,44197
CAH,31.31,31.38,30.8,31.13,36368
CAM,37.95,38.28,37.2,37.54,18135
CAT,69.87,70.5,68.42,69.29,96253
CB,53.37,53.37,52.83,53.03,30221
CBG,16.69,16.83,16.295,16.42,24466
CBS,14.1,14.19,13.64,13.76,85820
CCE,29.2,29.27,28.67,28.84,34766
CCL,33.07,33.13,31.9,32.16,39876
CEG,29.68,29.68,28.98,29.2,20796
CELG,55.11,55.17,53.58,53.91,40568
CEPH,58.74,59.59,58.23,58.7,12093
CERN,76.06,76.32,73.73,75.37,7234
CF,89.95,90.66,88.73,88.85,27548
CFN,22.37,22.63,21.99,22,16279
CHK,20.8,20.94,20.65,20.81,91722
CHRW,65.54,65.7,64.24,65.19,20009
CI,33.56,33.73,32.61,32.88,33676
CINF,27.26,27.29,26.8,26.83,9088
CL,76.78,76.93,76.13,76.75,29294
CLF,63.37,65,60.99,61.5,57702
CLX,64.94,65,64.24,64.4,8284
CMA,36.18,36.48,35.13,35.52,30836
CMCSA,17.96,18.04,17.59,17.84,207020
CME,246.16,246.23,240,240.76,7123
CMI,81.24,82.69,80.39,81.24,34418
CMS,17.13,17.13,16.82,17.04,41495
CNP,14.67,14.67,14.365,14.49,32350
CNX,35.39,35.74,34.1,34.37,38990
COF,38.83,38.888,37.44,37.61,63184
COG,29.58,29.67,28.91,29.59,26613
COH,37.84,37.9,36.78,37.16,27457
COL,56.15,56.31,54.77,55.36,10432
COP,55.11,55.2599,54.32,54.71,74963
COST,55.57,55.6265,54.6101,55.01,29462
CPB,36.77,36.82,36.18,36.51,19477
CPWR,7.49,7.55,7.37,7.39,21859
CRM,99.44,99.9,96.36,96.41,33316
CSC,42.15,42.29,41.82,42.01,10961
CSCO,22.33,22.5,22.01,22.22,713317
CSX,51.46,51.46,49.64,50.29,27811
CTAS,26.55,26.56,25.88,26.11,11590
CTL,36.18,36.19,35.86,36.05,32739
CTSH,59.61,60.05,58.78,59.07,25027
CTXS,58.8,59.39,57.895,57.94,46483
CVH,20.8,20.88,20.14,20.27,10264
CVS,28.99,29.05,28.5,28.52,104996
CVX,76.72,76.82,75.5,75.84,88706
D,43.97,44.08,43.55,43.67,47903
DD,41.3,41.43,40.26,40.59,51505
DE,66.7,66.9,64.78,65.71,50107
DELL,12.09,12.18,11.97,12.04,300258
DF,10.11,10.17,9.78,9.97,57749
DFS,14.77,14.84,14.38,14.4,46029
DGX,47.35,47.53,46.22,46.26,11166
DHI,10.56,10.58,10.34,10.43,43980
DHR,37.22,37.22,36.16,36.36,34760
DIS,33.72,33.78,33.06,33.19,120706
DISCA,37.78,38.01,37.2,37.37,11607
DNB,68.53,68.605,67.91,68.07,3723
DNR,15.24,15.46,15.05,15.22,40280
DO,61.16,61.37,59.75,60.13,12663
DOV,47.22,47.43,46.04,46.46,8119
DOW,25.55,25.59,24.72,24.91,93069
DPS,36.77,37.02,36.47,36.8,34109
DRI,41.32,41.62,40.75,41.06,11012
DTE,46.33,46.37,45.5,45.86,12197
DTV,38.22,38.34,37.56,38.05,92131
DUK,17.21,17.21,16.86,17.04,74093
DV,38.69,39.1,37.63,38.82,18328
DVA,64.59,64.67,63.2,63.67,7091
DVN,63.12,63.5,62.77,63,56196
EBAY,22.53,23.25,22.51,23.1325,252149
ECL,47.84,47.84,46.99,47.09,13628
ED,46.87,46.87,46.22,46.5,21151
EFX,30.76,30.85,30.39,30.56,10869
EIX,33.69,33.85,33.28,33.54,20617
EK,3.81,3.87,3.7,3.75,39462
EL,58.42,58.64,57.43,58.04,13200
EMC,18.67,18.87,18.4,18.55,337560
EMN,61.8,61.98,59.98,60.63,6299
EMR,48.34,48.455,47.11,47.39,35336
EOG,92.99,93.59,91.12,91.52,29536
EP,11.67,11.67,11.4,11.5,61214
EQR,45.82,45.87,44.31,44.66,28869
EQT,35.24,35.25,33.97,34.26,21134
ERTS,16.25,16.32,15.85,16.07,46719
ESRX,46.1,46.18,45.04,45.45,44305
ETFC,14.42,14.43,13.9,14.02,28673
ETN,75.06,75.54,73.06,73.38,20036
ETR,79.1,79.1,77.04,77.86,12138
EXC,41.01,41.01,40.34,40.56,40342
EXPD,41.86,41.95,40.57,41.54,19540
EXPE,23.61,23.786,23,23.5,50286
F,12.13,12.2,11.83,11.89,610589
FAST,49.15,49.48,47.53,47.82,13252
FCX,73.14,74.3,71.6,72.09,98683
FDO,43.47,44.03,43.06,43.17,16580
FDX,83.5,83.92,80.94,81.58,26999
FE,36.68,36.72,36.09,36.17,43304
FHN,10.21,10.32,9.87,10.21,33789
FII,20.63,20.7,20.2,20.27,6051
FIS,26.81,26.81,26.25,26.43,30515
FISV,51.61,51.77,50.74,50.93,15053
FITB,11.98,12.15,11.67,11.68,123175
FLIR,27.47,27.47,26.63,26.67,20010
FLR,47.33,47.51,46.57,46.75,22160
FLS,98.63,99.22,95.72,96.35,7484
FMC,62.89,62.92,61.11,61.59,3695
FO,44.19,44.3,42.84,42.96,9770
FRX,28.07,28.17,27.63,27.77,26677
FSLR,124.21,124.74,122.13,123.21,12534
FTI,63.36,64,61.8104,62.29,9086
FTR,7.84,7.88,7.77,7.79,126323
GAS,42.83,42.86,41.8,42.21,4035
GCI,12.71,12.85,12.5,12.54,65974
GD,62.31,62.35,60.39,60.62,24190
GE,15.56,15.64,15.05,15.25,823367
GENZ,66.6,66.71,65.844,65.9,30652
GILD,33.63,33.67,32.97,33.13,138418
GIS,35.14,35.29,34.912,35.13,41583
GLW,16.64,16.64,15.99,16.03,253587
GME,19.43,19.67,18.85,19.06,119353
GNW,11.92,12.03,11.53,11.54,73366
GOOG,481.41,482.51,467.25,467.97,39255
GPC,43.4,43.62,42.53,42.87,6945
GPS,17.94,18.2,17.59,17.71,111387
GR,73.62,73.68,72.05,72.42,8932
GS,148.67,149.66,146.28,147.05,52920
GT,10.49,10.54,9.95,9.99,39295
GWW,110.75,111.06,107.65,108.11,6573
HAL,28.61,28.7,28.15,28.56,106800
HAR,30.27,30.85,30.1,30.5,10623
HAS,43.85,43.89,42.53,43.01,10183
HBAN,5.5,5.56,5.36,5.39,137624
HCBK,11.75,11.835,11.6,11.71,34858
HCN,45.28,45.28,44.64,44.86,20091
HCP,34.73,34.81,33.84,34.17,35550
HD,28.56,28.85,27.97,28.22,141492
HES,52.51,52.74,51.89,51.99,38156
HIG,21.08,21.1,20.35,20.36,57114
HNZ,46.79,46.95,46.27,46.56,28703
HOG,26.3,26.41,25.25,25.41,24796
HON,41.89,41.89,40.46,40.77,60591
HOT,48.33,48.65,46.52,46.93,32718
HP,37.6,37.89,37.15,37.42,12625
HPQ,41.65,41.7,40.33,40.76,253496
HRB,13.86,13.91,13.59,13.72,22499
HRL,43.61,43.67,43.0612,43.37,7104
HRS,43.51,43.73,42.67,42.77,13936
HSP,52.8,52.885,51.435,52.15,13169
HST,14.17,14.19,13.6,13.65,82828
HSY,47.59,47.65,47.03,47.15,16254
HUM,50.13,50.13,48.735,48.81,14326
IBM,128.97,129.59,128.02,128.9,54025
ICE,99.22,99.7964,97.37,97.42,6883
IFF,46.64,46.64,45.46,45.66,5615
IGT,15.59,15.59,15.15,15.36,41135
INTC,19,19.13,18.81,18.9,1599004
INTU,39.14,39.36,38.51,38.77,33407
IP,21.65,21.82,21.11,21.28,53084
