exchange	stock_symbol	date	stock_price_open	stock_price_high	stock_price_low	stock_price_close	stock_volume	stock_price_adj_close
AMEX	HWG	2010-02-08	44	44	43.5	43.5	1100	43.5
AMEX	HWG	2010-02-05	44.6	44.6	44.1	44.12	1100	44.12
AMEX	HWG	2010-02-04	45.41	45.75	44.75	44.83	3300	44.83
AMEX	HWG	2010-02-03	45.14	46	45.14	46	6800	46
AMEX	HWG	2010-02-02	45	45.5	45	45.25	1400	45.25
AMEX	HWG	2010-02-01	44.75	46	44.45	45.04	13600	45.04
AMEX	HWG	2010-01-29	43.56	45	43.56	44.23	5400	44.23
AMEX	HWG	2010-01-28	45	46.44	42	43.25	13600	43.25
AMEX	HWG	2010-01-27	40.71	45	40.71	45	19300	45
AMEX	HWG	2010-01-26	37.51	41.75	37.51	41	12300	41
AMEX	HWG	2010-01-25	36.61	38.49	36.04	38.49	10700	38.49
AMEX	HWG	2010-01-22	36.66	36.66	34.5	36.01	15100	36.01
AMEX	HWG	2010-01-21	38	38.08	34.93	36.5	9600	36.5
AMEX	HWG	2010-01-20	39	39	38	38	900	38
AMEX	HWG	2010-01-19	39.4	39.4	38.5	38.5	4900	38.5
AMEX	HWG	2010-01-15	39.5	39.5	38.66	39.38	2500	39.38
AMEX	HWG	2010-01-14	38.37	39.73	38.37	39.5	1300	39.5
AMEX	HWG	2010-01-13	41.48	41.48	38.66	39	7500	39
AMEX	HWG	2010-01-12	42.52	43.1	41.15	41.15	8800	41.15
AMEX	HWG	2010-01-11	43.26	43.26	41.7	43	13800	43
AMEX	HWG	2010-01-08	40.21	41.95	40.21	41.7	8200	41.7
AMEX	HWG	2010-01-07	39.23	40.5	39.23	40.49	8300	40.49
AMEX	HWG	2010-01-06	39	39.7	38.5	39.7	6100	39.7
AMEX	HWG	2010-01-05	38.49	38.67	37.5	38.64	15900	38.64
AMEX	HWG	2010-01-04	39	39.25	38	38.47	8800	38.47
AMEX	HWG	2009-12-31	37.89	38.85	37.89	38.8	5300	38.8
AMEX	HWG	2009-12-30	37.03	37.85	36.93	37.6	8200	37.6
AMEX	HWG	2009-12-29	35.29	37.25	35.29	36.99	9000	36.99
AMEX	HWG	2009-12-28	34	35.24	34	35.15	10000	35.15
AMEX	HWG	2009-12-24	34.02	34.2	33.99	34.15	3100	34.15
AMEX	HWG	2009-12-23	34.13	34.25	33.76	34.19	800	34.19
AMEX	HWG	2009-12-22	33.95	34.49	33.8	33.8	1400	33.8
AMEX	HWG	2009-12-21	35.4	35.4	33.1	33.43	13500	33.43
AMEX	HWG	2009-12-18	36.55	37.24	35.32	35.99	8800	35.99
AMEX	HWG	2009-12-17	36.75	36.95	36.55	36.9	700	36.9
AMEX	HWG	2009-12-16	38.5	39	37.05	37.34	3700	37.34
AMEX	HWG	2009-12-15	38.5	39	37.34	38.5	6700	38.5
AMEX	HWG	2009-12-14	38.75	39	38.5	38.97	1100	38.97
AMEX	HWG	2009-12-11	38.11	40.24	37.54	38.45	5100	38.45
AMEX	HWG	2009-12-10	38.79	39.5	37.5	37.95	6100	37.95
AMEX	HWG	2009-12-09	36.52	38.87	36	38.87	14300	38.87
AMEX	HWG	2009-12-08	39.41	39.41	37.25	37.5	7900	37.5
AMEX	HWG	2009-12-07	40.76	41.25	39.51	40	8000	40
AMEX	HWG	2009-12-04	42.5	43	40.5	41	4300	41
AMEX	HWG	2009-12-03	42.2	43.25	41.5	42	6300	42
AMEX	HWG	2009-12-02	41.3	49.95	41.05	42	7100	42
AMEX	HWG	2009-12-01	41.96	43	40.9	41.3	7800	41.3
AMEX	HWG	2009-11-30	39.02	41.98	39.02	41.14	16500	41.14
AMEX	HWG	2009-11-27	37.01	42.12	36.29	38.68	10500	38.68
AMEX	HWG	2009-11-25	38.17	39.75	38.17	39	8200	39
AMEX	HWG	2009-11-24	40.46	41	37.31	38	9000	38
AMEX	HWG	2009-11-23	42.86	42.86	40.05	40.85	3500	40.85
AMEX	HWG	2009-11-20	40.7	41.2	40.3	41.2	3800	41.2
AMEX	HWG	2009-11-19	42.55	43	38.4	40.82	21500	40.82
AMEX	HWG	2009-11-18	45.25	46	42.42	43.5	12200	43.5
AMEX	HWG	2009-11-17	46	48.49	44.06	45.5	16900	45.5
AMEX	HWG	2009-11-16	39.6	45.75	39	45.5	42400	45.5
AMEX	HWG	2009-11-13	37	37.5	36.98	37.48	4500	37.48
AMEX	HWG	2009-11-12	36.5	36.5	36.5	36.5	300	36.5
AMEX	HWG	2009-11-11	36.6	36.99	35.81	36.95	1100	36.95
AMEX	HWG	2009-11-10	36.95	38	36.5	37	7300	37
AMEX	HWG	2009-11-09	36.27	36.27	34.5	36	8900	36
AMEX	HWG	2009-11-06	33	34.95	33	34.9	7000	34.9
AMEX	HWG	2009-11-05	31	34.4	31	33.4	16600	33.4
AMEX	HWG	2009-11-04	28.5	31	28.5	30.5	5300	30.5
