exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,TOH,2010-02-08,10.89,11.08,10.75,10.99,77800,10.99
AMEX,TOH,2010-02-05,10.72,11.05,10.50,11.00,156900,11.00
AMEX,TOH,2010-02-04,11.25,11.25,10.71,10.77,238900,10.77
AMEX,TOH,2010-02-03,11.30,11.44,11.28,11.38,150400,11.38
AMEX,TOH,2010-02-02,11.32,11.43,11.18,11.28,175500,11.28
AMEX,TOH,2010-02-01,10.86,11.22,10.86,11.21,401900,11.21
AMEX,TOH,2010-01-29,10.97,11.17,10.75,10.85,163700,10.85
AMEX,TOH,2010-01-28,10.94,11.20,10.87,10.99,264000,10.99
AMEX,TOH,2010-01-27,11.22,11.41,10.94,11.00,224100,11.00
AMEX,TOH,2010-01-26,11.20,11.23,10.95,11.11,166800,11.11
AMEX,TOH,2010-01-25,11.31,11.32,11.15,11.23,109500,11.23
AMEX,TOH,2010-01-22,11.28,11.41,11.05,11.19,165700,11.19
AMEX,TOH,2010-01-21,11.43,11.47,11.16,11.36,88900,11.36
AMEX,TOH,2010-01-20,11.58,11.70,11.32,11.37,316900,11.37
AMEX,TOH,2010-01-19,11.93,11.93,11.58,11.60,165200,11.60
AMEX,TOH,2010-01-15,12.00,12.14,11.68,11.73,197900,11.73
AMEX,TOH,2010-01-14,12.07,12.08,11.81,11.90,384100,11.90
AMEX,TOH,2010-01-13,11.58,11.98,11.46,11.88,639500,11.88
AMEX,TOH,2010-01-12,11.86,11.87,11.50,11.51,196200,11.51
AMEX,TOH,2010-01-11,12.05,12.09,11.77,11.81,94300,11.81
AMEX,TOH,2010-01-08,11.94,12.07,11.84,11.87,79200,11.87
AMEX,TOH,2010-01-07,11.96,12.03,11.82,11.94,181900,11.94
AMEX,TOH,2010-01-06,12.01,12.05,11.93,12.02,117800,12.02
AMEX,TOH,2010-01-05,11.64,12.23,11.64,11.99,752600,11.99
AMEX,TOH,2010-01-04,11.65,11.90,11.65,11.71,310100,11.71
AMEX,TOH,2009-12-31,11.58,11.79,11.41,11.52,92600,11.52
AMEX,TOH,2009-12-30,11.47,11.52,11.22,11.51,117000,11.51
AMEX,TOH,2009-12-29,11.50,11.78,11.45,11.55,601300,11.55
AMEX,TOH,2009-12-28,11.60,11.60,11.37,11.49,271000,11.49
AMEX,TOH,2009-12-24,11.75,11.76,11.54,11.61,162700,11.61
AMEX,TOH,2009-12-23,11.05,11.67,11.05,11.64,953200,11.64
AMEX,TOH,2009-12-22,11.00,11.07,10.95,11.02,26500,11.02
AMEX,TOH,2009-12-21,11.00,11.10,10.96,11.03,231200,11.03
AMEX,TOH,2009-12-18,11.12,11.15,10.86,11.00,378700,11.00
AMEX,TOH,2009-12-17,10.95,11.09,10.82,11.00,79700,11.00
AMEX,TOH,2009-12-16,11.05,11.27,10.90,11.00,451400,11.00
AMEX,TOH,2009-12-15,11.06,11.15,11.00,11.03,98500,11.03
AMEX,TOH,2009-12-14,11.01,11.12,10.91,11.00,121000,11.00
AMEX,TOH,2009-12-11,11.09,11.10,10.96,11.00,270100,11.00
AMEX,TOH,2009-12-10,10.97,11.18,10.97,11.00,282800,11.00
AMEX,TOH,2009-12-09,10.80,10.80,10.66,10.76,120900,10.76
AMEX,TOH,2009-12-08,10.92,10.96,10.67,10.75,173800,10.75
AMEX,TOH,2009-12-07,11.00,11.13,10.94,10.97,54800,10.97
AMEX,TOH,2009-12-04,11.02,11.23,10.85,10.95,261700,10.95
AMEX,TOH,2009-12-03,11.06,11.19,10.55,10.85,482600,10.85
AMEX,TOH,2009-12-02,11.11,11.31,10.91,11.02,92000,11.02
AMEX,TOH,2009-12-01,10.88,11.00,10.75,10.96,466200,10.96
AMEX,TOH,2009-11-30,10.70,10.95,10.65,10.85,65200,10.85
AMEX,TOH,2009-11-27,10.62,10.75,10.57,10.66,12300,10.66
AMEX,TOH,2009-11-25,10.89,11.09,10.60,10.82,179800,10.82
AMEX,TOH,2009-11-24,10.91,10.91,10.70,10.79,184700,10.79
AMEX,TOH,2009-11-23,10.80,11.00,10.62,10.95,73700,10.95
AMEX,TOH,2009-11-20,10.73,10.77,10.63,10.70,93900,10.70
AMEX,TOH,2009-11-19,10.68,10.80,10.65,10.73,88200,10.73
AMEX,TOH,2009-11-18,10.61,10.80,10.50,10.66,101100,10.66
AMEX,TOH,2009-11-17,10.72,10.88,10.56,10.70,98500,10.70
AMEX,TOH,2009-11-16,10.58,10.66,10.45,10.65,511800,10.65
AMEX,TOH,2009-11-13,10.70,10.79,10.57,10.63,165100,10.63
AMEX,TOH,2009-11-12,11.00,11.00,10.68,10.70,344900,10.70
AMEX,TOH,2009-11-11,11.00,11.06,10.88,10.96,268000,10.96
AMEX,TOH,2009-11-10,11.10,11.12,10.85,10.97,117100,10.97
AMEX,TOH,2009-11-09,11.22,11.25,11.07,11.15,79600,11.15
AMEX,TOH,2009-11-06,11.25,11.25,11.18,11.18,56800,11.18
AMEX,TOH,2009-11-05,11.49,11.49,11.17,11.23,348200,11.23
AMEX,TOH,2009-11-04,11.38,11.45,11.24,11.34,367900,11.34
AMEX,TOH,2009-11-03,10.81,11.29,10.80,11.25,244100,11.25
AMEX,TOH,2009-11-02,10.73,10.90,10.58,10.80,244600,10.80
AMEX,TOH,2009-10-30,10.75,10.75,10.41,10.64,147300,10.64
AMEX,TOH,2009-10-29,10.38,10.78,10.30,10.75,149400,10.75
AMEX,TOH,2009-10-28,10.40,10.51,10.23,10.28,1174500,10.28
AMEX,TOH,2009-10-27,10.33,10.58,10.23,10.50,756700,10.50
AMEX,TOH,2009-10-26,10.67,10.75,10.37,10.38,410100,10.38
AMEX,TOH,2009-10-23,10.91,10.91,10.67,10.67,374000,10.67
AMEX,TOH,2009-10-22,11.00,11.00,10.85,10.90,490400,10.90
AMEX,TOH,2009-10-21,10.90,11.02,10.85,10.98,205200,10.98
AMEX,TOH,2009-10-20,10.75,11.03,10.67,10.93,314200,10.93
AMEX,TOH,2009-10-19,11.19,11.26,10.62,10.80,3069900,10.80
AMEX,TOH,2009-10-16,11.52,11.52,10.99,11.22,1076600,11.22
AMEX,TOH,2009-10-15,11.49,11.52,11.30,11.52,88900,11.52
AMEX,TOH,2009-10-14,11.26,11.45,11.20,11.45,504600,11.45
AMEX,TOH,2009-10-13,11.30,11.46,11.05,11.22,251800,11.22
AMEX,TOH,2009-10-12,11.20,11.28,11.13,11.22,207600,11.22
AMEX,TOH,2009-10-09,11.20,11.23,11.01,11.20,327800,11.20
AMEX,TOH,2009-10-08,11.24,11.42,11.03,11.13,494800,11.13
AMEX,TOH,2009-10-07,10.52,10.95,10.37,10.88,793500,10.88
AMEX,TOH,2009-10-06,10.40,10.42,10.27,10.37,144700,10.37
AMEX,TOH,2009-10-05,10.35,10.40,10.28,10.39,90000,10.39
AMEX,TOH,2009-10-02,10.35,10.35,10.15,10.28,740500,10.28
AMEX,TOH,2009-10-01,10.30,10.57,10.12,10.28,1020900,10.28
AMEX,TOH,2009-09-30,10.55,10.55,10.01,10.35,1415400,10.35
AMEX,TOH,2009-09-29,10.41,10.60,10.35,10.51,66200,10.51
AMEX,TOH,2009-09-28,9.75,10.60,9.72,10.45,000,10.45
AMEX,TOH,2009-09-25,9.71,9.80,9.63,9.65,394000,9.65
AMEX,TOH,2009-09-24,9.75,9.76,9.65,9.75,801700,9.75
AMEX,TOH,2009-09-23,9.78,9.78,9.74,9.75,4605700,9.75
AMEX,TOH,2009-09-22,9.75,9.78,9.75,9.77,1506300,9.77
AMEX,TOH,2009-09-21,9.75,9.78,9.75,9.78,104700,9.78
AMEX,TOH,2009-09-18,9.68,9.78,9.68,9.78,2028000,9.78
AMEX,TOH,2009-09-17,9.76,9.78,9.70,9.76,3130100,9.76
AMEX,TOH,2009-09-16,9.77,9.77,9.75,9.76,6383200,9.76
AMEX,TOH,2009-09-15,9.76,9.77,9.73,9.77,1540000,9.77
AMEX,TOH,2009-09-14,9.76,9.77,9.75,9.76,160500,9.76
AMEX,TOH,2009-09-11,9.76,9.76,9.74,9.76,1671500,9.76
AMEX,TOH,2009-09-10,9.76,9.76,9.72,9.74,155200,9.74
AMEX,TOH,2009-09-09,9.75,9.76,9.69,9.76,1024100,9.76
AMEX,TOH,2009-09-08,9.74,9.74,9.71,9.72,35000,9.72
AMEX,TOH,2009-09-04,9.74,9.74,9.72,9.72,37000,9.72
AMEX,TOH,2009-09-03,9.75,9.75,9.66,9.71,37700,9.71
AMEX,TOH,2009-09-02,9.75,9.75,9.70,9.75,1033000,9.75
AMEX,TOH,2009-09-01,9.72,9.77,9.71,9.75,983500,9.75
AMEX,TOH,2009-08-31,9.75,9.75,9.72,9.72,156100,9.72
AMEX,TOH,2009-08-28,9.75,9.76,9.74,9.76,2401400,9.76
AMEX,TOH,2009-08-27,9.73,9.75,9.73,9.75,415000,9.75
AMEX,TOH,2009-08-26,9.75,9.75,9.73,9.74,221200,9.74
AMEX,TOH,2009-08-25,9.76,9.76,9.74,9.76,291800,9.76
AMEX,TOH,2009-08-24,9.76,9.76,9.73,9.76,1023900,9.76
AMEX,TOH,2009-08-21,9.76,9.76,9.75,9.76,2126800,9.76
AMEX,TOH,2009-08-20,9.74,9.77,9.73,9.76,6289200,9.76
AMEX,TOH,2009-08-19,9.73,9.74,9.71,9.74,1104300,9.74
AMEX,TOH,2009-08-18,9.70,9.74,9.69,9.73,2240000,9.73
AMEX,TOH,2009-08-17,9.69,9.71,9.69,9.71,188900,9.71
AMEX,TOH,2009-08-14,9.72,9.72,9.70,9.70,666500,9.70
AMEX,TOH,2009-08-13,9.72,9.72,9.69,9.71,873600,9.71
AMEX,TOH,2009-08-12,9.65,9.72,9.65,9.72,1194900,9.72
AMEX,TOH,2009-08-11,9.65,9.68,9.65,9.66,15500,9.66
AMEX,TOH,2009-08-10,9.66,9.69,9.66,9.67,69400,9.67
AMEX,TOH,2009-08-07,9.67,9.68,9.65,9.66,81700,9.66
AMEX,TOH,2009-08-06,9.67,9.70,9.67,9.69,106100,9.69
AMEX,TOH,2009-08-05,9.67,9.71,9.67,9.70,1789500,9.70
AMEX,TOH,2009-08-04,9.68,9.68,9.64,9.66,254100,9.66
AMEX,TOH,2009-08-03,9.69,9.70,9.64,9.65,1516400,9.65
AMEX,TOH,2009-07-31,9.65,9.67,9.65,9.67,2500,9.67
AMEX,TOH,2009-07-30,9.66,9.66,9.66,9.66,400900,9.66
AMEX,TOH,2009-07-29,9.65,9.65,9.65,9.65,35500,9.65
AMEX,TOH,2009-07-28,9.63,9.63,9.63,9.63,8000,9.63
AMEX,TOH,2009-07-27,9.64,9.65,9.63,9.65,12400,9.65
AMEX,TOH,2009-07-24,9.64,9.64,9.62,9.64,339600,9.64
AMEX,TOH,2009-07-23,9.63,9.65,9.63,9.65,55800,9.65
AMEX,TOH,2009-07-22,9.64,9.64,9.63,9.63,2700,9.63
AMEX,TOH,2009-07-21,9.64,9.65,9.62,9.62,45800,9.62
AMEX,TOH,2009-07-20,9.63,9.63,9.63,9.63,601300,9.63
AMEX,TOH,2009-07-17,9.62,9.62,9.62,9.62,100,9.62
AMEX,TOH,2009-07-16,9.66,9.66,9.61,9.61,25700,9.61
AMEX,TOH,2009-07-15,9.62,9.64,9.62,9.63,6700,9.63
AMEX,TOH,2009-07-14,9.62,9.65,9.62,9.64,74600,9.64
AMEX,TOH,2009-07-13,9.61,9.62,9.61,9.62,300,9.62
AMEX,TOH,2009-07-10,9.62,9.62,9.62,9.62,000,9.62
AMEX,TOH,2009-07-09,9.62,9.62,9.62,9.62,000,9.62
AMEX,TOH,2009-07-08,9.59,9.62,9.59,9.62,184300,9.62
AMEX,TOH,2009-07-07,9.57,9.60,9.57,9.59,6700,9.59
AMEX,TOH,2009-07-06,9.58,9.58,9.57,9.57,39500,9.57
AMEX,TOH,2009-07-02,9.60,9.60,9.57,9.57,4500,9.57
AMEX,TOH,2009-07-01,9.60,9.62,9.60,9.60,10100,9.60
AMEX,TOH,2009-06-30,9.59,9.60,9.59,9.59,39200,9.59
AMEX,TOH,2009-06-29,9.57,9.58,9.57,9.58,13200,9.58
AMEX,TOH,2009-06-26,9.57,9.57,9.57,9.57,100,9.57
AMEX,TOH,2009-06-25,9.57,9.58,9.55,9.55,721700,9.55
AMEX,TOH,2009-06-24,9.56,9.60,9.56,9.60,208000,9.60
AMEX,TOH,2009-06-23,9.55,9.55,9.55,9.55,200000,9.55
AMEX,TOH,2009-06-22,9.56,9.56,9.54,9.55,124200,9.55
AMEX,TOH,2009-06-19,9.56,9.56,9.55,9.56,40700,9.56
AMEX,TOH,2009-06-18,9.55,9.57,9.54,9.56,237200,9.56
AMEX,TOH,2009-06-17,9.56,9.57,9.56,9.57,1100,9.57
AMEX,TOH,2009-06-16,9.56,9.57,9.55,9.57,650100,9.57
AMEX,TOH,2009-06-15,9.56,9.56,9.53,9.55,10800,9.55
AMEX,TOH,2009-06-12,9.56,9.58,9.56,9.58,47500,9.58
AMEX,TOH,2009-06-11,9.58,9.58,9.56,9.58,17000,9.58
AMEX,TOH,2009-06-10,9.55,9.57,9.54,9.56,2100,9.56
AMEX,TOH,2009-06-09,9.55,9.57,9.53,9.57,960500,9.57
AMEX,TOH,2009-06-08,9.58,9.59,9.56,9.56,1800,9.56
AMEX,TOH,2009-06-05,9.56,9.57,9.55,9.56,59800,9.56
AMEX,TOH,2009-06-04,9.55,9.56,9.55,9.56,26600,9.56
AMEX,TOH,2009-06-03,9.54,9.54,9.54,9.54,18900,9.54
AMEX,TOH,2009-06-02,9.53,9.53,9.53,9.53,20000,9.53
AMEX,TOH,2009-06-01,9.53,9.53,9.52,9.53,19200,9.53
AMEX,TOH,2009-05-29,9.53,9.53,9.53,9.53,000,9.53
AMEX,TOH,2009-05-28,9.53,9.53,9.53,9.53,000,9.53
AMEX,TOH,2009-05-27,9.51,9.53,9.51,9.53,10200,9.53
AMEX,TOH,2009-05-26,9.51,9.51,9.51,9.51,000,9.51
AMEX,TOH,2009-05-22,9.53,9.53,9.51,9.51,17800,9.51
AMEX,TOH,2009-05-21,9.50,9.51,9.50,9.51,7800,9.51
AMEX,TOH,2009-05-20,9.51,9.51,9.51,9.51,200,9.51
AMEX,TOH,2009-05-19,9.52,9.54,9.51,9.54,36000,9.54
AMEX,TOH,2009-05-18,9.53,9.54,9.53,9.53,1500,9.53
AMEX,TOH,2009-05-15,9.54,9.54,9.52,9.52,7700,9.52
AMEX,TOH,2009-05-14,9.50,9.50,9.50,9.50,000,9.50
AMEX,TOH,2009-05-13,9.51,9.53,9.48,9.50,815900,9.50
