exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,UYG,2010-02-08,5.24,5.26,5.03,5.04,29142500,5.04
AMEX,UYG,2010-02-05,5.18,5.25,4.93,5.23,38434000,5.23
AMEX,UYG,2010-02-04,5.48,5.48,5.12,5.12,32706100,5.12
AMEX,UYG,2010-02-03,5.65,5.69,5.53,5.57,15050000,5.57
AMEX,UYG,2010-02-02,5.61,5.72,5.56,5.69,19174800,5.69
AMEX,UYG,2010-02-01,5.50,5.61,5.49,5.58,18340400,5.58
AMEX,UYG,2010-01-29,5.57,5.66,5.41,5.43,26608400,5.43
AMEX,UYG,2010-01-28,5.66,5.67,5.38,5.50,32849600,5.50
AMEX,UYG,2010-01-27,5.39,5.60,5.32,5.58,26718100,5.58
AMEX,UYG,2010-01-26,5.44,5.62,5.33,5.35,28927300,5.35
AMEX,UYG,2010-01-25,5.59,5.63,5.40,5.52,42165900,5.52
AMEX,UYG,2010-01-22,5.76,5.83,5.41,5.47,46548200,5.47
AMEX,UYG,2010-01-21,6.09,6.17,5.76,5.81,52629300,5.81
AMEX,UYG,2010-01-20,6.06,6.15,5.97,6.10,19621500,6.10
AMEX,UYG,2010-01-19,5.94,6.14,5.90,6.12,16189800,6.12
AMEX,UYG,2010-01-15,6.13,6.15,5.97,5.99,17490600,5.99
AMEX,UYG,2010-01-14,6.10,6.23,6.08,6.19,14526000,6.19
AMEX,UYG,2010-01-13,6.01,6.18,5.93,6.13,13173600,6.13
AMEX,UYG,2010-01-12,6.08,6.13,5.93,6.00,17390900,6.00
AMEX,UYG,2010-01-11,6.25,6.26,6.10,6.16,13949200,6.16
AMEX,UYG,2010-01-08,6.14,6.21,6.07,6.15,14171000,6.15
AMEX,UYG,2010-01-07,6.00,6.26,5.97,6.20,19805100,6.20
AMEX,UYG,2010-01-06,5.95,6.02,5.89,5.98,11143800,5.98
AMEX,UYG,2010-01-05,5.81,5.97,5.79,5.95,13852200,5.95
AMEX,UYG,2010-01-04,5.71,5.85,5.71,5.83,10939200,5.83
AMEX,UYG,2009-12-31,5.70,5.74,5.63,5.63,5960800,5.63
AMEX,UYG,2009-12-30,5.65,5.70,5.62,5.69,8473100,5.69
AMEX,UYG,2009-12-29,5.76,5.76,5.68,5.70,6959700,5.70
AMEX,UYG,2009-12-28,5.77,5.80,5.69,5.74,8490600,5.74
AMEX,UYG,2009-12-24,5.70,5.75,5.68,5.74,7909200,5.74
AMEX,UYG,2009-12-23,5.68,5.72,5.63,5.66,7110700,5.66
AMEX,UYG,2009-12-22,5.63,5.69,5.62,5.68,9532300,5.68
AMEX,UYG,2009-12-21,5.55,5.64,5.55,5.64,14493400,5.64
AMEX,UYG,2009-12-18,5.43,5.51,5.36,5.51,9846800,5.51
AMEX,UYG,2009-12-17,5.44,5.47,5.36,5.36,9841100,5.36
AMEX,UYG,2009-12-16,5.51,5.59,5.48,5.53,21414400,5.53
AMEX,UYG,2009-12-15,5.56,5.58,5.43,5.46,21887300,5.46
AMEX,UYG,2009-12-14,5.57,5.62,5.45,5.61,11409600,5.61
AMEX,UYG,2009-12-11,5.47,5.53,5.44,5.52,10100300,5.52
AMEX,UYG,2009-12-10,5.51,5.54,5.41,5.45,10420800,5.45
AMEX,UYG,2009-12-09,5.45,5.52,5.37,5.46,10591300,5.46
AMEX,UYG,2009-12-08,5.47,5.51,5.40,5.43,14512200,5.43
AMEX,UYG,2009-12-07,5.63,5.69,5.48,5.51,15682700,5.51
AMEX,UYG,2009-12-04,5.68,5.72,5.50,5.66,24148000,5.66
AMEX,UYG,2009-12-03,5.77,5.88,5.45,5.48,28952100,5.48
AMEX,UYG,2009-12-02,5.66,5.75,5.63,5.68,14430100,5.68
AMEX,UYG,2009-12-01,5.73,5.75,5.62,5.68,17572000,5.68
AMEX,UYG,2009-11-30,5.44,5.67,5.42,5.65,22251800,5.65
AMEX,UYG,2009-11-27,5.36,5.56,5.34,5.38,19863900,5.38
AMEX,UYG,2009-11-25,5.76,5.77,5.66,5.68,10464800,5.68
AMEX,UYG,2009-11-24,5.75,5.75,5.63,5.70,17480700,5.70
AMEX,UYG,2009-11-23,5.76,5.85,5.72,5.77,17228500,5.77
AMEX,UYG,2009-11-20,5.60,5.68,5.58,5.63,13629600,5.63
AMEX,UYG,2009-11-19,5.82,5.83,5.65,5.69,19170400,5.69
AMEX,UYG,2009-11-18,5.82,5.91,5.80,5.90,16183300,5.90
AMEX,UYG,2009-11-17,5.76,5.84,5.74,5.82,16414300,5.82
AMEX,UYG,2009-11-16,5.80,5.92,5.74,5.80,27323000,5.80
AMEX,UYG,2009-11-13,5.68,5.74,5.58,5.67,19418600,5.67
AMEX,UYG,2009-11-12,5.83,5.92,5.65,5.68,19468900,5.68
AMEX,UYG,2009-11-11,5.84,5.98,5.80,5.87,28912200,5.87
AMEX,UYG,2009-11-10,5.74,5.81,5.63,5.73,19348900,5.73
AMEX,UYG,2009-11-09,5.55,5.79,5.50,5.77,24058000,5.77
