exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,WWIN,2010-02-08,5.75,5.87,5.64,5.87,5700,5.87
AMEX,WWIN,2010-02-05,6.20,6.32,5.75,5.87,11700,5.87
AMEX,WWIN,2010-02-04,6.45,6.45,6.17,6.27,4600,6.27
AMEX,WWIN,2010-02-03,6.50,6.51,6.49,6.50,2300,6.50
AMEX,WWIN,2010-02-02,6.35,6.51,6.35,6.51,1100,6.51
AMEX,WWIN,2010-02-01,6.20,6.31,6.20,6.31,1100,6.31
AMEX,WWIN,2010-01-29,6.27,6.32,6.20,6.20,18600,6.20
AMEX,WWIN,2010-01-28,6.46,6.46,6.23,6.27,5300,6.27
AMEX,WWIN,2010-01-27,6.63,6.63,6.41,6.43,12300,6.43
AMEX,WWIN,2010-01-26,6.97,6.97,6.64,6.64,4800,6.64
AMEX,WWIN,2010-01-25,7.12,7.16,6.90,7.00,5800,7.00
AMEX,WWIN,2010-01-22,7.17,7.17,7.05,7.05,1600,7.05
AMEX,WWIN,2010-01-21,7.06,7.15,7.05,7.07,3000,7.07
AMEX,WWIN,2010-01-20,7.11,7.20,7.05,7.07,6100,7.07
AMEX,WWIN,2010-01-19,6.85,7.20,6.80,7.13,18100,7.13
AMEX,WWIN,2010-01-15,7.26,7.30,6.80,7.20,29300,7.20
AMEX,WWIN,2010-01-14,7.46,7.46,7.20,7.31,13900,7.31
AMEX,WWIN,2010-01-13,7.40,7.46,7.35,7.35,2400,7.35
AMEX,WWIN,2010-01-12,7.50,7.50,7.40,7.45,9700,7.45
AMEX,WWIN,2010-01-11,7.65,7.68,7.55,7.57,14900,7.57
AMEX,WWIN,2010-01-08,7.50,7.60,7.25,7.60,40300,7.60
AMEX,WWIN,2010-01-07,7.30,7.55,7.30,7.55,29300,7.55
AMEX,WWIN,2010-01-06,7.00,7.40,7.00,7.28,51300,7.28
AMEX,WWIN,2010-01-05,6.92,7.56,6.92,7.25,38300,7.25
AMEX,WWIN,2010-01-04,7.40,7.40,6.89,6.89,18500,6.89
AMEX,WWIN,2009-12-31,7.60,7.60,4.51,7.38,50100,7.38
AMEX,WWIN,2009-12-30,6.88,7.36,6.85,7.36,60900,7.36
AMEX,WWIN,2009-12-29,6.35,7.00,6.30,6.88,66300,6.88
AMEX,WWIN,2009-12-28,6.25,6.25,6.19,6.25,8300,6.25
AMEX,WWIN,2009-12-24,6.20,6.35,6.19,6.25,8800,6.25
AMEX,WWIN,2009-12-23,6.11,6.13,6.00,6.12,5000,6.12
AMEX,WWIN,2009-12-22,6.13,6.14,6.07,6.12,9200,6.12
AMEX,WWIN,2009-12-21,6.17,6.17,6.12,6.15,5400,6.15
AMEX,WWIN,2009-12-18,6.30,6.30,6.16,6.17,19200,6.17
AMEX,WWIN,2009-12-17,6.30,6.39,6.30,6.30,6900,6.30
AMEX,WWIN,2009-12-16,6.50,6.55,6.20,6.39,18700,6.39
AMEX,WWIN,2009-12-15,6.56,6.56,6.44,6.45,32900,6.45
AMEX,WWIN,2009-12-14,6.60,6.60,6.49,6.54,53300,6.54
AMEX,WWIN,2009-12-11,6.55,6.59,6.48,6.54,20800,6.54
AMEX,WWIN,2009-12-10,6.50,6.55,6.40,6.50,36300,6.50
AMEX,WWIN,2009-12-09,6.34,6.75,6.25,6.50,28000,6.50
AMEX,WWIN,2009-12-08,5.86,6.70,5.86,6.26,101600,6.26
AMEX,WWIN,2009-12-07,5.57,5.85,5.55,5.80,30500,5.80
AMEX,WWIN,2009-12-04,5.45,5.65,5.36,5.65,18600,5.65
AMEX,WWIN,2009-12-03,5.13,5.60,5.07,5.50,79900,5.50
AMEX,WWIN,2009-12-02,5.10,5.24,5.08,5.10,15700,5.10
AMEX,WWIN,2009-12-01,5.10,5.11,5.05,5.05,12500,5.05
AMEX,WWIN,2009-11-30,5.05,5.07,5.00,5.05,28600,5.05
AMEX,WWIN,2009-11-27,4.95,5.05,4.95,5.05,200,5.05
AMEX,WWIN,2009-11-25,5.05,5.05,5.00,5.00,36800,5.00
AMEX,WWIN,2009-11-24,5.05,5.05,5.00,5.00,18200,5.00
AMEX,WWIN,2009-11-23,5.05,5.16,5.00,5.05,36900,5.05
AMEX,WWIN,2009-11-20,4.59,5.00,4.56,5.00,5600,5.00
AMEX,WWIN,2009-11-19,4.70,4.75,4.63,4.63,3000,4.63
AMEX,WWIN,2009-11-18,4.90,4.90,4.50,4.70,9200,4.70
AMEX,WWIN,2009-11-17,4.88,4.88,4.88,4.88,2000,4.88
AMEX,WWIN,2009-11-16,5.10,5.15,4.98,4.98,9000,4.98
AMEX,WWIN,2009-11-13,5.00,5.10,5.00,5.00,34400,5.00
AMEX,WWIN,2009-11-12,5.00,5.00,5.00,5.00,000,5.00
AMEX,WWIN,2009-11-11,5.00,5.00,4.94,5.00,63700,5.00
AMEX,WWIN,2009-11-10,5.00,5.00,4.71,5.00,12300,5.00
AMEX,WWIN,2009-11-09,5.15,5.15,5.08,5.09,16600,5.09
AMEX,WWIN,2009-11-06,5.17,5.17,5.17,5.17,200,5.17
AMEX,WWIN,2009-11-05,5.10,5.10,5.10,5.10,000,5.10
AMEX,WWIN,2009-11-04,5.20,5.27,5.10,5.10,5900,5.10
AMEX,WWIN,2009-11-03,5.11,5.12,5.01,5.11,3600,5.11
AMEX,WWIN,2009-11-02,5.12,5.20,5.01,5.11,12200,5.11
AMEX,WWIN,2009-10-30,5.20,5.20,4.88,5.00,15800,5.00
AMEX,WWIN,2009-10-29,5.15,5.60,5.04,5.20,35500,5.20
AMEX,WWIN,2009-10-28,6.05,6.05,4.86,4.86,55300,4.86
AMEX,WWIN,2009-10-27,6.38,6.38,5.94,6.10,8000,6.10
AMEX,WWIN,2009-10-26,6.48,6.50,6.31,6.33,10500,6.33
AMEX,WWIN,2009-10-23,6.45,6.45,6.40,6.40,3900,6.40
AMEX,WWIN,2009-10-22,7.03,7.03,6.41,6.45,7300,6.45
AMEX,WWIN,2009-10-21,6.50,6.51,6.50,6.51,7200,6.51
AMEX,WWIN,2009-10-20,6.50,6.50,6.48,6.50,15000,6.50
AMEX,WWIN,2009-10-19,6.11,6.49,6.09,6.49,31700,6.49
AMEX,WWIN,2009-10-16,6.10,6.24,6.07,6.08,24900,6.08
AMEX,WWIN,2009-10-15,5.90,6.14,5.86,6.08,22300,6.08
AMEX,WWIN,2009-10-14,5.91,6.05,5.85,5.85,1200,5.85
