exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,XRO,2010-02-08,19.10,19.44,19.10,19.18,7200,19.18
AMEX,XRO,2010-02-05,19.12,19.26,18.87,19.26,11000,19.26
AMEX,XRO,2010-02-04,19.86,19.86,19.28,19.28,6700,19.28
AMEX,XRO,2010-02-03,19.96,20.02,19.90,19.97,3000,19.97
AMEX,XRO,2010-02-02,19.72,20.08,19.72,20.03,7300,20.03
AMEX,XRO,2010-02-01,19.51,19.72,18.83,19.72,18400,19.72
AMEX,XRO,2010-01-29,19.94,19.94,19.41,19.41,5200,19.41
AMEX,XRO,2010-01-28,20.15,20.15,19.64,19.83,3400,19.83
AMEX,XRO,2010-01-27,20.01,20.10,19.85,20.10,4500,20.10
AMEX,XRO,2010-01-26,20.00,20.23,19.90,20.10,6400,20.10
AMEX,XRO,2010-01-25,20.17,20.17,20.07,20.10,7000,20.10
AMEX,XRO,2010-01-22,20.48,20.49,19.97,19.97,4500,19.97
AMEX,XRO,2010-01-21,20.96,20.96,20.56,20.56,10200,20.56
AMEX,XRO,2010-01-20,20.82,20.85,20.75,20.85,3800,20.85
AMEX,XRO,2010-01-19,20.90,21.14,20.90,21.14,8100,21.14
AMEX,XRO,2010-01-15,21.18,21.18,20.82,20.89,1700,20.89
AMEX,XRO,2010-01-14,21.23,21.23,21.18,21.22,1500,21.22
AMEX,XRO,2010-01-13,21.07,21.22,21.07,21.22,1200,21.22
AMEX,XRO,2010-01-12,21.25,21.25,20.98,20.98,2800,20.98
AMEX,XRO,2010-01-11,21.42,21.42,21.30,21.39,3900,21.39
AMEX,XRO,2010-01-08,21.12,21.36,21.12,21.36,2500,21.36
AMEX,XRO,2010-01-07,21.23,21.25,21.15,21.19,4400,21.19
AMEX,XRO,2010-01-06,21.16,21.27,21.16,21.23,12500,21.23
AMEX,XRO,2010-01-05,21.11,21.24,21.11,21.14,1400,21.14
AMEX,XRO,2010-01-04,21.00,21.17,21.00,21.14,2700,21.14
AMEX,XRO,2009-12-31,21.10,21.10,20.92,20.92,2700,20.92
AMEX,XRO,2009-12-30,21.05,21.08,21.03,21.08,2500,21.08
AMEX,XRO,2009-12-29,21.10,21.10,21.02,21.05,7000,21.05
AMEX,XRO,2009-12-28,21.22,21.22,21.06,21.10,6800,21.10
AMEX,XRO,2009-12-24,21.08,21.09,21.06,21.08,3600,21.08
AMEX,XRO,2009-12-23,21.04,21.17,21.04,21.17,4500,21.00
AMEX,XRO,2009-12-22,21.00,21.00,20.93,20.99,1100,20.82
AMEX,XRO,2009-12-21,20.59,20.83,20.59,20.82,3300,20.65
AMEX,XRO,2009-12-18,20.45,20.45,20.45,20.45,300,20.28
AMEX,XRO,2009-12-17,20.52,20.52,20.40,20.40,500,20.24
AMEX,XRO,2009-12-16,20.62,20.74,20.59,20.61,3000,20.44
AMEX,XRO,2009-12-15,20.62,20.62,20.50,20.53,8500,20.36
AMEX,XRO,2009-12-14,20.46,20.67,20.46,20.67,1500,20.50
AMEX,XRO,2009-12-11,20.44,20.44,20.30,20.39,6000,20.23
AMEX,XRO,2009-12-10,20.37,20.37,20.33,20.33,1600,20.17
AMEX,XRO,2009-12-09,20.00,20.15,19.99,20.15,3100,19.99
AMEX,XRO,2009-12-08,20.12,20.21,20.12,20.12,600,19.96
AMEX,XRO,2009-12-07,20.33,20.33,20.33,20.33,1200,20.17
AMEX,XRO,2009-12-04,20.36,20.36,20.23,20.34,1300,20.18
AMEX,XRO,2009-12-03,20.40,20.40,20.13,20.14,4500,19.98
AMEX,XRO,2009-12-02,20.02,20.23,20.02,20.21,3300,20.05
AMEX,XRO,2009-12-01,19.71,20.10,19.71,20.03,3600,19.87
AMEX,XRO,2009-11-30,19.63,19.63,19.53,19.57,1800,19.41
AMEX,XRO,2009-11-27,19.64,19.85,18.50,19.78,9300,19.62
AMEX,XRO,2009-11-25,19.97,20.08,19.93,20.08,500,19.92
AMEX,XRO,2009-11-24,19.89,19.93,19.78,19.86,7400,19.70
AMEX,XRO,2009-11-23,20.00,20.04,19.83,19.87,7700,19.71
AMEX,XRO,2009-11-20,19.65,19.67,19.57,19.66,3900,19.50
AMEX,XRO,2009-11-19,19.70,19.76,19.68,19.76,4700,19.60
AMEX,XRO,2009-11-18,20.17,20.17,20.10,20.15,1800,19.99
AMEX,XRO,2009-11-17,20.24,20.28,20.11,20.28,1800,20.12
AMEX,XRO,2009-11-16,20.33,20.43,20.31,20.36,9100,20.20
AMEX,XRO,2009-11-13,19.91,20.10,19.91,20.09,2300,19.93
AMEX,XRO,2009-11-12,20.03,20.11,19.85,19.85,4700,19.69
AMEX,XRO,2009-11-11,20.10,20.23,20.02,20.05,2300,19.89
AMEX,XRO,2009-11-10,19.95,20.00,19.88,19.97,4800,19.81
AMEX,XRO,2009-11-09,19.78,19.90,19.78,19.90,2100,19.74
AMEX,XRO,2009-11-06,19.35,19.48,19.32,19.48,3500,19.32
AMEX,XRO,2009-11-05,19.08,19.39,19.08,19.39,5700,19.23
AMEX,XRO,2009-11-04,19.09,19.23,18.96,18.96,8800,18.81
AMEX,XRO,2009-11-03,18.81,18.96,18.81,18.96,10300,18.81
AMEX,XRO,2009-11-02,18.79,19.00,18.59,18.78,3800,18.63
AMEX,XRO,2009-10-30,19.11,19.14,18.70,18.70,4700,18.55
AMEX,XRO,2009-10-29,19.10,19.26,19.10,19.25,9400,19.09
AMEX,XRO,2009-10-28,19.03,19.03,18.73,18.73,20500,18.58
AMEX,XRO,2009-10-27,19.50,19.64,19.41,19.41,1600,19.25
AMEX,XRO,2009-10-26,19.98,19.98,19.71,19.75,4300,19.59
AMEX,XRO,2009-10-23,19.81,19.83,19.80,19.80,1400,19.64
AMEX,XRO,2009-10-22,19.71,19.94,19.71,19.94,1400,19.78
AMEX,XRO,2009-10-21,20.00,20.10,19.71,19.71,6000,19.55
AMEX,XRO,2009-10-20,20.03,20.03,19.90,19.92,1700,19.76
AMEX,XRO,2009-10-19,19.93,20.13,19.93,20.11,2300,19.95
AMEX,XRO,2009-10-16,19.90,19.90,19.71,19.83,7900,19.67
AMEX,XRO,2009-10-15,20.11,20.11,19.97,19.97,1600,19.81
AMEX,XRO,2009-10-14,20.01,20.21,20.01,20.20,13500,20.04
AMEX,XRO,2009-10-13,19.75,19.87,19.75,19.82,2700,19.66
AMEX,XRO,2009-10-12,19.78,19.90,19.77,19.82,3100,19.66
AMEX,XRO,2009-10-09,19.52,19.71,19.48,19.71,4500,19.55
AMEX,XRO,2009-10-08,19.52,19.62,19.51,19.59,4000,19.43
AMEX,XRO,2009-10-07,19.39,19.40,19.29,19.39,5900,19.23
AMEX,XRO,2009-10-06,19.09,19.36,19.09,19.32,2500,19.16
AMEX,XRO,2009-10-05,18.84,19.00,18.83,18.99,7300,18.84
AMEX,XRO,2009-10-02,18.53,18.68,18.53,18.59,36600,18.44
AMEX,XRO,2009-10-01,18.98,18.98,18.67,18.67,15200,18.52
AMEX,XRO,2009-09-30,18.81,19.12,18.81,19.06,3300,18.91
AMEX,XRO,2009-09-29,18.97,19.11,18.97,19.04,3000,18.89
AMEX,XRO,2009-09-28,18.72,19.05,18.72,19.00,46500,18.85
AMEX,XRO,2009-09-25,18.79,18.80,18.69,18.75,3700,18.60
AMEX,XRO,2009-09-24,19.03,19.03,18.81,18.84,8600,18.69
AMEX,XRO,2009-09-23,19.19,19.25,19.00,19.00,2300,18.85
AMEX,XRO,2009-09-22,19.23,19.23,19.12,19.21,12000,19.05
AMEX,XRO,2009-09-21,19.07,19.17,19.07,19.16,5900,19.01
AMEX,XRO,2009-09-18,19.10,19.18,19.06,19.15,7700,19.00
AMEX,XRO,2009-09-17,19.00,19.13,18.99,19.05,20800,18.90
AMEX,XRO,2009-09-16,18.84,19.06,18.84,19.06,2300,18.91
AMEX,XRO,2009-09-15,18.80,18.82,18.73,18.81,12300,18.66
AMEX,XRO,2009-09-14,18.71,18.82,18.63,18.82,10500,18.67
AMEX,XRO,2009-09-11,18.74,18.74,18.71,18.72,2900,18.57
AMEX,XRO,2009-09-10,18.59,18.73,18.59,18.73,4400,18.58
AMEX,XRO,2009-09-09,18.44,18.61,18.44,18.56,1900,18.41
AMEX,XRO,2009-09-08,18.43,18.46,18.39,18.46,12700,18.31
AMEX,XRO,2009-09-04,18.18,18.38,18.18,18.38,7100,18.23
AMEX,XRO,2009-09-03,18.04,18.18,18.04,18.18,12900,18.03
AMEX,XRO,2009-09-02,17.97,18.11,17.97,18.04,9300,17.89
AMEX,XRO,2009-09-01,18.14,18.14,18.14,18.14,700,17.99
AMEX,XRO,2009-08-31,18.31,18.35,18.29,18.35,2200,18.20
AMEX,XRO,2009-08-28,18.52,18.52,18.37,18.44,2500,18.29
AMEX,XRO,2009-08-27,18.46,18.48,18.35,18.48,1100,18.33
AMEX,XRO,2009-08-26,18.58,18.59,18.47,18.48,2100,18.33
AMEX,XRO,2009-08-25,18.40,18.56,18.40,18.46,7800,18.31
AMEX,XRO,2009-08-24,18.50,18.50,18.32,18.32,2400,18.17
AMEX,XRO,2009-08-21,18.38,18.44,18.38,18.42,4900,18.27
AMEX,XRO,2009-08-20,18.11,18.13,18.09,18.13,2700,17.98
AMEX,XRO,2009-08-19,17.75,18.01,17.75,17.98,3000,17.83
AMEX,XRO,2009-08-18,17.71,17.87,17.71,17.85,3400,17.71
AMEX,XRO,2009-08-17,17.80,17.80,17.70,17.75,4300,17.61
AMEX,XRO,2009-08-14,17.95,18.04,17.91,18.04,6600,17.89
AMEX,XRO,2009-08-13,18.19,18.19,18.04,18.17,15000,18.02
AMEX,XRO,2009-08-12,18.03,18.15,18.03,18.11,8200,17.96
AMEX,XRO,2009-08-11,18.03,18.04,17.96,17.99,8800,17.84
AMEX,XRO,2009-08-10,18.09,18.13,18.05,18.10,2700,17.95
AMEX,XRO,2009-08-07,18.01,18.25,17.99,18.16,12200,18.01
AMEX,XRO,2009-08-06,18.04,18.04,17.90,17.91,1100,17.77
AMEX,XRO,2009-08-05,18.11,18.11,17.94,18.01,6100,17.86
AMEX,XRO,2009-08-04,18.16,18.16,18.07,18.09,1000,17.94
AMEX,XRO,2009-08-03,17.95,18.16,17.95,18.15,4700,18.00
AMEX,XRO,2009-07-31,18.01,18.06,17.92,17.93,4300,17.79
AMEX,XRO,2009-07-30,18.14,18.14,17.95,17.96,7100,17.81
AMEX,XRO,2009-07-29,17.88,17.89,17.83,17.89,15100,17.75
AMEX,XRO,2009-07-28,17.74,17.86,17.74,17.86,800,17.72
AMEX,XRO,2009-07-27,17.77,17.81,17.70,17.81,3600,17.67
AMEX,XRO,2009-07-24,17.75,17.78,17.68,17.78,8800,17.64
AMEX,XRO,2009-07-23,17.60,17.84,17.60,17.80,4400,17.66
AMEX,XRO,2009-07-22,17.31,17.52,17.31,17.47,5700,17.33
AMEX,XRO,2009-07-21,17.31,17.31,17.21,17.27,2600,17.13
AMEX,XRO,2009-07-20,17.21,17.30,17.21,17.30,3200,17.16
AMEX,XRO,2009-07-17,17.20,17.20,17.12,17.13,2600,16.99
AMEX,XRO,2009-07-16,17.04,17.19,17.04,17.18,1500,17.04
AMEX,XRO,2009-07-15,16.91,17.05,16.91,17.05,6600,16.91
AMEX,XRO,2009-07-14,16.68,16.76,16.64,16.76,3600,16.62
AMEX,XRO,2009-07-13,16.39,16.67,16.39,16.67,8100,16.54
AMEX,XRO,2009-07-10,16.42,16.51,16.38,16.41,2000,16.28
AMEX,XRO,2009-07-09,16.46,16.55,16.46,16.55,1000,16.42
AMEX,XRO,2009-07-08,16.47,16.47,16.32,16.45,2900,16.32
AMEX,XRO,2009-07-07,16.67,16.67,16.43,16.43,2500,16.30
AMEX,XRO,2009-07-06,16.51,16.68,15.70,16.68,13200,16.55
AMEX,XRO,2009-07-02,16.73,16.73,16.61,16.61,2600,16.48
AMEX,XRO,2009-07-01,17.02,17.02,17.00,17.00,500,16.86
AMEX,XRO,2009-06-30,17.10,17.12,16.95,17.01,7400,16.87
AMEX,XRO,2009-06-29,16.85,17.07,16.82,17.02,4500,16.88
AMEX,XRO,2009-06-26,16.92,17.00,16.92,17.00,10900,16.86
AMEX,XRO,2009-06-25,16.95,16.97,16.91,16.97,4700,16.83
AMEX,XRO,2009-06-24,16.59,16.62,16.48,16.55,9500,16.42
AMEX,XRO,2009-06-23,16.53,16.53,16.44,16.47,4600,16.34
