exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,YMI,2010-02-08,1.49,1.60,1.49,1.54,65600,1.54
AMEX,YMI,2010-02-05,1.50,1.54,1.45,1.53,163200,1.53
AMEX,YMI,2010-02-04,1.65,1.65,1.50,1.54,224100,1.54
AMEX,YMI,2010-02-03,1.68,1.70,1.62,1.65,64600,1.65
AMEX,YMI,2010-02-02,1.64,1.68,1.59,1.67,182000,1.67
AMEX,YMI,2010-02-01,1.63,1.75,1.61,1.69,235900,1.69
AMEX,YMI,2010-01-29,1.60,1.64,1.55,1.59,235500,1.59
AMEX,YMI,2010-01-28,1.60,1.67,1.53,1.54,168900,1.54
AMEX,YMI,2010-01-27,1.78,1.78,1.50,1.63,240200,1.63
AMEX,YMI,2010-01-26,1.77,1.85,1.69,1.74,636600,1.74
AMEX,YMI,2010-01-25,1.75,1.77,1.64,1.65,224600,1.65
AMEX,YMI,2010-01-22,1.65,1.76,1.60,1.70,157900,1.70
AMEX,YMI,2010-01-21,1.69,1.72,1.62,1.63,157600,1.63
AMEX,YMI,2010-01-20,1.61,1.79,1.59,1.73,601600,1.73
AMEX,YMI,2010-01-19,1.70,1.70,1.57,1.61,154500,1.61
AMEX,YMI,2010-01-15,1.62,1.66,1.57,1.61,273400,1.61
AMEX,YMI,2010-01-14,1.65,1.70,1.59,1.59,145400,1.59
AMEX,YMI,2010-01-13,1.71,1.75,1.67,1.69,124600,1.69
AMEX,YMI,2010-01-12,1.75,1.80,1.52,1.75,555900,1.75
AMEX,YMI,2010-01-11,1.75,1.85,1.71,1.80,643800,1.80
AMEX,YMI,2010-01-08,1.48,1.70,1.48,1.69,683400,1.69
AMEX,YMI,2010-01-07,1.53,1.68,1.45,1.54,1142000,1.54
AMEX,YMI,2010-01-06,1.28,1.39,1.27,1.34,119800,1.34
AMEX,YMI,2010-01-05,1.38,1.44,1.30,1.31,137400,1.31
AMEX,YMI,2010-01-04,1.42,1.42,1.38,1.40,88700,1.40
AMEX,YMI,2009-12-31,1.40,1.40,1.33,1.35,65200,1.35
AMEX,YMI,2009-12-30,1.36,1.40,1.32,1.35,55500,1.35
AMEX,YMI,2009-12-29,1.41,1.41,1.33,1.37,138000,1.37
AMEX,YMI,2009-12-28,1.29,1.40,1.27,1.37,221100,1.37
AMEX,YMI,2009-12-24,1.27,1.29,1.27,1.29,16700,1.29
AMEX,YMI,2009-12-23,1.30,1.30,1.23,1.27,81100,1.27
AMEX,YMI,2009-12-22,1.21,1.27,1.21,1.27,37200,1.27
AMEX,YMI,2009-12-21,1.24,1.27,1.20,1.23,119100,1.23
AMEX,YMI,2009-12-18,1.24,1.26,1.18,1.19,69600,1.19
AMEX,YMI,2009-12-17,1.25,1.27,1.22,1.24,70700,1.24
AMEX,YMI,2009-12-16,1.17,1.19,1.15,1.18,91700,1.18
AMEX,YMI,2009-12-15,1.27,1.27,1.18,1.18,106600,1.18
AMEX,YMI,2009-12-14,1.38,1.38,1.25,1.25,94500,1.25
AMEX,YMI,2009-12-11,1.24,1.37,1.20,1.31,409800,1.31
AMEX,YMI,2009-12-10,1.14,1.22,1.14,1.22,147200,1.22
AMEX,YMI,2009-12-09,1.11,1.15,1.11,1.14,95800,1.14
AMEX,YMI,2009-12-08,1.12,1.14,1.11,1.13,84600,1.13
AMEX,YMI,2009-12-07,1.18,1.18,1.12,1.14,87100,1.14
AMEX,YMI,2009-12-04,1.18,1.24,1.15,1.16,90600,1.16
AMEX,YMI,2009-12-03,1.19,1.20,1.18,1.18,67300,1.18
AMEX,YMI,2009-12-02,1.23,1.24,1.21,1.21,49200,1.21
AMEX,YMI,2009-12-01,1.20,1.22,1.18,1.20,91700,1.20
AMEX,YMI,2009-11-30,1.14,1.19,1.14,1.18,104200,1.18
AMEX,YMI,2009-11-27,1.15,1.21,1.12,1.19,168900,1.19
AMEX,YMI,2009-11-25,1.18,1.24,1.16,1.21,38300,1.21
AMEX,YMI,2009-11-24,1.20,1.27,1.20,1.20,77000,1.20
AMEX,YMI,2009-11-23,1.20,1.26,1.19,1.19,131900,1.19
AMEX,YMI,2009-11-20,1.21,1.26,1.18,1.21,125800,1.21
AMEX,YMI,2009-11-19,1.25,1.29,1.23,1.28,116100,1.28
AMEX,YMI,2009-11-18,1.18,1.35,1.18,1.28,671400,1.28
AMEX,YMI,2009-11-17,1.18,1.26,1.18,1.19,194900,1.19
AMEX,YMI,2009-11-16,1.24,1.27,1.20,1.22,100300,1.22
AMEX,YMI,2009-11-13,1.20,1.27,1.19,1.24,153800,1.24
AMEX,YMI,2009-11-12,1.25,1.27,1.19,1.20,294900,1.20
AMEX,YMI,2009-11-11,1.25,1.30,1.22,1.23,291000,1.23
AMEX,YMI,2009-11-10,1.34,1.34,1.22,1.23,348200,1.23
AMEX,YMI,2009-11-09,1.28,1.37,1.25,1.28,707100,1.28
