exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,ZN,2010-02-08,5.59,5.59,5.25,5.27,70900,5.27
AMEX,ZN,2010-02-05,5.00,5.34,4.95,5.21,144500,5.21
AMEX,ZN,2010-02-04,5.21,5.21,5.00,5.00,117400,5.00
AMEX,ZN,2010-02-03,5.40,5.40,5.17,5.21,108100,5.21
AMEX,ZN,2010-02-02,5.59,5.60,5.39,5.41,95100,5.41
AMEX,ZN,2010-02-01,5.72,5.72,5.40,5.60,136500,5.60
AMEX,ZN,2010-01-29,5.71,5.89,5.02,5.05,396600,5.05
AMEX,ZN,2010-01-28,6.07,6.09,5.65,5.78,137700,5.78
AMEX,ZN,2010-01-27,6.14,6.25,5.99,6.07,86100,6.07
AMEX,ZN,2010-01-26,6.30,6.31,6.11,6.13,98200,6.13
AMEX,ZN,2010-01-25,6.33,6.47,6.25,6.25,79000,6.25
AMEX,ZN,2010-01-22,6.43,6.43,6.25,6.33,78300,6.33
AMEX,ZN,2010-01-21,6.49,6.58,6.42,6.43,92000,6.43
AMEX,ZN,2010-01-20,6.50,6.68,6.50,6.52,78300,6.52
AMEX,ZN,2010-01-19,6.54,6.72,6.50,6.52,108300,6.52
AMEX,ZN,2010-01-15,6.77,6.80,6.54,6.54,73500,6.54
AMEX,ZN,2010-01-14,6.59,6.80,6.59,6.69,48000,6.69
AMEX,ZN,2010-01-13,6.75,6.75,6.54,6.58,98600,6.58
AMEX,ZN,2010-01-12,6.80,7.00,6.75,6.75,76900,6.75
AMEX,ZN,2010-01-11,7.05,7.06,6.83,6.85,56000,6.85
AMEX,ZN,2010-01-08,7.03,7.05,6.98,7.05,20900,7.05
AMEX,ZN,2010-01-07,6.92,7.05,6.90,7.00,50000,7.00
AMEX,ZN,2010-01-06,7.09,7.15,6.93,6.97,81400,6.97
AMEX,ZN,2010-01-05,7.18,7.18,7.07,7.09,62100,7.09
