exchange,stock_symbol,date,dividends
AMEX,AE,2009-11-27,0.5
AMEX,AE,2008-11-28,0.5
AMEX,AE,2007-11-29,0.47
AMEX,AE,2006-11-29,0.42
AMEX,AE,2005-11-30,0.37
AMEX,AE,2004-11-30,0.3
AMEX,AE,2003-12-01,0.23
AMEX,AE,2002-11-27,0.13
AMEX,AE,2001-11-29,0.13
AMEX,AE,2000-11-29,0.13
AMEX,AE,1999-11-29,0.1
AMEX,AE,1998-11-27,0.1
AMEX,AE,1997-11-26,0.1
AMEX,AE,1996-11-27,0.07
AMEX,AE,1995-11-29,0.05
AMEX,ABL,2003-06-11,0.063
AMEX,ABL,2003-03-26,0.125
AMEX,ABL,2002-12-12,0.125
AMEX,ABL,2002-09-18,0.125
AMEX,ABL,2002-06-06,0.125
AMEX,ABL,2002-03-20,0.125
AMEX,ABL,2001-12-12,0.125
AMEX,ABL,2001-09-18,0.125
AMEX,ABL,2001-06-06,0.125
AMEX,ABL,2001-03-15,0.125
AMEX,ABL,2000-12-13,0.125
AMEX,ABL,2000-09-18,0.125
AMEX,ABL,2000-06-07,0.125
AMEX,ABL,2000-03-15,0.125
AMEX,ABL,1999-12-14,0.125
AMEX,ABL,1999-09-16,0.125
AMEX,ABL,1999-06-09,0.125
AMEX,ABL,1999-03-17,0.125
AMEX,ABL,1998-12-14,0.125
AMEX,ABL,1998-09-17,0.125
AMEX,ABL,1998-06-10,0.1
AMEX,ABL,1998-03-18,0.1
AMEX,ABL,1997-12-15,0.1
AMEX,ABL,1997-09-18,0.1
AMEX,ABL,1997-06-11,0.1
AMEX,ABL,1997-03-19,0.1
AMEX,ABL,1996-12-16,0.1
AMEX,ABL,1996-09-19,0.1
AMEX,ABL,1996-06-12,0.1
AMEX,ABL,1996-03-20,0.1
AMEX,ABL,1995-12-18,0.1
AMEX,ABL,1995-09-21,0.1
AMEX,ABL,1995-06-14,0.088
AMEX,ABL,1995-03-20,0.062
AMEX,ABL,1994-12-15,0.05
AMEX,ABL,1994-09-20,0.038
AMEX,ABL,1994-06-13,0.0375
AMEX,ABL,1994-03-15,0.0185
AMEX,ABL,1993-12-16,0.0185
AMEX,ABL,1993-09-21,0.0185
AMEX,ABL,1993-06-14,0.0185
AMEX,ABL,1993-03-16,0.0185
AMEX,ABL,1992-12-17,0.0185
AMEX,ABL,1992-09-22,0.0185
AMEX,ABL,1992-06-15,0.0185
AMEX,ABL,1992-03-17,0.0185
AMEX,AMS,2007-06-28,0.048
AMEX,AMS,2007-03-29,0.048
AMEX,AMS,2006-12-28,0.048
AMEX,AMS,2006-09-28,0.048
AMEX,AMS,2006-06-29,0.048
AMEX,AMS,2006-03-30,0.048
AMEX,AMS,2005-12-29,0.048
AMEX,AMS,2005-12-28,0.048
AMEX,AMS,2005-09-29,0.048
