exchange,stock_symbol,date,dividends
AMEX,BHO,1995-02-28,0.15
AMEX,BHO,1994-11-10,0.75
AMEX,BHO,1992-05-15,0.05
AMEX,BHO,1992-03-25,0.05
AMEX,BHO,1991-11-19,0.1
AMEX,BHO,1991-08-16,0.35
AMEX,BXU,2010-02-01,0.067
AMEX,BXU,2010-01-04,0.067
AMEX,BXU,2009-12-01,0.067
AMEX,BXU,2009-11-02,0.067
AMEX,BXU,2009-10-01,0.067
AMEX,BXU,2009-09-01,0.067
AMEX,BXU,2009-08-03,0.067
AMEX,BXU,2009-07-01,0.067
AMEX,BXU,2009-06-01,0.067
AMEX,BXU,2009-05-01,0.067
AMEX,BXU,2009-04-01,0.067
AMEX,BXU,2008-12-01,0.067
AMEX,BXU,2008-11-03,0.067
AMEX,BXU,2008-10-01,0.067
AMEX,BXU,2008-09-02,0.067
AMEX,BXU,2008-08-01,0.067
AMEX,BXU,2008-07-01,0.067
AMEX,BXU,2008-06-02,0.067
AMEX,BXU,2008-05-01,0.067
AMEX,BXU,2008-04-01,0.067
AMEX,BXU,2008-03-03,0.067
AMEX,BXU,2008-02-01,0.067
AMEX,BXU,2008-01-02,0.067
AMEX,BXU,2007-12-03,0.067
AMEX,BXU,2007-11-01,0.067
AMEX,BHH,2007-12-07,1.92
AMEX,BHH,2007-07-19,0.324
AMEX,BHH,2006-05-11,0.19
AMEX,BHH,2005-05-09,0.338
AMEX,BHH,2004-11-18,0.07
AMEX,BHH,2004-08-03,0.025
AMEX,BHH,2004-07-08,0.06
AMEX,BHH,2002-10-28,0.001
AMEX,BHH,2001-06-21,0.26
AMEX,BHH,2000-09-21,1.029
AMEX,BHH,2000-06-21,0.653
AMEX,BHH,2000-04-24,3.279
AMEX,BFY,2010-01-13,0.08
AMEX,BFY,2009-12-11,0.08
AMEX,BFY,2009-11-10,0.08
AMEX,BFY,2009-10-13,0.08
AMEX,BFY,2009-09-11,0.08
AMEX,BFY,2009-08-12,0.078
AMEX,BFY,2009-07-13,0.078
AMEX,BFY,2009-06-11,0.078
AMEX,BFY,2009-05-13,0.063
AMEX,BFY,2009-04-13,0.063
AMEX,BFY,2009-03-12,0.063
AMEX,BFY,2009-02-11,0.063
AMEX,BFY,2009-01-13,0.063
AMEX,BFY,2008-12-11,0.063
AMEX,BFY,2008-11-12,0.063
AMEX,BFY,2008-10-10,0.063
AMEX,BFY,2008-09-11,0.063
AMEX,BFY,2008-08-13,0.063
AMEX,BFY,2008-07-11,0.063
AMEX,BFY,2008-06-12,0.063
AMEX,BFY,2008-05-13,0.063
AMEX,BFY,2008-04-11,0.063
AMEX,BFY,2008-03-12,0.063
AMEX,BFY,2008-02-13,0.063
AMEX,BFY,2008-01-17,0.063
AMEX,BFY,2007-12-26,0.025
AMEX,BFY,2007-12-12,0.08
AMEX,BFY,2007-11-13,0.063
AMEX,BFY,2007-10-11,0.063
AMEX,BFY,2007-09-12,0.063
AMEX,BFY,2007-08-13,0.063
AMEX,BFY,2007-07-12,0.063
AMEX,BFY,2007-06-13,0.063
AMEX,BFY,2007-05-11,0.063
AMEX,BFY,2007-04-12,0.063
AMEX,BFY,2007-03-13,0.063
AMEX,BFY,2007-02-13,0.059
AMEX,BFY,2007-01-11,0.059
AMEX,BFY,2006-12-13,0.059
AMEX,BFY,2006-11-13,0.059
AMEX,BFY,2006-10-13,0.059
AMEX,BFY,2006-10-12,0.059
AMEX,BFY,2006-09-13,0.059
AMEX,BFY,2006-08-11,0.059
AMEX,BFY,2006-07-12,0.059
AMEX,BFY,2006-06-13,0.059
AMEX,BFY,2006-05-11,0.059
AMEX,BFY,2006-04-12,0.059
AMEX,BFY,2006-03-13,0.059
AMEX,BFY,2006-02-13,0.059
AMEX,BFY,2006-01-12,0.059
AMEX,BFY,2005-12-13,0.059
AMEX,BFY,2005-11-10,0.059
AMEX,BFY,2005-10-12,0.059
AMEX,BFY,2005-09-13,0.059
AMEX,BFY,2005-08-11,0.059
AMEX,BFY,2005-07-13,0.059
AMEX,BFY,2005-06-13,0.075
AMEX,BFY,2005-05-12,0.075
AMEX,BFY,2005-04-13,0.075
AMEX,BFY,2005-03-11,0.075
AMEX,BFY,2005-02-11,0.079
AMEX,BFY,2005-01-12,0.079
AMEX,BFY,2004-12-13,0.079
AMEX,BFY,2004-11-10,0.079
AMEX,BFY,2004-10-13,0.079
AMEX,BFY,2004-09-13,0.079
AMEX,BFY,2004-08-12,0.079
AMEX,BFY,2004-07-13,0.079
AMEX,BFY,2004-06-14,0.079
AMEX,BFY,2004-05-12,0.079
AMEX,BFY,2004-04-13,0.079
AMEX,BFY,2004-03-11,0.079
AMEX,BFY,2004-02-12,0.079
AMEX,BFY,2004-01-13,0.079
AMEX,BFY,2003-12-11,0.079
AMEX,BFY,2003-11-12,0.079
AMEX,BFY,2003-10-10,0.079
AMEX,BFY,2003-09-11,0.079
AMEX,BFY,2003-08-13,0.079
AMEX,BFY,2003-07-11,0.079
AMEX,BFY,2003-06-12,0.079
AMEX,BFY,2003-05-13,0.079
AMEX,BFY,2003-04-11,0.078
AMEX,BFY,2003-03-12,0.079
AMEX,BFY,2003-02-12,0.079
AMEX,BFY,2003-01-13,0.079
AMEX,BFY,2002-12-12,0.079
AMEX,BFY,2002-10-10,0.079
AMEX,BFY,2002-09-25,0.079
AMEX,BHV,2010-01-13,0.08
AMEX,BHV,2009-12-11,0.347
AMEX,BHV,2009-11-10,0.08
AMEX,BHV,2009-10-13,0.08
AMEX,BHV,2009-09-11,0.08
AMEX,BHV,2009-08-12,0.08
AMEX,BHV,2009-07-13,0.08
AMEX,BHV,2009-06-11,0.08
AMEX,BHV,2009-05-13,0.072
AMEX,BHV,2009-04-13,0.072
AMEX,BHV,2009-03-12,0.072
AMEX,BHV,2009-02-11,0.072
AMEX,BHV,2009-01-13,0.072
AMEX,BHV,2008-12-11,0.231
AMEX,BHV,2008-11-12,0.072
AMEX,BHV,2008-10-10,0.072
AMEX,BHV,2008-09-11,0.072
AMEX,BHV,2008-08-13,0.072
AMEX,BHV,2008-07-11,0.072
AMEX,BHV,2008-06-12,0.072
AMEX,BHV,2008-05-13,0.072
AMEX,BHV,2008-04-11,0.072
AMEX,BHV,2008-03-12,0.072
AMEX,BHV,2008-02-13,0.072
AMEX,BHV,2008-01-17,0.072
AMEX,BHV,2007-12-26,0.031
AMEX,BHV,2007-12-12,0.072
AMEX,BHV,2007-11-13,0.072
AMEX,BHV,2007-10-11,0.072
AMEX,BHV,2007-09-12,0.072
AMEX,BHV,2007-08-13,0.072
AMEX,BHV,2007-07-12,0.072
AMEX,BHV,2007-06-13,0.072
AMEX,BHV,2007-05-11,0.072
AMEX,BHV,2007-04-12,0.072
AMEX,BHV,2007-03-13,0.072
AMEX,BHV,2007-02-13,0.072
AMEX,BHV,2007-01-11,0.072
AMEX,BHV,2006-12-22,0.052
AMEX,BHV,2006-12-13,0.072
AMEX,BHV,2006-11-13,0.072
AMEX,BHV,2006-10-13,0.072
AMEX,BHV,2006-10-12,0.072
AMEX,BHV,2006-09-13,0.072
AMEX,BHV,2006-08-11,0.072
AMEX,BHV,2006-07-12,0.072
AMEX,BHV,2006-06-13,0.072
AMEX,BHV,2006-05-11,0.072
AMEX,BHV,2006-04-12,0.072
