exchange,stock_symbol,date,dividends
AMEX,COHN,2008-06-18,2.5
AMEX,COHN,2008-03-18,2.5
AMEX,COHN,2007-12-19,3.1
AMEX,COHN,2007-09-19,3.1
AMEX,COHN,2007-06-13,3.1
AMEX,COHN,2007-03-01,3.0
AMEX,COHN,2006-10-30,2.8
AMEX,COHN,2006-08-30,0.3
AMEX,COHN,2006-05-10,0.3
AMEX,COHN,2006-03-14,0.3
AMEX,COHN,2005-11-17,0.3
AMEX,COHN,2005-08-18,0.3
AMEX,COHN,2005-07-06,0.0
AMEX,COHN,2005-04-07,1.8
AMEX,COHN,2005-03-17,2.0
AMEX,COHN,2004-11-24,0.5
AMEX,COHN,2004-08-25,0.15
AMEX,CRV,2008-09-12,0.03
AMEX,CRV,2008-06-11,0.03
AMEX,CRV,2008-03-18,0.07
AMEX,CRV,2007-12-12,0.07
AMEX,CRV,2007-09-13,0.07
AMEX,CRV,2007-06-13,0.07
AMEX,CRV,2007-03-21,0.07
AMEX,CRV,2006-11-28,0.07
AMEX,CRV,2006-08-22,0.07
AMEX,CRV,2006-06-14,0.05
AMEX,CRV,2006-03-10,0.05
AMEX,CRV,2005-11-29,0.04
AMEX,CRV,2005-09-08,0.04
AMEX,CRV,2005-06-13,0.04
AMEX,CRV,2005-02-18,0.04
AMEX,CRV,2004-08-25,0.06
AMEX,CRV,2004-04-06,0.06
AMEX,CRV,2003-04-03,0.06
AMEX,CRF,2010-01-13,0.121
AMEX,CRF,2009-12-11,0.158
AMEX,CRF,2009-11-10,0.158
AMEX,CRF,2009-10-13,0.158
AMEX,CRF,2009-09-11,0.158
AMEX,CRF,2009-08-12,0.158
AMEX,CRF,2009-07-13,0.158
AMEX,CRF,2009-06-11,0.158
AMEX,CRF,2009-05-13,0.158
AMEX,CRF,2009-04-13,0.158
AMEX,CRF,2009-03-11,0.158
AMEX,CRF,2009-02-11,0.158
AMEX,CRF,2009-01-13,0.158
AMEX,CRF,2008-12-11,0.324
AMEX,CRF,2008-11-12,0.324
AMEX,CRF,2008-10-10,0.324
AMEX,CRF,2008-09-11,0.324
AMEX,CRF,2008-08-13,0.324
AMEX,CRF,2008-07-11,0.324
AMEX,CRF,2008-06-11,0.324
AMEX,CRF,2008-05-13,0.324
AMEX,CRF,2008-04-11,0.324
AMEX,CRF,2008-03-12,0.324
AMEX,CRF,2008-02-13,0.324
AMEX,CRF,2008-01-11,0.324
AMEX,CRF,2007-12-12,0.356
AMEX,CRF,2007-11-13,0.356
AMEX,CRF,2007-10-11,0.356
AMEX,CRF,2007-09-12,0.356
AMEX,CRF,2007-08-13,0.356
AMEX,CRF,2007-07-11,0.356
AMEX,CRF,2007-06-13,0.356
AMEX,CRF,2007-05-11,0.356
AMEX,CRF,2007-04-11,0.356
AMEX,CRF,2007-03-13,0.356
AMEX,CRF,2007-02-13,0.356
AMEX,CRF,2007-01-10,0.356
AMEX,CRF,2006-12-13,0.352
AMEX,CRF,2006-11-13,0.352
AMEX,CRF,2006-10-11,0.352
AMEX,CRF,2006-09-13,0.352
AMEX,CRF,2006-08-11,0.352
AMEX,CRF,2006-07-12,0.352
AMEX,CRF,2006-06-13,0.352
AMEX,CRF,2006-05-11,0.352
AMEX,CRF,2006-04-11,0.352
AMEX,CRF,2006-03-13,0.352
AMEX,CRF,2006-02-13,0.352
AMEX,CRF,2006-01-11,0.352
AMEX,CRF,2005-12-13,0.352
AMEX,CRF,2005-11-10,0.352
AMEX,CRF,2005-10-12,0.352
AMEX,CRF,2005-09-13,0.352
AMEX,CRF,2005-08-11,0.352
AMEX,CRF,2005-07-13,0.352
AMEX,CRF,2005-06-13,0.352
AMEX,CRF,2005-05-11,0.352
AMEX,CRF,2005-04-13,0.352
AMEX,CRF,2005-03-11,0.352
AMEX,CRF,2005-02-11,0.352
AMEX,CRF,2005-01-12,0.352
AMEX,CRF,2004-12-13,0.352
AMEX,CRF,2004-11-10,0.352
AMEX,CRF,2004-10-13,0.352
AMEX,CRF,2004-09-13,0.352
AMEX,CRF,2004-08-11,0.352
AMEX,CRF,2004-07-13,0.352
AMEX,CRF,2004-06-14,0.352
AMEX,CRF,2004-05-12,0.352
AMEX,CRF,2004-04-13,0.352
AMEX,CRF,2004-03-11,0.352
AMEX,CRF,2004-02-11,0.352
AMEX,CRF,2004-01-13,0.352
AMEX,CRF,2003-12-11,0.352
AMEX,CRF,2003-11-12,0.33
AMEX,CRF,2003-10-10,0.332
AMEX,CRF,2003-09-11,0.33
AMEX,CRF,2003-08-13,0.33
AMEX,CRF,2003-07-11,0.33
AMEX,CRF,2003-06-11,0.33
AMEX,CRF,2003-05-13,0.33
AMEX,CRF,2003-04-11,0.33
AMEX,CRF,2003-03-12,0.33
AMEX,CRF,2003-02-12,0.33
AMEX,CRF,2003-01-13,0.33
AMEX,CRF,2002-12-11,0.33
AMEX,CRF,2002-11-13,0.33
AMEX,CRF,2002-10-10,0.33
AMEX,CRF,2002-09-12,0.33
AMEX,CRF,2002-08-13,0.33
AMEX,CRF,2002-07-11,0.33
AMEX,CRF,2002-06-12,0.33
AMEX,CRF,2002-05-13,0.33
AMEX,CRF,2002-04-11,0.33
AMEX,CRF,2002-03-13,0.33
AMEX,CRF,2002-02-13,0.33
AMEX,CRF,2001-07-18,0.5
AMEX,CRF,2001-04-25,0.5
AMEX,CRF,2000-12-20,0.6
AMEX,CRF,2000-10-18,0.5
AMEX,CRF,2000-07-19,0.5
AMEX,CRF,2000-04-18,0.5
AMEX,CRF,1999-12-21,0.52
AMEX,CRF,1999-10-20,0.5
AMEX,CRF,1999-07-21,0.526
AMEX,CRF,1999-04-21,0.5
AMEX,CRF,1998-12-16,0.54
AMEX,CRF,1998-10-21,0.52
AMEX,CRF,1998-07-22,0.54
AMEX,CRF,1998-04-15,0.46
AMEX,CRF,1997-12-17,0.74
AMEX,CRF,1997-10-22,0.52
AMEX,CRF,1997-07-16,0.52
AMEX,CRF,1997-04-16,0.56
AMEX,CRF,1996-12-18,0.76
