exchange,stock_symbol,date,dividends
AMEX,DFZ,2009-11-12,0.05
AMEX,DFZ,2009-05-28,0.25
AMEX,DIT,2010-02-05,0.18
AMEX,DIT,2009-11-05,0.18
AMEX,DIT,2009-07-30,0.1
AMEX,DIT,2009-04-30,0.1
AMEX,DIT,2009-02-05,0.1
AMEX,DIT,2008-10-30,0.1
AMEX,DIT,2008-07-31,0.08
AMEX,DIT,2008-05-01,0.08
AMEX,DIT,2004-08-27,0.18
AMEX,DIT,2004-05-26,0.18
AMEX,DIT,2004-02-25,0.18
AMEX,DIT,2003-12-29,0.18
AMEX,DIT,2003-08-27,0.18
AMEX,DIT,2003-05-28,0.18
AMEX,DIT,2003-02-26,0.18
AMEX,DIT,2002-12-27,0.18
AMEX,DIT,2002-08-28,0.18
AMEX,DIT,2002-05-29,0.18
AMEX,DIT,2002-02-26,0.18
AMEX,DIT,2001-12-27,0.18
AMEX,DIT,2001-08-29,0.18
AMEX,DIT,2001-05-29,0.18
AMEX,DIT,2001-02-26,0.18
AMEX,DIT,2000-12-27,0.18
AMEX,DIT,2000-09-06,0.18
AMEX,DIT,2000-06-28,0.18
AMEX,DIT,2000-03-29,0.18
AMEX,DIT,2000-01-21,0.108
AMEX,DIT,1999-12-29,0.10908
AMEX,DIT,1999-09-29,0.10908
AMEX,DIT,1999-06-30,0.10908
AMEX,DBA,2007-12-17,0.45
AMEX,DXR,2009-08-21,0.25
AMEX,DXR,2009-05-27,0.1
AMEX,DXR,2008-12-10,1.0
AMEX,DXR,2008-10-31,0.25
AMEX,DXR,2008-07-24,0.25
AMEX,DXR,1998-04-28,0.125
AMEX,DXR,1997-04-28,0.5
AMEX,DBE,2007-12-17,0.9
AMEX,DBY,2010-01-21,0.067
AMEX,DBY,2009-12-22,0.067
AMEX,DBY,2009-11-23,0.067
AMEX,DBY,2009-10-21,0.067
AMEX,DBY,2009-09-23,0.067
AMEX,DBY,2009-08-21,0.067
AMEX,DBY,2009-07-22,0.067
AMEX,DBY,2009-06-23,0.067
AMEX,DBY,2009-05-20,0.067
AMEX,DBY,2009-04-22,0.067
AMEX,DBY,2009-04-20,0.067
AMEX,DBY,2009-03-20,0.067
AMEX,DBY,2009-02-19,0.067
AMEX,DBY,2008-12-22,0.067
AMEX,DBY,2008-11-21,0.067
AMEX,DBY,2008-10-22,0.067
AMEX,DBY,2008-09-23,0.067
AMEX,DBY,2008-08-21,0.067
AMEX,DBY,2008-07-23,0.067
AMEX,DBY,2008-06-23,0.067
AMEX,DBY,2008-05-21,0.067
AMEX,DBY,2008-04-23,0.067
AMEX,DBY,2008-03-20,0.067
AMEX,DBY,2008-02-20,0.067
AMEX,DBY,2008-01-23,0.067
AMEX,DBY,2007-12-20,0.067
AMEX,DBY,2007-11-20,0.067
AMEX,DBY,2007-10-23,0.067
