exchange,stock_symbol,date,dividends
AMEX,EXB,2009-12-24,0.35
AMEX,EXB,2008-12-24,0.667
AMEX,EXB,2007-12-26,0.024
AMEX,EEB,2009-12-24,0.513
AMEX,EEB,2008-12-24,1.032
AMEX,EEB,2007-12-26,0.243
AMEX,EEB,2006-12-22,0.046
AMEX,EZY,2009-12-21,0.209
AMEX,EZY,2009-09-21,0.18
AMEX,EZY,2009-06-22,0.115
AMEX,EZY,2009-03-23,0.173
AMEX,EZY,2008-12-22,0.211
AMEX,EZY,2008-09-22,0.227
AMEX,EZY,2008-06-23,0.21
AMEX,EZY,2008-03-24,0.239
AMEX,EZY,2007-12-17,0.341
AMEX,EZY,2007-09-24,0.219
AMEX,EZY,2007-06-25,0.267
AMEX,EZY,2007-03-26,0.084
AMEX,EEZ,2009-12-21,0.139
AMEX,EEZ,2009-09-21,0.11
AMEX,EEZ,2009-06-22,0.109
AMEX,EEZ,2009-03-23,0.107
AMEX,EEZ,2008-12-22,0.275
AMEX,EEZ,2008-09-22,0.192
AMEX,EEZ,2008-06-23,0.214
AMEX,EEZ,2008-03-24,0.209
AMEX,EEZ,2007-12-17,0.3
AMEX,EEZ,2007-09-24,0.235
AMEX,EEZ,2007-06-25,0.281
AMEX,EEZ,2007-03-26,0.071
AMEX,ENY,2009-12-24,0.236
AMEX,ENY,2009-09-24,0.106
AMEX,ENY,2009-06-24,0.156
AMEX,ENY,2009-03-25,0.161
AMEX,ENY,2008-12-24,0.422
AMEX,ENY,2008-09-24,0.298
AMEX,ENY,2008-06-24,0.189
AMEX,ENY,2007-12-26,0.73
AMEX,ENX,2010-01-20,0.067
AMEX,ENX,2009-12-22,0.067
AMEX,ENX,2009-11-19,0.067
AMEX,ENX,2009-10-21,0.067
AMEX,ENX,2009-09-21,0.067
AMEX,ENX,2009-08-20,0.067
AMEX,ENX,2009-07-22,0.062
AMEX,ENX,2009-06-19,0.062
AMEX,ENX,2009-05-20,0.062
AMEX,ENX,2009-04-21,0.062
AMEX,ENX,2009-03-20,0.059
AMEX,ENX,2009-02-18,0.059
AMEX,ENX,2009-01-21,0.059
AMEX,ENX,2008-12-22,0.059
AMEX,ENX,2008-11-19,0.059
AMEX,ENX,2008-10-22,0.059
AMEX,ENX,2008-09-19,0.059
AMEX,ENX,2008-08-20,0.059
AMEX,ENX,2008-07-22,0.059
AMEX,ENX,2008-06-19,0.059
AMEX,ENX,2008-05-13,0.059
AMEX,ENX,2008-04-21,0.059
AMEX,ENX,2008-03-19,0.059
AMEX,ENX,2008-02-20,0.059
AMEX,ENX,2008-01-22,0.059
AMEX,ENX,2007-12-19,0.059
AMEX,ENX,2007-11-20,0.059
AMEX,ENX,2007-10-22,0.059
AMEX,ENX,2007-09-19,0.059
AMEX,ENX,2007-08-22,0.059
AMEX,ENX,2007-07-20,0.059
AMEX,ENX,2007-06-20,0.06
AMEX,ENX,2007-05-22,0.06
AMEX,ENX,2007-04-19,0.06
AMEX,ENX,2007-03-21,0.06
AMEX,ENX,2007-02-16,0.06
AMEX,ENX,2007-01-22,0.06
AMEX,ENX,2006-12-19,0.06
AMEX,ENX,2006-11-20,0.06
AMEX,ENX,2006-10-20,0.061
AMEX,ENX,2006-09-20,0.061
AMEX,ENX,2006-08-22,0.061
AMEX,ENX,2006-07-20,0.061
AMEX,ENX,2006-06-21,0.061
AMEX,ENX,2006-05-22,0.064
AMEX,ENX,2006-04-19,0.064
AMEX,ENX,2006-03-22,0.064
AMEX,ENX,2006-02-16,0.064
AMEX,ENX,2006-01-20,0.064
AMEX,ENX,2005-12-20,0.064
AMEX,ENX,2005-11-21,0.064
AMEX,ENX,2005-10-20,0.064
AMEX,ENX,2005-09-21,0.064
AMEX,ENX,2005-08-22,0.064
AMEX,ENX,2005-07-20,0.064
AMEX,ENX,2005-06-21,0.07
AMEX,ENX,2005-05-19,0.07
AMEX,ENX,2005-04-20,0.072
AMEX,ENX,2005-03-22,0.072
AMEX,ENX,2005-02-17,0.072
AMEX,ENX,2005-01-20,0.072
AMEX,ENX,2004-12-21,0.075
AMEX,ENX,2004-11-22,0.075
AMEX,ENX,2004-10-21,0.075
AMEX,ENX,2004-09-22,0.075
AMEX,ENX,2004-08-23,0.075
AMEX,ENX,2004-07-22,0.075
AMEX,ENX,2004-06-22,0.075
AMEX,ENX,2004-05-20,0.075
AMEX,ENX,2004-04-22,0.075
AMEX,ENX,2004-03-22,0.075
AMEX,ENX,2004-02-19,0.075
AMEX,ENX,2004-01-22,0.075
AMEX,ENX,2003-12-22,0.075
AMEX,ENX,2003-11-20,0.075
AMEX,ENX,2003-10-22,0.075
