exchange,stock_symbol,date,dividends
AMEX,FXG,2009-12-22,0.083
AMEX,FXG,2009-06-23,0.112
AMEX,FXG,2008-06-23,0.109
AMEX,FXG,2007-12-21,0.112
AMEX,FXO,2009-12-22,0.04
AMEX,FXO,2009-06-23,0.092
AMEX,FXO,2008-06-23,0.143
AMEX,FXO,2007-12-21,0.208
AMEX,FAX,2010-01-27,0.035
AMEX,FAX,2009-12-29,0.035
AMEX,FAX,2009-11-25,0.035
AMEX,FAX,2009-10-28,0.035
AMEX,FAX,2009-09-28,0.035
AMEX,FAX,2009-08-27,0.035
AMEX,FAX,2009-07-29,0.035
AMEX,FAX,2009-06-26,0.035
AMEX,FAX,2009-05-27,0.035
AMEX,FAX,2009-04-28,0.035
AMEX,FAX,2009-03-27,0.035
AMEX,FAX,2009-02-25,0.035
AMEX,FAX,2009-01-28,0.035
AMEX,FAX,2008-12-29,0.085
AMEX,FAX,2008-11-25,0.035
AMEX,FAX,2008-10-29,0.035
AMEX,FAX,2008-09-26,0.035
AMEX,FAX,2008-08-27,0.035
AMEX,FAX,2008-07-29,0.035
AMEX,FAX,2008-06-26,0.035
AMEX,FAX,2008-05-28,0.035
AMEX,FAX,2008-04-28,0.035
AMEX,FAX,2008-03-27,0.035
AMEX,FAX,2008-02-27,0.035
AMEX,FAX,2008-01-29,0.035
AMEX,FAX,2007-12-27,0.035
AMEX,FAX,2007-11-28,0.035
AMEX,FAX,2007-10-29,0.035
AMEX,FAX,2007-09-26,0.035
AMEX,FAX,2007-08-29,0.035
AMEX,FAX,2007-07-27,0.035
AMEX,FAX,2007-06-27,0.035
AMEX,FAX,2007-05-29,0.035
AMEX,FAX,2007-04-26,0.035
AMEX,FAX,2007-03-28,0.035
AMEX,FAX,2007-02-26,0.035
AMEX,FAX,2007-01-29,0.035
AMEX,FAX,2006-12-27,0.035
AMEX,FAX,2006-11-28,0.035
AMEX,FAX,2006-10-27,0.035
AMEX,FAX,2006-09-27,0.035
AMEX,FAX,2006-08-29,0.035
AMEX,FAX,2006-07-27,0.035
AMEX,FAX,2006-06-28,0.035
AMEX,FAX,2006-05-26,0.035
AMEX,FAX,2006-04-26,0.035
AMEX,FAX,2006-03-29,0.035
AMEX,FAX,2006-02-24,0.035
AMEX,FAX,2006-01-27,0.035
AMEX,FAX,2005-12-28,0.035
AMEX,FAX,2005-11-28,0.035
AMEX,FAX,2005-10-27,0.035
AMEX,FAX,2005-09-28,0.035
AMEX,FAX,2005-08-29,0.035
AMEX,FAX,2005-07-27,0.035
AMEX,FAX,2005-06-28,0.035
AMEX,FAX,2005-05-26,0.035
AMEX,FAX,2005-04-27,0.035
AMEX,FAX,2005-03-29,0.035
AMEX,FAX,2005-02-24,0.035
AMEX,FAX,2005-01-27,0.035
AMEX,FAX,2004-12-29,0.035
AMEX,FAX,2004-11-26,0.035
AMEX,FAX,2004-10-27,0.035
AMEX,FAX,2004-09-28,0.035
AMEX,FAX,2004-08-27,0.035
AMEX,FAX,2004-07-28,0.035
