exchange,stock_symbol,date,dividends
AMEX,GMM,2009-12-18,0.406
AMEX,GMM,2009-06-19,0.048
AMEX,GMM,2007-12-21,1.399
AMEX,GML,2009-12-18,0.553
AMEX,GML,2009-06-19,0.389
AMEX,GML,2007-12-21,0.998
AMEX,GEL,2010-02-03,0.36
AMEX,GEL,2009-10-29,0.353
AMEX,GEL,2009-07-31,0.345
AMEX,GEL,2009-04-30,0.338
AMEX,GEL,2009-01-30,0.33
AMEX,GEL,2008-10-31,0.323
AMEX,GEL,2008-08-05,0.315
AMEX,GEL,2008-05-07,0.3
AMEX,GEL,2008-02-05,0.285
AMEX,GEL,2007-11-02,0.27
AMEX,GEL,2007-08-02,0.23
AMEX,GEL,2007-05-03,0.22
AMEX,GEL,2007-02-01,0.21
AMEX,GEL,2006-10-31,0.2
AMEX,GEL,2006-07-27,0.19
AMEX,GEL,2006-04-28,0.18
AMEX,GEL,2006-02-01,0.17
AMEX,GEL,2005-11-02,0.16
AMEX,GEL,2005-07-27,0.15
AMEX,GEL,2005-04-28,0.15
AMEX,GEL,2005-01-27,0.15
AMEX,GEL,2004-11-01,0.15
AMEX,GEL,2004-07-28,0.15
AMEX,GEL,2004-04-28,0.15
AMEX,GEL,2004-01-28,0.15
AMEX,GEL,2003-10-29,0.05
AMEX,GEL,2003-07-29,0.05
AMEX,GEL,2003-04-28,0.05
AMEX,GEL,2002-12-03,0.2
AMEX,GEL,2001-10-29,0.2
AMEX,GEL,2001-07-27,0.2
AMEX,GEL,2001-04-26,0.2
AMEX,GEL,2001-01-29,0.2
AMEX,GEL,2000-12-14,0.28
AMEX,GEL,2000-10-27,0.5
AMEX,GEL,2000-07-27,0.5
AMEX,GEL,2000-04-27,0.5
AMEX,GEL,2000-01-27,0.5
AMEX,GEL,1999-10-27,0.5
AMEX,GEL,1999-07-28,0.5
AMEX,GEL,1999-04-28,0.5
AMEX,GEL,1999-01-27,0.5
AMEX,GEL,1998-10-28,0.5
AMEX,GEL,1998-07-29,0.5
AMEX,GEL,1998-04-28,0.5
AMEX,GEL,1998-01-28,0.5
AMEX,GEL,1997-10-29,0.5
AMEX,GEL,1997-07-29,0.5
AMEX,GEL,1997-04-28,0.66
AMEX,GXC,2009-12-18,0.165
AMEX,GXC,2009-06-19,0.537
AMEX,GXC,2007-12-21,0.626
AMEX,GRF,2009-12-09,0.05
AMEX,GRF,2008-12-10,0.351
AMEX,GRF,2007-12-12,0.877
AMEX,GRF,2006-12-18,0.687
AMEX,GRF,2006-06-22,0.5
AMEX,GRF,2005-12-19,0.165
AMEX,GRF,2004-12-16,0.17043
AMEX,GMF,2009-12-18,0.487
AMEX,GMF,2009-06-19,0.238
