exchange,stock_symbol,date,dividends
AMEX,HYG,2010-02-01,0.663
AMEX,HYG,2009-12-29,0.58
AMEX,HYG,2009-12-01,0.622
AMEX,HYG,2009-11-02,0.703
AMEX,HYG,2009-10-01,0.705
AMEX,HYG,2009-09-01,0.702
AMEX,HYG,2009-08-07,0.0
AMEX,HYG,2009-08-03,0.708
AMEX,HYG,2009-07-01,0.725
AMEX,HYG,2009-06-01,0.715
AMEX,HYG,2009-05-01,0.591
AMEX,HYG,2009-04-01,0.806
AMEX,HYG,2009-03-02,0.719
AMEX,HYG,2009-02-02,0.753
AMEX,HYG,2008-12-29,0.524
AMEX,HYG,2008-12-01,0.698
AMEX,HYG,2008-11-03,0.69
AMEX,HYG,2008-10-01,0.69
AMEX,HYG,2008-09-02,0.62
AMEX,HYG,2008-08-01,0.663
AMEX,HYG,2008-07-01,0.651
AMEX,HYG,2008-06-02,0.634
AMEX,HYG,2008-05-01,0.568
AMEX,HYG,2008-04-01,0.642
AMEX,HYG,2008-03-03,0.616
AMEX,HYG,2008-02-01,0.664
AMEX,HYG,2007-12-27,0.565
AMEX,HYG,2007-12-03,0.642
AMEX,HYG,2007-11-01,0.68
AMEX,HYG,2007-10-01,0.645
AMEX,HYG,2007-09-04,0.623
AMEX,HYG,2007-08-01,0.63
AMEX,HYG,2007-07-02,0.603
AMEX,HYG,2007-06-01,0.586
AMEX,HYG,2007-05-01,0.293
AMEX,HH,2005-11-08,0.015
AMEX,HH,2005-08-10,0.015
AMEX,HH,2005-05-11,0.015
AMEX,HH,2005-02-09,0.015
AMEX,HH,2004-11-09,0.015
AMEX,HH,2004-08-11,0.015
AMEX,HH,2004-05-12,0.015
AMEX,HH,2004-02-11,0.015
AMEX,HH,2003-11-12,0.013
AMEX,HH,2003-08-13,0.013
AMEX,HH,2003-05-07,0.013
AMEX,HH,2003-02-12,0.013
AMEX,HH,2002-11-13,0.01
AMEX,HH,2002-08-14,0.01
AMEX,HH,2002-05-08,0.01
AMEX,HH,2002-02-12,0.01
AMEX,HH,2001-11-07,0.008
AMEX,HH,2001-08-09,0.008
AMEX,HH,2001-05-09,0.008
