exchange,stock_symbol,date,dividends
AMEX,ITI,1997-11-03,10.25
AMEX,IF,2009-12-18,1.191
AMEX,IF,2009-09-28,0.007
AMEX,IF,2008-12-24,0.07
AMEX,IF,2008-09-03,0.001
AMEX,IF,2007-12-26,0.021
AMEX,IF,2007-09-04,0.002
AMEX,IF,2006-12-18,0.05
AMEX,IF,2006-09-01,0.002
AMEX,IF,2005-09-01,0.004
AMEX,IF,2004-12-17,0.09
AMEX,IF,2004-09-01,0.005
AMEX,IF,2003-12-19,0.023
AMEX,INS,2000-04-05,0.52
AMEX,ICH,2008-02-21,0.04
AMEX,ICH,2006-06-13,0.04
AMEX,ICH,2005-04-28,0.02
AMEX,IIN,2001-06-13,0.045
AMEX,IIN,2001-03-13,0.045
AMEX,IIN,2000-12-13,0.045
AMEX,IIN,2000-09-13,0.045
AMEX,IIN,2000-06-13,0.045
AMEX,IIN,2000-03-13,0.045
AMEX,IIN,1999-12-13,0.045
AMEX,IIN,1999-09-13,0.045
AMEX,IIN,1999-06-11,0.045
AMEX,IIN,1999-03-11,0.045
AMEX,IIN,1998-12-08,0.045
AMEX,IIN,1998-09-08,0.045
AMEX,IIN,1998-06-11,0.045
AMEX,IIN,1998-03-12,0.045
AMEX,IIN,1997-12-10,0.045
AMEX,IIN,1997-09-10,0.045
AMEX,IIN,1997-06-06,0.04533
AMEX,IIN,1997-03-20,0.04333
AMEX,IIN,1996-11-27,0.04333
AMEX,IIN,1996-09-06,0.04
AMEX,IIN,1996-06-10,0.04
AMEX,IIN,1996-03-13,0.04
AMEX,IIN,1995-12-06,0.04
AMEX,IIN,1995-09-13,0.04
AMEX,IIN,1995-06-13,0.03667
AMEX,IIN,1995-03-09,0.03667
AMEX,IIN,1994-12-05,0.03667
AMEX,IIN,1994-09-12,0.03333
AMEX,IIN,1994-06-13,0.03333
AMEX,IIN,1994-03-21,0.03333
AMEX,IIN,1993-12-06,0.03333
AMEX,IIN,1993-09-17,0.03333
AMEX,IIN,1993-06-16,0.03333
AMEX,IIN,1993-03-17,0.03333
AMEX,IIN,1992-12-07,0.03333
AMEX,IIN,1992-09-14,0.03333
AMEX,IIN,1992-06-09,0.03333
AMEX,INY,2010-02-01,0.072
AMEX,INY,2009-12-29,0.077
AMEX,INY,2009-12-01,0.075
AMEX,INY,2009-11-02,0.074
AMEX,INY,2009-10-01,0.074
AMEX,INY,2009-09-01,0.071
AMEX,INY,2009-08-03,0.073
AMEX,INY,2009-07-01,0.07
AMEX,INY,2009-06-01,0.072
AMEX,INY,2009-05-01,0.071
AMEX,INY,2009-04-01,0.07
AMEX,INY,2009-03-02,0.071
AMEX,INY,2009-02-02,0.069
AMEX,INY,2008-12-29,0.076
AMEX,INY,2008-12-01,0.074
AMEX,INY,2008-11-03,0.075
AMEX,INY,2008-10-01,0.074
AMEX,INY,2008-09-02,0.074
AMEX,INY,2008-08-01,0.073
AMEX,INY,2008-07-01,0.074
AMEX,INY,2008-06-02,0.073
AMEX,INY,2008-05-01,0.074
AMEX,INY,2008-04-01,0.073
AMEX,INY,2008-03-03,0.073
AMEX,INY,2008-02-01,0.055
AMEX,INY,2007-12-28,0.091
AMEX,INY,2007-12-03,0.075
AMEX,INY,2007-11-01,0.046
AMEX,IIG,2009-12-29,0.02
AMEX,IIG,2009-12-24,0.02
AMEX,IIG,2009-09-18,0.02
AMEX,IIG,2009-07-13,0.02
AMEX,IIG,2009-04-02,0.02
AMEX,IIG,2008-12-31,0.02
AMEX,IIG,2008-09-17,0.11
AMEX,IIG,2008-06-18,0.11
AMEX,IIG,2008-03-18,0.11
AMEX,IIG,2007-12-18,0.11
AMEX,IIG,2007-09-18,0.11
AMEX,IIG,2007-06-18,0.1
AMEX,IIG,2007-03-16,0.1
AMEX,IPE,2010-02-01,0.096
AMEX,IPE,2009-12-29,0.109
AMEX,IPE,2009-12-01,0.095
AMEX,IPE,2009-11-02,0.166
AMEX,IPE,2009-10-01,0.027
AMEX,IPE,2009-09-01,0.455
AMEX,IPE,2009-08-03,0.102
AMEX,IPE,2008-10-01,0.325
AMEX,IPE,2008-09-02,0.546
AMEX,IPE,2008-08-01,0.457
AMEX,IPE,2008-07-01,0.356
AMEX,IPE,2008-06-02,0.473
AMEX,IPE,2008-05-01,0.206
AMEX,IPE,2008-04-01,0.303
AMEX,IPE,2008-03-03,0.043
AMEX,IPE,2008-02-01,0.092
AMEX,IPE,2007-12-28,0.426
AMEX,IPE,2007-12-03,0.199
AMEX,IPE,2007-11-01,0.015
AMEX,IPE,2007-10-01,0.077
AMEX,IPE,2007-09-04,0.207
AMEX,IPE,2007-08-01,0.387
AMEX,IPE,2007-07-02,0.435
AMEX,ISL,2008-12-24,1.99
AMEX,ISL,2008-09-03,0.24
AMEX,ISL,2007-12-26,1.98
AMEX,ISL,2007-09-04,0.22
AMEX,ISL,2006-12-18,1.33
AMEX,ISL,2006-09-01,0.02
AMEX,ISL,2003-06-04,0.351
AMEX,ISL,2002-06-05,0.17
AMEX,ISL,2001-01-16,3.15
AMEX,ISL,2000-12-13,0.125
AMEX,ISL,1999-12-13,1.87
AMEX,ISL,1998-12-29,1.41
AMEX,ISL,1997-12-29,0.47
AMEX,ISL,1997-06-04,1.035
AMEX,ISL,1994-11-30,0.03
AMEX,ISL,1993-11-30,0.54
AMEX,IMO,2009-12-02,0.1
AMEX,IMO,2009-09-02,0.092
AMEX,IMO,2009-06-02,0.1
AMEX,IMO,2009-02-26,0.082
AMEX,IMO,2008-12-03,0.082
AMEX,IMO,2008-09-03,0.1
AMEX,IMO,2008-06-04,0.09
AMEX,IMO,2008-02-28,0.09
AMEX,IMO,2007-11-28,0.09
AMEX,IMO,2007-09-06,0.09
AMEX,IMO,2007-06-04,0.09
AMEX,IMO,2007-02-28,0.08
AMEX,IMO,2006-12-01,0.08
AMEX,IMO,2006-09-06,0.08
AMEX,IMO,2006-06-02,0.08
AMEX,IMO,2006-03-01,0.08
AMEX,IMO,2005-11-29,0.08
AMEX,IMO,2005-08-30,0.08
AMEX,IMO,2005-06-06,0.08
AMEX,IMO,2005-03-01,0.07333
AMEX,IMO,2004-11-29,0.07333
AMEX,IMO,2004-08-30,0.07333
AMEX,IMO,2004-06-04,0.07333
AMEX,IMO,2004-03-01,0.07333
AMEX,IMO,2003-12-01,0.07333
AMEX,IMO,2003-08-28,0.07333
AMEX,IMO,2003-06-02,0.07333
AMEX,IMO,2003-02-28,0.07
AMEX,IMO,2002-11-29,0.07
AMEX,IMO,2002-08-29,0.07
AMEX,IMO,2002-06-04,0.07
AMEX,IMO,2002-03-06,0.07
AMEX,IMO,2001-11-29,0.07
AMEX,IMO,2001-08-30,0.07
AMEX,IMO,2001-06-01,0.07
AMEX,IMO,2001-03-01,0.065
AMEX,IMO,2000-11-29,0.065
AMEX,IMO,2000-08-30,0.065
AMEX,IMO,2000-06-01,0.065
AMEX,IMO,2000-03-01,0.065
AMEX,IMO,1999-11-29,0.065
AMEX,IMO,1999-08-30,0.06167
AMEX,IMO,1999-06-01,0.06167
AMEX,IMO,1999-03-04,0.06167
AMEX,IMO,1998-11-27,0.06167
AMEX,IMO,1998-08-28,0.06167
AMEX,IMO,1998-05-28,0.06167
AMEX,IMO,1998-02-26,0.06111
AMEX,IMO,1997-11-28,0.06111
AMEX,IMO,1997-09-03,0.06111
AMEX,IMO,1997-05-29,0.06111
AMEX,IMO,1997-02-27,0.06111
AMEX,IMO,1996-11-27,0.06111
AMEX,IMO,1996-08-29,0.05556
AMEX,IMO,1996-05-30,0.05556
AMEX,IMO,1996-02-29,0.05556
AMEX,IMO,1995-11-30,0.05556
AMEX,IMO,1995-08-30,0.05556
AMEX,IMO,1995-05-30,0.05
AMEX,IMO,1995-03-06,0.05
AMEX,IMO,1994-11-28,0.05
AMEX,IMO,1994-08-29,0.05
AMEX,IMO,1994-05-27,0.05
AMEX,IMO,1994-04-26,0.33333
AMEX,IMO,1994-02-28,0.05
AMEX,IMO,1993-11-24,0.05
AMEX,IMO,1993-08-26,0.05
AMEX,IMO,1993-05-25,0.05
AMEX,IMO,1993-03-02,0.05
AMEX,IMO,1992-11-24,0.05
AMEX,IMO,1992-08-26,0.05
AMEX,IMO,1992-05-26,0.05
AMEX,IMO,1992-02-25,0.05
AMEX,IMO,1991-11-25,0.05
AMEX,IMO,1991-08-27,0.05
AMEX,IMO,1991-05-28,0.05
AMEX,IMO,1991-02-26,0.05
AMEX,IMO,1990-11-27,0.05
AMEX,IMO,1990-08-28,0.05
AMEX,IMO,1990-05-25,0.05
AMEX,IMO,1990-02-26,0.05
AMEX,IMO,1989-11-27,0.05
AMEX,IMO,1989-08-28,0.05
AMEX,IMO,1989-05-26,0.05
AMEX,IMO,1989-02-27,0.05
AMEX,IMO,1988-11-25,0.05
AMEX,IMO,1988-08-26,0.05
AMEX,IMO,1988-05-25,0.05
AMEX,IMO,1988-02-25,0.05
AMEX,IMO,1987-11-24,0.05
AMEX,IMO,1987-08-26,0.01778
AMEX,IMPM,2007-04-04,1.0
AMEX,IMPM,2007-01-11,2.5
AMEX,IMPM,2006-10-04,2.5
AMEX,IMPM,2006-07-05,2.5
AMEX,IMPM,2006-04-05,2.5
AMEX,IMPM,2006-01-12,2.0
AMEX,IMPM,2005-10-05,4.5
AMEX,IMPM,2005-07-06,7.5
AMEX,IMPM,2005-04-06,7.5
AMEX,IMPM,2004-12-13,7.5
AMEX,IMPM,2004-10-06,7.5
AMEX,IMPM,2004-07-01,7.5
AMEX,IMPM,2004-04-01,6.5
AMEX,IMPM,2003-12-11,5.5
AMEX,IMPM,2003-10-01,5.0
AMEX,IMPM,2003-07-01,5.0
AMEX,IMPM,2003-04-02,5.0
AMEX,IMPM,2002-12-30,4.8
AMEX,IMPM,2002-09-30,4.5
AMEX,IMPM,2002-07-01,4.3
AMEX,IMPM,2002-04-01,4.0
AMEX,IMPM,2001-12-28,4.4
AMEX,IMPM,2001-10-30,1.2
AMEX,IMPM,2001-09-27,1.3
AMEX,IMPM,2000-10-06,1.2
AMEX,IMPM,2000-07-03,1.2
AMEX,IMPM,2000-04-06,1.2
AMEX,IMPM,1999-12-30,1.3
AMEX,IMPM,1999-09-28,1.3
AMEX,IMPM,1999-06-28,1.2
AMEX,IMPM,1999-04-07,1.0
AMEX,IMPM,1998-10-07,4.9
AMEX,IMPM,1998-06-29,4.9
AMEX,IMPM,1998-04-07,4.8
AMEX,IMPM,1997-12-29,4.6
AMEX,IMPM,1997-09-11,4.3333
AMEX,IMPM,1997-07-02,4.0
AMEX,IMPM,1997-03-27,3.5
AMEX,IMPM,1996-09-26,3.4667
AMEX,IMPM,1996-06-11,3.0
AMEX,IHT,2010-01-21,0.01
AMEX,IHT,2009-01-15,0.01
AMEX,IHT,2008-01-17,0.01
AMEX,IHT,2007-01-18,0.01
AMEX,IHT,2006-01-18,0.01
AMEX,IHT,2005-01-13,0.01
AMEX,IHT,2004-01-15,0.02
AMEX,IHT,2003-01-15,0.01
AMEX,IHT,2002-01-22,0.003
AMEX,IHT,2001-01-22,0.01
AMEX,IHT,2000-10-25,0.01
AMEX,IHT,2000-07-19,0.01
AMEX,IHT,2000-04-18,0.01
AMEX,IHT,2000-01-19,0.01
AMEX,IHT,1999-10-14,0.01
AMEX,IHT,1998-08-06,0.1
AMEX,IHT,1997-05-29,0.05
AMEX,IHT,1997-03-06,0.1
AMEX,IHT,1996-11-26,0.1
AMEX,IHT,1996-08-29,0.1
AMEX,IHT,1996-05-30,0.1
AMEX,IHT,1996-03-06,0.175
AMEX,IHT,1995-11-28,0.1
AMEX,IHT,1995-08-30,0.175
AMEX,IHT,1995-05-25,0.2
AMEX,IHT,1995-02-28,0.2
AMEX,IHT,1994-11-25,0.2
AMEX,IHT,1994-08-26,0.2
AMEX,IHT,1994-05-25,0.2
AMEX,IHT,1994-02-23,0.18
AMEX,IHT,1993-11-23,0.18
AMEX,IHT,1993-08-26,0.25
AMEX,IHT,1993-05-25,0.25
AMEX,IHT,1993-02-23,0.25
AMEX,IHT,1992-11-23,0.25
AMEX,IHT,1992-08-26,0.25
AMEX,IHT,1992-05-26,0.34
AMEX,IHT,1992-02-25,0.43
AMEX,IHT,1991-11-22,0.43
AMEX,IHT,1991-08-26,0.43
AMEX,IHT,1991-05-24,0.43
AMEX,IHT,1991-02-22,0.43
AMEX,IHT,1990-11-26,0.43
AMEX,IHT,1990-08-27,0.43
AMEX,IHT,1990-05-24,0.43
AMEX,IHT,1990-02-22,0.43
AMEX,IHT,1989-11-24,0.43
AMEX,IHT,1989-08-25,0.43
AMEX,IHT,1989-05-24,0.43
AMEX,IHT,1989-02-22,0.43
