exchange,stock_symbol,date,dividends
AMEX,JPP,2009-12-18,0.32
AMEX,JPP,2007-12-21,1.852
AMEX,JVA,2008-02-13,0.28
AMEX,JRS,2009-12-11,0.22
AMEX,JRS,2009-09-11,0.22
AMEX,JRS,2009-06-11,0.22
AMEX,JRS,2009-03-11,0.27
AMEX,JRS,2008-12-11,0.336
AMEX,JRS,2008-09-11,0.458
AMEX,JRS,2008-06-11,0.5
AMEX,JRS,2008-03-12,0.5
AMEX,JRS,2007-12-12,0.57
AMEX,JRS,2007-09-12,0.57
AMEX,JRS,2007-06-13,0.57
AMEX,JRS,2007-04-11,0.19
AMEX,JRS,2007-03-13,0.19
AMEX,JRS,2007-02-13,0.19
AMEX,JRS,2007-01-10,0.19
AMEX,JRS,2006-12-13,0.19
AMEX,JRS,2006-11-13,0.175
AMEX,JRS,2006-10-11,0.175
AMEX,JRS,2006-09-13,0.175
AMEX,JRS,2006-08-11,0.165
AMEX,JRS,2006-07-12,0.165
AMEX,JRS,2006-06-13,0.165
AMEX,JRS,2006-05-11,0.155
AMEX,JRS,2006-04-11,0.155
AMEX,JRS,2006-03-13,0.155
AMEX,JRS,2006-02-13,0.145
AMEX,JRS,2006-01-11,0.145
AMEX,JRS,2005-12-13,0.145
AMEX,JRS,2005-11-10,0.145
AMEX,JRS,2005-10-12,0.145
AMEX,JRS,2005-09-13,0.145
AMEX,JRS,2005-08-11,0.135
AMEX,JRS,2005-07-13,0.135
AMEX,JRS,2005-06-13,0.135
AMEX,JRS,2005-05-11,0.135
AMEX,JRS,2005-04-13,0.135
AMEX,JRS,2005-03-11,0.135
AMEX,JRS,2005-02-11,0.135
AMEX,JRS,2005-01-12,0.135
AMEX,JRS,2004-12-13,0.135
AMEX,JRS,2004-11-10,0.135
AMEX,JRS,2004-10-13,0.135
AMEX,JRS,2004-09-13,0.135
AMEX,JRS,2004-08-11,0.115
AMEX,JRS,2004-07-13,0.115
AMEX,JRS,2004-06-14,0.115
AMEX,JRS,2004-05-12,0.115
AMEX,JRS,2004-04-13,0.115
AMEX,JRS,2004-03-11,0.115
AMEX,JRS,2004-02-11,0.115
AMEX,JRS,2004-01-13,0.115
AMEX,JRS,2003-12-11,0.115
AMEX,JRS,2003-11-12,0.115
AMEX,JRS,2003-10-10,0.115
AMEX,JRS,2003-09-11,0.115
AMEX,JRS,2003-08-13,0.115
AMEX,JRS,2003-07-11,0.115
AMEX,JRS,2003-06-11,0.115
AMEX,JRS,2003-05-13,0.115
AMEX,JRS,2003-04-11,0.115
AMEX,JRS,2003-03-12,0.115
AMEX,JRS,2003-02-12,0.115
AMEX,JRS,2003-01-13,0.115
AMEX,JRS,2002-12-11,0.153
AMEX,JRS,2002-11-13,0.115
AMEX,JRS,2002-10-10,0.115
AMEX,JRS,2002-09-11,0.115
AMEX,JRS,2002-08-13,0.113
AMEX,JRS,2002-07-11,0.113
AMEX,JRS,2002-06-12,0.113
AMEX,JRS,2002-05-13,0.113
AMEX,JRS,2002-04-11,0.113
AMEX,JRS,2002-03-13,0.113
AMEX,JRS,2002-02-13,0.113
AMEX,JRS,2002-01-11,0.113
AMEX,JCS,2009-12-11,0.14
AMEX,JCS,2009-09-11,0.14
AMEX,JCS,2009-06-11,0.14
AMEX,JCS,2009-03-13,0.12
AMEX,JCS,2008-12-11,0.12
AMEX,JCS,2008-09-12,0.12
AMEX,JCS,2008-06-12,0.12
AMEX,JCS,2008-03-13,0.12
AMEX,JCS,2007-12-14,0.12
AMEX,JCS,2007-09-12,0.12
AMEX,JCS,2007-06-20,0.1
AMEX,JCS,2007-03-14,0.1
AMEX,JCS,2006-12-14,0.1
AMEX,JCS,2006-09-14,0.09
AMEX,JCS,2006-06-14,0.09
AMEX,JCS,2006-03-15,0.08
AMEX,JCS,2005-12-14,0.08
AMEX,JCS,2005-09-15,0.07
AMEX,JCS,2005-06-15,0.07
AMEX,JCS,2005-03-16,0.07
AMEX,JCS,2004-12-15,0.06
AMEX,JCS,2004-09-15,0.05
AMEX,JCS,2004-06-15,0.04
AMEX,JCS,2004-03-17,0.04
AMEX,JCS,2003-12-12,0.04
AMEX,JCS,2003-09-17,0.04
AMEX,JCS,2003-06-16,0.04
AMEX,JCS,2003-03-14,0.04
AMEX,JCS,2002-12-18,0.04
AMEX,JCS,2001-06-20,0.1
AMEX,JCS,2001-03-20,0.1
AMEX,JCS,2000-12-14,0.1
AMEX,JCS,2000-09-14,0.1
AMEX,JCS,2000-06-19,0.1
AMEX,JCS,2000-03-15,0.1
AMEX,JCS,1999-12-15,0.1
AMEX,JCS,1999-09-15,0.1
AMEX,JCS,1999-06-16,0.1
AMEX,JCS,1999-03-17,0.1
AMEX,JCS,1998-12-16,0.1
AMEX,JCS,1998-09-16,0.1
AMEX,JCS,1998-06-17,0.1
AMEX,JCS,1998-03-18,0.09
AMEX,JCS,1997-12-17,0.09
AMEX,JCS,1997-09-17,0.09
AMEX,JCS,1997-06-18,0.09
AMEX,JCS,1997-03-19,0.08
AMEX,JCS,1996-12-18,0.08
AMEX,JCS,1996-09-18,0.08
AMEX,JCS,1996-06-14,0.08
AMEX,JCS,1996-03-14,0.07
AMEX,JCS,1995-12-20,0.07
AMEX,JCS,1995-09-20,0.07
AMEX,JCS,1995-06-14,0.07
AMEX,JCS,1995-03-13,0.06
AMEX,JCS,1994-12-19,0.06
AMEX,JCS,1994-09-19,0.06
AMEX,JCS,1994-06-13,0.06
AMEX,JCS,1994-03-14,0.05
AMEX,JCS,1993-12-17,0.05
AMEX,JCS,1993-09-16,0.05
AMEX,JCS,1993-06-14,0.05
AMEX,JCS,1993-03-15,0.045
AMEX,JCS,1992-12-15,0.045
AMEX,JCS,1992-09-17,0.045
AMEX,JCS,1992-06-15,0.045
AMEX,JCS,1992-03-16,0.04
AMEX,JCS,1991-12-16,0.04
AMEX,JCS,1991-09-16,0.04
AMEX,JCS,1991-03-18,0.035
AMEX,JCS,1990-12-17,0.03
AMEX,JCS,1990-09-17,0.03
AMEX,JOB,2007-12-12,0.1
AMEX,JOB,2006-12-13,0.1
AMEX,JOB,2000-12-13,0.25
AMEX,JOB,1999-12-15,0.05
AMEX,JOB,1998-12-14,0.01043
AMEX,JOB,1998-10-14,0.01043
AMEX,JOB,1997-12-11,0.03952
AMEX,JOB,1995-10-10,0.54992
AMEX,JOB,1994-10-19,0.48943
