exchange,stock_symbol,date,dividends
AMEX,KIE,2009-12-18,0.132
AMEX,KIE,2009-09-18,0.129
AMEX,KIE,2009-06-19,0.106
AMEX,KIE,2009-03-20,0.127
AMEX,KIE,2008-09-19,0.209
AMEX,KIE,2008-06-20,0.201
AMEX,KIE,2008-03-20,0.174
AMEX,KIE,2007-12-21,0.346
AMEX,KIE,2007-09-21,0.378
AMEX,KIE,2007-06-15,0.126
AMEX,KIE,2007-03-16,0.118
AMEX,KIE,2006-09-15,0.049
AMEX,KIE,2006-06-16,0.14
AMEX,KIE,2006-03-17,0.159
AMEX,KIE,2005-12-16,0.113
AMEX,KCE,2009-12-18,0.092
AMEX,KCE,2009-09-18,0.041
AMEX,KCE,2009-06-19,0.062
AMEX,KCE,2009-03-20,0.099
AMEX,KCE,2008-09-19,0.14
AMEX,KCE,2008-06-20,0.137
AMEX,KCE,2008-03-20,0.117
AMEX,KCE,2007-12-21,0.13
AMEX,KCE,2007-09-21,0.246
AMEX,KCE,2007-06-15,0.063
AMEX,KCE,2007-03-16,0.045
AMEX,KCE,2006-09-15,0.119
AMEX,KCE,2006-06-16,0.144
AMEX,KCE,2006-03-17,2.451
AMEX,KCE,2005-12-16,0.02
AMEX,KBE,2009-12-18,0.016
AMEX,KBE,2009-09-18,0.079
AMEX,KBE,2009-06-19,0.121
AMEX,KBE,2009-03-20,0.142
AMEX,KBE,2008-09-19,0.373
AMEX,KBE,2008-06-20,0.422
AMEX,KBE,2008-03-20,0.415
AMEX,KBE,2007-12-21,0.515
AMEX,KBE,2007-09-21,0.42
AMEX,KBE,2007-06-15,1.153
AMEX,KBE,2007-03-16,0.395
AMEX,KBE,2006-09-15,0.471
AMEX,KBE,2006-06-16,0.452
AMEX,KBE,2006-03-17,0.303
AMEX,KBE,2005-12-16,0.131
AMEX,KRE,2009-12-18,0.043
AMEX,KRE,2009-09-18,0.112
AMEX,KRE,2009-06-19,0.126
AMEX,KRE,2009-03-20,0.177
AMEX,KRE,2008-09-19,0.34
AMEX,KRE,2008-06-20,0.164
AMEX,KRE,2007-12-21,0.963
AMEX,KRE,2007-09-21,0.468
AMEX,KRE,2007-06-15,0.554
AMEX,KRE,2007-03-16,0.269
AMEX,KRE,2006-09-15,0.382
AMEX,KAZ,2002-09-03,13.3
AMEX,KSW,2009-06-25,0.1
AMEX,KSW,2008-05-21,0.2
AMEX,KSW,2007-05-22,0.0
AMEX,KSW,2006-05-22,0.05714
