exchange,stock_symbol,date,dividends
AMEX,LAQ,2009-12-18,0.989
AMEX,LAQ,2009-09-28,0.015
AMEX,LAQ,2008-12-24,2.49
AMEX,LAQ,2008-09-03,1.15
AMEX,LAQ,2007-12-26,9.93
AMEX,LAQ,2007-09-04,2.62
AMEX,LAQ,2006-12-18,4.48
AMEX,LAQ,2006-09-01,0.95
AMEX,LAQ,2005-12-19,0.78
AMEX,LAQ,2004-12-17,0.46
AMEX,LAQ,2003-12-19,0.14
AMEX,LAQ,2002-12-19,0.21
AMEX,LAQ,2001-12-26,0.48
AMEX,LAQ,2001-09-05,0.06
AMEX,LAQ,2000-12-26,0.06
AMEX,LAQ,1999-12-13,0.5
AMEX,LAQ,1998-12-29,0.45
AMEX,LAQ,1997-12-29,2.42
AMEX,LAQ,1997-09-10,0.24
AMEX,LAQ,1996-12-27,0.03
AMEX,LAQ,1996-09-11,0.2
AMEX,LAQ,1995-09-13,0.19
AMEX,LAQ,1994-12-21,0.07
AMEX,LAQ,1994-08-15,0.07
AMEX,LAQ,1993-12-21,2.032
AMEX,LAQ,1993-08-10,0.99
AMEX,LAQ,1993-01-25,6.065
AMEX,LAQ,1992-08-31,2.451
AMEX,LAQ,1991-12-18,2.904
AMEX,LAQ,1991-08-05,0.565
AMEX,LAQ,1990-12-17,0.265
AMEX,LVL,2009-12-24,0.08
AMEX,LVL,2009-09-24,0.108
AMEX,LVL,2009-06-24,0.263
AMEX,LVL,2009-03-25,0.039
AMEX,LVL,2008-12-24,0.141
AMEX,LVL,2008-09-24,0.135
AMEX,LVL,2008-08-25,0.135
AMEX,LVL,2008-07-25,0.135
AMEX,LVL,2008-06-24,0.135
AMEX,LVL,2008-05-23,0.135
AMEX,LVL,2008-04-24,0.135
AMEX,LVL,2008-03-25,0.135
AMEX,LVL,2008-02-25,0.135
AMEX,LVL,2008-01-28,0.135
AMEX,LVL,2007-12-26,0.31
AMEX,LVL,2007-11-26,0.135
AMEX,LVL,2007-10-25,0.135
AMEX,LVL,2007-09-24,0.135
AMEX,LVL,2007-08-27,0.135
AMEX,LAG,2010-02-01,0.14
AMEX,LAG,2009-12-29,1.09
AMEX,LAG,2009-12-01,0.167
AMEX,LAG,2009-11-02,0.161
AMEX,LAG,2009-10-01,0.158
AMEX,LAG,2009-09-01,0.155
AMEX,LAG,2009-08-03,0.151
AMEX,LAG,2009-07-01,0.164
AMEX,LAG,2009-06-01,0.154
AMEX,LAG,2009-05-01,0.157
AMEX,LAG,2009-04-01,0.168
AMEX,LAG,2009-03-02,0.169
AMEX,LAG,2009-02-02,0.174
AMEX,LAG,2008-12-29,0.234
AMEX,LAG,2008-12-01,0.188
AMEX,LAG,2008-11-03,0.202
AMEX,LAG,2008-10-01,0.198
AMEX,LAG,2008-09-02,0.199
AMEX,LAG,2008-08-01,0.205
AMEX,LAG,2008-07-01,0.194
AMEX,LAG,2008-06-02,0.205
AMEX,LAG,2008-05-01,0.166
AMEX,LAG,2008-04-01,0.237
AMEX,LAG,2008-03-03,0.211
AMEX,LAG,2008-02-01,0.212
AMEX,LAG,2007-12-28,0.215
AMEX,LAG,2007-12-03,0.193
AMEX,LAG,2007-11-01,0.238
AMEX,LAG,2007-10-01,0.238
AMEX,LAG,2007-09-04,0.235
AMEX,LAG,2007-08-01,0.231
AMEX,LAG,2007-07-02,0.239
AMEX,LGL,1999-09-02,52.0
AMEX,LZR,2009-12-21,0.4
AMEX,LZR,2008-12-24,0.3
AMEX,LZR,2007-12-26,0.3
AMEX,LBY,2008-10-24,0.025
AMEX,LBY,2008-08-01,0.025
AMEX,LBY,2008-05-23,0.025
AMEX,LBY,2008-02-14,0.025
AMEX,LBY,2007-10-25,0.025
AMEX,LBY,2007-08-03,0.025
AMEX,LBY,2007-05-14,0.025
AMEX,LBY,2007-02-15,0.025
AMEX,LBY,2006-11-06,0.025
AMEX,LBY,2006-08-07,0.025
AMEX,LBY,2006-05-17,0.025
AMEX,LBY,2006-02-23,0.025
AMEX,LBY,2005-11-08,0.1
AMEX,LBY,2005-08-08,0.1
AMEX,LBY,2005-05-18,0.1
AMEX,LBY,2005-02-14,0.1
AMEX,LBY,2004-11-02,0.1
AMEX,LBY,2004-08-03,0.1
AMEX,LBY,2004-05-20,0.1
AMEX,LBY,2004-02-11,0.1
AMEX,LBY,2003-11-04,0.1
AMEX,LBY,2003-08-05,0.1
AMEX,LBY,2003-05-13,0.1
AMEX,LBY,2003-02-07,0.1
AMEX,LBY,2002-11-04,0.075
AMEX,LBY,2002-08-05,0.075
AMEX,LBY,2002-05-06,0.075
AMEX,LBY,2002-02-15,0.075
AMEX,LBY,2001-11-06,0.075
AMEX,LBY,2001-08-07,0.075
AMEX,LBY,2001-05-08,0.075
AMEX,LBY,2001-02-20,0.075
AMEX,LBY,2000-11-10,0.075
AMEX,LBY,2000-08-11,0.075
AMEX,LBY,2000-05-09,0.075
AMEX,LBY,2000-02-23,0.075
AMEX,LBY,1999-11-08,0.075
AMEX,LBY,1999-07-29,0.075
AMEX,LBY,1999-05-11,0.075
AMEX,LBY,1999-02-23,0.075
AMEX,LBY,1998-11-09,0.075
AMEX,LBY,1998-08-10,0.075
AMEX,LBY,1998-05-11,0.075
AMEX,LBY,1998-02-23,0.075
AMEX,LBY,1997-08-12,0.075
