exchange,stock_symbol,date,dividends
AMEX,MCF,2007-03-16,0.15
AMEX,MST,2009-10-13,0.025
AMEX,MST,2008-10-10,0.025
AMEX,MST,2008-04-11,0.025
AMEX,MDY,2009-12-18,0.488
AMEX,MDY,2009-09-18,0.389
AMEX,MDY,2009-06-19,0.394
AMEX,MDY,2008-12-19,0.555
AMEX,MDY,2008-09-19,0.437
AMEX,MDY,2008-06-20,0.435
AMEX,MDY,2008-03-20,0.393
AMEX,MDY,2007-12-21,0.447
AMEX,MDY,2007-09-21,0.351
AMEX,MDY,2007-06-15,0.424
AMEX,MDY,2007-03-16,0.614
AMEX,MDY,2006-09-15,0.34
AMEX,MDY,2006-06-16,0.405
AMEX,MDY,2006-03-17,0.38
AMEX,MDY,2005-12-16,0.364
AMEX,MDY,2005-09-16,0.317
AMEX,MDY,2005-06-17,0.487
AMEX,MDY,2005-03-18,0.231
AMEX,MDY,2004-12-17,0.306
AMEX,MDY,2004-09-17,0.235
AMEX,MDY,2004-06-18,0.269
AMEX,MDY,2004-03-19,0.246
AMEX,MDY,2003-12-19,0.236
AMEX,MDY,2003-09-19,0.202
AMEX,MDY,2003-06-20,0.198
AMEX,MDY,2003-03-21,0.223
AMEX,MDY,2002-12-20,0.191
AMEX,MDY,2002-09-20,0.175
AMEX,MDY,2002-06-21,0.179
AMEX,MDY,2002-03-15,0.173
AMEX,MDY,2001-12-21,0.195
AMEX,MDY,2001-09-21,0.17
AMEX,MDY,2001-06-15,0.181
AMEX,MDY,2001-03-16,0.167
AMEX,MDY,2000-12-15,0.193
AMEX,MDY,2000-09-15,0.202
AMEX,MDY,2000-06-16,0.207
AMEX,MDY,2000-03-17,0.179
AMEX,MDY,1999-12-20,2.0
AMEX,MDY,1999-12-17,0.185
AMEX,MDY,1999-09-17,0.155
AMEX,MDY,1999-06-18,0.156
AMEX,MDY,1999-03-19,0.152
AMEX,MDY,1998-12-21,1.5
AMEX,MDY,1998-12-18,0.158
AMEX,MDY,1998-09-18,0.152
AMEX,MDY,1998-06-19,0.152
AMEX,MDY,1998-03-20,0.152
AMEX,MDY,1997-12-24,0.16
AMEX,MDY,1997-12-19,0.16
AMEX,MDY,1997-09-19,0.16
AMEX,MDY,1997-06-20,0.16
AMEX,MDY,1997-03-21,0.16
AMEX,MDY,1996-12-20,0.155
AMEX,MDY,1996-06-21,0.155
AMEX,MHJ,2007-07-20,0.25
AMEX,MOO,2009-12-23,0.422
AMEX,MOO,2008-12-26,0.282
AMEX,MRM,1997-06-04,0.09091
AMEX,MRM,1997-03-05,0.09091
AMEX,MRM,1996-12-03,0.09091
AMEX,MRM,1996-09-03,0.09091
AMEX,MRM,1996-05-30,0.09091
AMEX,MRM,1996-02-28,0.09091
AMEX,MRM,1995-11-30,0.09091
AMEX,MRM,1995-08-31,0.09091
AMEX,MRM,1995-05-25,0.09091
AMEX,MRM,1995-02-27,0.09091
AMEX,MRM,1994-11-28,0.09091
AMEX,MRM,1994-08-29,0.09091
AMEX,MRM,1994-05-25,0.09091
AMEX,MRM,1994-03-07,0.09091
AMEX,MRM,1993-11-26,0.06818
AMEX,MRM,1993-08-26,0.06818
AMEX,MRM,1993-05-26,0.06818
AMEX,MRM,1993-03-04,0.06818
AMEX,MRM,1992-12-03,0.06818
AMEX,MRM,1992-09-08,0.06818
AMEX,MRM,1992-06-01,0.06818
AMEX,MMV,2010-02-08,0.076
AMEX,MMV,2010-01-07,0.076
AMEX,MMV,2009-12-08,0.076
AMEX,MMV,2009-11-06,0.076
AMEX,MMV,2009-10-07,0.076
AMEX,MMV,2009-09-08,0.076
AMEX,MMV,2009-08-06,0.076
AMEX,MMV,2009-07-08,0.07
AMEX,MMV,2009-06-08,0.07
AMEX,MMV,2009-05-07,0.07
AMEX,MMV,2009-04-08,0.07
AMEX,MMV,2009-03-06,0.066
AMEX,MMV,2009-02-06,0.066
AMEX,MMV,2009-01-08,0.056
AMEX,MMV,2008-12-08,0.056
AMEX,MMV,2008-11-06,0.056
AMEX,MMV,2008-10-08,0.056
AMEX,MMV,2008-09-08,0.056
AMEX,MMV,2008-08-07,0.056
AMEX,MMV,2008-07-08,0.053
AMEX,MMV,2008-06-06,0.053
AMEX,MMV,2008-05-08,0.053
AMEX,MMV,2008-04-08,0.053
AMEX,MMV,2008-03-06,0.053
AMEX,MMV,2008-02-07,0.053
AMEX,MMV,2008-01-08,0.053
AMEX,MMV,2007-12-06,0.053
AMEX,MMV,2007-11-07,0.053
AMEX,MMV,2007-10-05,0.053
AMEX,MMV,2007-09-06,0.053
AMEX,MMV,2007-08-08,0.053
AMEX,MMV,2007-07-06,0.053
AMEX,MMV,2007-06-07,0.053
AMEX,MMV,2007-05-08,0.053
AMEX,MMV,2007-04-05,0.053
AMEX,MMV,2007-03-08,0.053
AMEX,MMV,2007-02-08,0.053
