exchange,stock_symbol,date,dividends
AMEX,OTT,2009-12-11,0.42
AMEX,OTT,2009-09-11,0.42
AMEX,OTT,2009-06-11,0.42
AMEX,OTT,2009-03-11,0.42
AMEX,OTT,2008-12-11,0.42
AMEX,OTT,2008-09-11,0.42
AMEX,OTT,2008-06-11,0.42
AMEX,OTT,2008-03-12,0.42
AMEX,OTT,2007-12-12,0.42
AMEX,OTT,2007-09-12,0.42
AMEX,OTT,2007-06-13,0.42
AMEX,OTT,2007-03-13,0.42
AMEX,OTT,2006-12-13,0.42
AMEX,OTT,2006-09-13,0.42
AMEX,OTT,2006-06-13,0.42
AMEX,OTT,2006-03-13,0.42
AMEX,OTT,2005-12-13,0.42
AMEX,OTT,2005-09-13,0.42
AMEX,OTT,2005-06-13,0.42
AMEX,OTT,2005-03-11,0.449
AMEX,OHB,2008-06-12,0.02
AMEX,OHB,2008-03-14,0.02
AMEX,OHB,2007-10-18,0.02
AMEX,OHB,2007-08-01,0.0
AMEX,OHB,2007-04-03,0.02
AMEX,OHB,2007-01-03,0.02
AMEX,OHB,2006-10-04,0.02
AMEX,OHB,2006-07-05,0.02
AMEX,OHB,2006-04-05,0.02
AMEX,OHB,2006-01-11,0.02
AMEX,OHB,2005-10-07,0.02
AMEX,OHB,2005-07-11,0.02
AMEX,OHB,2005-03-31,0.02
AMEX,OIH,2010-01-28,0.032
AMEX,OIH,2009-12-11,0.014
AMEX,OIH,2009-12-09,0.019
AMEX,OIH,2009-12-03,0.003
AMEX,OIH,2009-12-02,0.013
AMEX,OIH,2009-12-01,0.04
AMEX,OIH,2009-11-30,0.245
AMEX,OIH,2009-11-05,0.011
AMEX,OIH,2009-10-29,0.252
AMEX,OIH,2009-09-11,0.014
AMEX,OIH,2009-09-09,0.019
AMEX,OIH,2009-09-02,0.015
AMEX,OIH,2009-08-31,0.086
AMEX,OIH,2009-08-07,0.021
AMEX,OIH,2009-07-30,0.252
AMEX,OIH,2009-06-12,0.014
AMEX,OIH,2009-06-10,0.019
AMEX,OIH,2009-06-03,0.013
AMEX,OIH,2009-06-01,0.046
AMEX,OIH,2009-05-28,0.04
AMEX,OIH,2009-04-30,0.032
AMEX,OIH,2009-04-29,0.22
AMEX,OIH,2009-03-12,0.014
AMEX,OIH,2009-03-11,0.019
AMEX,OIH,2009-03-05,0.003
AMEX,OIH,2009-02-27,0.052
AMEX,OIH,2009-02-13,0.046
AMEX,OIH,2009-02-11,0.22
AMEX,OIH,2009-02-09,0.009
AMEX,OIH,2009-01-29,0.032
AMEX,OIH,2008-12-11,0.014
AMEX,OIH,2008-12-10,0.019
AMEX,OIH,2008-12-04,0.003
AMEX,OIH,2008-12-03,0.013
AMEX,OIH,2008-12-01,0.086
AMEX,OIH,2008-11-12,0.008
AMEX,OIH,2008-11-07,0.009
AMEX,OIH,2008-10-30,0.252
AMEX,OIH,2008-09-11,0.014
AMEX,OIH,2008-09-10,0.019
AMEX,OIH,2008-09-04,0.003
AMEX,OIH,2008-09-03,0.013
AMEX,OIH,2008-08-29,0.046
AMEX,OIH,2008-08-28,0.04
AMEX,OIH,2008-08-12,0.008
AMEX,OIH,2008-08-11,0.009
AMEX,OIH,2008-07-31,0.032
AMEX,OIH,2008-07-30,0.152
AMEX,OIH,2008-06-12,0.014
AMEX,OIH,2008-06-11,0.019
AMEX,OIH,2008-06-05,0.003
AMEX,OIH,2008-06-04,0.013
AMEX,OIH,2008-06-02,0.046
AMEX,OIH,2008-05-29,0.04
AMEX,OIH,2008-05-28,0.008
AMEX,OIH,2008-05-12,0.009
AMEX,OIH,2008-05-01,0.027
AMEX,OIH,2008-04-30,0.152
AMEX,OIH,2008-04-28,0.165
AMEX,OIH,2008-04-25,2.088
AMEX,OIH,2008-03-12,0.033
AMEX,OIH,2008-03-06,0.003
AMEX,OIH,2008-02-29,0.008
AMEX,OIH,2008-02-28,0.04
AMEX,OIH,2008-02-15,0.055
AMEX,OIH,2008-02-13,0.152
AMEX,OIH,2008-02-12,0.008
AMEX,OIH,2008-01-31,0.027
AMEX,OIH,2007-12-14,0.014
AMEX,OIH,2007-12-12,0.016
AMEX,OIH,2007-12-06,0.003
AMEX,OIH,2007-12-03,0.039
AMEX,OIH,2007-11-30,0.008
AMEX,OIH,2007-11-29,0.04
AMEX,OIH,2007-11-28,10.432
AMEX,OIH,2007-11-09,0.008
AMEX,OIH,2007-11-05,0.009
AMEX,OIH,2007-11-01,0.027
AMEX,OIH,2007-10-31,0.152
AMEX,OIH,2007-09-12,0.016
AMEX,OIH,2007-09-11,0.014
AMEX,OIH,2007-09-06,0.003
AMEX,OIH,2007-09-05,0.009
AMEX,OIH,2007-08-31,0.039
AMEX,OIH,2007-08-29,0.048
AMEX,OIH,2007-08-10,0.008
AMEX,OIH,2007-08-02,0.027
AMEX,OIH,2007-08-01,0.014
AMEX,OIH,2007-06-27,0.045
AMEX,OIH,2007-06-13,0.03
AMEX,OIH,2007-06-07,0.011
