exchange,stock_symbol,date,dividends
AMEX,PWZ,2010-01-15,0.094
AMEX,PWZ,2009-12-15,0.099
AMEX,PWZ,2009-11-13,0.089
AMEX,PWZ,2009-10-15,0.092
AMEX,PWZ,2009-09-15,0.092
AMEX,PWZ,2009-08-14,0.087
AMEX,PWZ,2009-07-15,0.096
AMEX,PWZ,2009-06-15,0.093
AMEX,PWZ,2009-05-15,0.09
AMEX,PWZ,2009-04-15,0.083
AMEX,PWZ,2009-03-13,0.091
AMEX,PWZ,2009-02-13,0.096
AMEX,PWZ,2009-01-15,0.08
AMEX,PWZ,2008-12-15,0.096
AMEX,PWZ,2008-11-14,0.086
AMEX,PWZ,2008-10-15,0.082
AMEX,PWZ,2008-09-15,0.077
AMEX,PWZ,2008-08-15,0.089
AMEX,PWZ,2008-07-15,0.089
AMEX,PWZ,2008-06-13,0.088
AMEX,PWZ,2008-05-15,0.085
AMEX,PWZ,2008-04-15,0.084
AMEX,PWZ,2008-03-14,0.082
AMEX,PWZ,2008-02-15,0.092
AMEX,PWZ,2008-01-15,0.092
AMEX,PWZ,2007-12-14,0.143
AMEX,PWZ,2007-11-15,0.092
AMEX,PBN,2010-01-15,0.051
AMEX,PBN,2009-12-18,0.05
AMEX,PBN,2009-11-20,0.062
AMEX,PBN,2009-10-16,0.049
AMEX,PBN,2009-09-18,0.048
AMEX,PBN,2009-08-21,0.058
AMEX,PBN,2009-07-17,0.046
AMEX,PBN,2009-05-15,0.043
AMEX,PBN,2009-04-17,0.041
AMEX,PBN,2009-03-20,0.04
AMEX,PBN,2009-02-20,0.053
AMEX,PBN,2009-01-16,0.043
AMEX,PBN,2008-12-19,0.041
AMEX,PBN,2008-11-21,0.059
AMEX,PBN,2008-10-17,0.061
AMEX,PBN,2008-09-19,0.078
AMEX,PBN,2008-08-15,0.061
AMEX,PBN,2008-07-18,0.063
AMEX,PBN,2008-06-20,0.084
AMEX,PBN,2008-05-16,0.066
AMEX,PBN,2008-04-18,0.067
AMEX,PBN,2008-03-20,0.078
AMEX,PBN,2008-02-15,0.063
AMEX,PBN,2008-01-18,0.069
AMEX,PBN,2007-12-21,0.084
AMEX,PBN,2007-11-16,0.069
AMEX,PBN,2007-10-19,0.069
AMEX,PW,2009-12-04,0.13
AMEX,PW,2009-09-03,0.13
AMEX,PW,2009-06-05,0.12
AMEX,PW,2009-03-06,0.12
AMEX,PW,2008-12-04,0.13
AMEX,PW,2008-09-04,0.13
AMEX,PW,2008-06-05,0.12
AMEX,PW,2008-03-06,0.13
AMEX,PW,2007-12-05,0.13
AMEX,PW,2007-09-05,0.13
AMEX,PW,2007-06-06,0.13
AMEX,PW,2007-03-07,0.13
AMEX,PW,2006-12-06,0.13
AMEX,PW,2006-09-06,0.13
AMEX,PW,2006-06-07,0.13
AMEX,PW,2006-03-08,0.13
AMEX,PW,2005-12-07,0.13
AMEX,PW,2005-09-07,0.13
AMEX,PW,2005-06-07,0.12
AMEX,PW,2005-03-09,0.14
AMEX,PW,2004-12-08,0.13
AMEX,PW,2004-09-08,0.12
AMEX,PW,2004-06-03,0.13
AMEX,PW,2004-03-04,0.13
AMEX,PW,2003-12-05,0.13
AMEX,PW,2003-09-10,0.13
AMEX,PW,2003-06-04,0.14
AMEX,PW,2003-03-05,0.13
AMEX,PW,2002-12-05,0.14
