exchange,stock_symbol,date,dividends
AMEX,QLD,2008-06-24,0.033
AMEX,QLD,2007-12-20,5.088
AMEX,QLD,2007-03-27,0.012
AMEX,QLD,2006-12-20,5.421
AMEX,QCC,2008-12-11,0.045
AMEX,QCC,2008-09-11,0.045
AMEX,QCC,2008-06-11,0.045
AMEX,QCC,2008-03-12,0.025
AMEX,QCC,2007-12-12,0.025
AMEX,QCC,2007-09-12,0.025
AMEX,QCC,2007-06-13,0.025
AMEX,QCC,2007-03-14,0.02
AMEX,QCC,2006-11-13,0.02
AMEX,QCC,2006-06-19,0.03
AMEX,QCC,2005-12-15,0.03
AMEX,QID,2008-12-23,9.505
AMEX,QID,2008-09-24,0.202
AMEX,QID,2008-06-24,0.092
AMEX,QID,2008-03-25,0.272
AMEX,QID,2007-12-20,0.471
AMEX,QID,2007-09-25,0.551
AMEX,QID,2007-06-26,0.416
AMEX,QID,2007-03-27,0.342
AMEX,QID,2006-12-20,0.567
