exchange,stock_symbol,date,dividends
AMEX,RNJ,2010-01-13,0.064
AMEX,RNJ,2009-12-11,0.064
AMEX,RNJ,2009-11-10,0.064
AMEX,RNJ,2009-10-13,0.064
AMEX,RNJ,2009-09-11,0.064
AMEX,RNJ,2009-08-12,0.061
AMEX,RNJ,2009-07-13,0.061
AMEX,RNJ,2009-06-11,0.061
AMEX,RNJ,2009-05-13,0.051
AMEX,RNJ,2009-04-13,0.051
AMEX,RNJ,2009-03-12,0.051
AMEX,RNJ,2009-02-11,0.051
AMEX,RNJ,2009-01-13,0.051
AMEX,RNJ,2008-12-11,0.051
AMEX,RNJ,2008-11-12,0.051
AMEX,RNJ,2008-10-10,0.051
AMEX,RNJ,2008-09-11,0.051
AMEX,RNJ,2008-08-13,0.051
AMEX,RNJ,2008-07-11,0.051
AMEX,RNJ,2008-06-12,0.051
AMEX,RNJ,2008-05-13,0.068
AMEX,RNJ,2008-04-11,0.068
AMEX,RNJ,2008-03-12,0.068
AMEX,RNJ,2008-02-13,0.068
AMEX,RNJ,2008-01-17,0.068
AMEX,RNJ,2007-12-26,0.029
AMEX,RNJ,2007-12-12,0.068
AMEX,RNJ,2007-11-13,0.068
AMEX,RNJ,2007-10-11,0.068
AMEX,RNJ,2007-09-12,0.068
AMEX,RNJ,2007-08-13,0.068
AMEX,RNJ,2007-07-12,0.068
AMEX,RNJ,2007-06-13,0.068
AMEX,RNJ,2007-05-11,0.068
AMEX,RNJ,2007-04-12,0.068
AMEX,RNJ,2007-03-13,0.068
AMEX,RNJ,2007-02-13,0.07
AMEX,RNJ,2007-01-11,0.07
AMEX,RNJ,2006-12-22,0.038
AMEX,RNJ,2006-12-13,0.07
AMEX,RNJ,2006-11-13,0.07
AMEX,RNJ,2006-10-13,0.07
AMEX,RNJ,2006-10-12,0.07
AMEX,RNJ,2006-09-13,0.07
AMEX,RNJ,2006-08-11,0.07
AMEX,RNJ,2006-07-12,0.132
AMEX,RNJ,2006-06-13,0.07
AMEX,RNJ,2006-05-11,0.07
AMEX,RNJ,2006-04-12,0.07
AMEX,RNJ,2006-03-13,0.07
AMEX,RNJ,2006-02-13,0.07
AMEX,RNJ,2006-01-12,0.07
AMEX,RNJ,2005-12-23,0.064
AMEX,RNJ,2005-12-13,0.07
AMEX,RNJ,2005-11-10,0.07
AMEX,RNJ,2005-10-12,0.07
AMEX,RNJ,2005-09-13,0.07
AMEX,RNJ,2005-08-11,0.07
AMEX,RNJ,2005-07-13,0.07
AMEX,RNJ,2005-06-13,0.067
AMEX,RNJ,2005-05-12,0.067
AMEX,RNJ,2005-04-13,0.067
AMEX,RNJ,2005-03-11,0.067
AMEX,RNJ,2005-02-11,0.067
AMEX,RNJ,2005-01-12,0.067
AMEX,RNJ,2004-12-13,0.067
AMEX,RNJ,2004-11-10,0.067
AMEX,RNJ,2004-10-13,0.067
AMEX,RNJ,2004-09-13,0.067
AMEX,RNJ,2004-08-12,0.067
AMEX,RNJ,2004-07-13,0.067
AMEX,RNJ,2004-06-14,0.067
AMEX,RNJ,2004-05-12,0.067
AMEX,RNJ,2004-04-13,0.067
AMEX,RNJ,2004-03-11,0.067
AMEX,RNJ,2004-02-12,0.067
AMEX,RNJ,2004-01-13,0.067
AMEX,RNJ,2003-12-11,0.067
AMEX,RNJ,2003-11-12,0.067
AMEX,RNJ,2003-10-10,0.067
AMEX,RNJ,2003-09-11,0.067
AMEX,RNJ,2003-08-13,0.067
AMEX,RNJ,2003-07-11,0.067
AMEX,RNJ,2003-06-12,0.066
AMEX,RNJ,2003-05-13,0.066
AMEX,RNJ,2003-04-11,0.066
AMEX,RNJ,2003-03-12,0.066
AMEX,RNJ,2003-02-12,0.066
AMEX,RNJ,2003-01-13,0.066
AMEX,RNJ,2002-12-12,0.066
AMEX,RNJ,2002-11-13,0.066
AMEX,RNJ,2002-10-10,0.066
AMEX,RNJ,2002-09-12,0.066
AMEX,RNJ,2002-08-13,0.066
AMEX,RNJ,2002-07-11,0.066
AMEX,RNJ,2002-06-12,0.061
AMEX,RNJ,2002-05-13,0.061
AMEX,RNJ,2002-04-11,0.061
AMEX,RNJ,2002-03-13,0.061
AMEX,RNJ,2002-02-13,0.061
AMEX,RNJ,2002-01-11,0.061
AMEX,RNJ,2001-12-12,0.061
AMEX,RNJ,2001-11-13,0.061
AMEX,RNJ,2001-10-11,0.061
AMEX,RNJ,2001-08-13,0.061
AMEX,RNJ,2001-07-12,0.061
AMEX,RNJ,2001-06-13,0.061
AMEX,RNJ,2001-05-11,0.061
AMEX,RNJ,2001-04-11,0.061
AMEX,RNJ,2001-03-13,0.061
AMEX,RNJ,2001-02-13,0.061
AMEX,RNJ,2001-01-11,0.061
AMEX,RNJ,2000-12-13,0.061
AMEX,RNJ,2000-11-13,0.061
AMEX,RNJ,2000-10-12,0.061
AMEX,RNJ,2000-09-13,0.061
AMEX,RNJ,2000-08-11,0.061
AMEX,RNJ,2000-07-12,0.061
AMEX,RNJ,2000-06-13,0.061
AMEX,RNJ,2000-05-11,0.061
AMEX,RNJ,2000-04-12,0.061
AMEX,RNJ,2000-03-13,0.061
AMEX,RNJ,2000-02-11,0.061
AMEX,RNJ,2000-01-12,0.061
AMEX,RNJ,1999-12-13,0.061
AMEX,RNJ,1999-11-10,0.061
AMEX,RNJ,1999-10-13,0.061
AMEX,RNJ,1999-09-13,0.061
AMEX,RNJ,1999-08-12,0.061
AMEX,RNJ,1999-07-13,0.061
AMEX,RNJ,1999-06-11,0.061
AMEX,RNJ,1999-05-12,0.061
AMEX,RNJ,1999-04-13,0.061
AMEX,RNJ,1999-03-11,0.061
AMEX,RNJ,1999-02-11,0.061
AMEX,RNJ,1999-01-13,0.061
AMEX,RNJ,1998-12-11,0.061
AMEX,RNJ,1998-11-12,0.061
AMEX,RNJ,1998-10-13,0.061
AMEX,RNJ,1998-09-11,0.061
AMEX,RNJ,1998-08-12,0.061
AMEX,RNJ,1998-07-13,0.061
AMEX,RNJ,1998-06-11,0.061
AMEX,RNJ,1998-05-13,0.058
AMEX,RNJ,1998-04-13,0.058
AMEX,RNJ,1998-03-12,0.058
AMEX,RNJ,1998-02-11,0.058
AMEX,RNJ,1998-01-12,0.058
AMEX,RNJ,1997-12-11,0.058
AMEX,RNJ,1997-11-12,0.058
AMEX,RNJ,1997-10-10,0.058
AMEX,RNJ,1997-09-11,0.058
AMEX,RNJ,1997-08-13,0.058
AMEX,RNJ,1997-07-11,0.058
AMEX,RNJ,1997-06-12,0.058
AMEX,RNJ,1997-05-13,0.058
AMEX,RNJ,1997-04-11,0.058
AMEX,RNJ,1997-03-12,0.058
AMEX,RNJ,1997-02-12,0.058
AMEX,RNJ,1997-01-13,0.058
AMEX,RNJ,1996-12-12,0.058
AMEX,RNJ,1996-11-13,0.058
AMEX,RNJ,1996-10-10,0.058
AMEX,RNJ,1996-09-12,0.058
AMEX,RNJ,1996-08-13,0.058
AMEX,RNJ,1996-07-11,0.058
AMEX,RNJ,1996-06-12,0.058
AMEX,RNJ,1996-05-13,0.058
AMEX,RNJ,1996-04-11,0.058
AMEX,RNJ,1996-03-13,0.058
AMEX,RNJ,1996-02-13,0.064
AMEX,RNJ,1996-01-11,0.064
AMEX,RNJ,1995-12-13,0.064
AMEX,RNJ,1995-11-13,0.064
AMEX,RNJ,1995-10-12,0.064
AMEX,RNJ,1995-09-13,0.055
AMEX,RTM,2009-12-18,0.174
AMEX,RTM,2009-09-18,0.151
AMEX,RTM,2009-03-20,0.188
AMEX,RTM,2008-12-19,0.242
AMEX,RTM,2008-09-19,0.228
AMEX,RTM,2008-06-20,0.294
AMEX,RTM,2008-03-20,0.171
AMEX,RTM,2007-12-21,0.646
AMEX,RTM,2007-09-21,0.188
AMEX,RTM,2007-06-15,0.127
AMEX,RTM,2007-03-16,0.14
AMEX,RTM,2006-12-27,0.149
AMEX,RPV,2009-12-18,0.072
AMEX,RPV,2009-09-18,0.093
AMEX,RPV,2009-03-20,0.163
AMEX,RPV,2008-12-19,0.177
AMEX,RPV,2008-09-19,0.206
AMEX,RPV,2008-06-20,0.256
AMEX,RPV,2008-03-20,0.257
AMEX,RPV,2007-12-21,0.322
AMEX,RPV,2007-09-21,0.205
AMEX,RPV,2007-06-15,0.181
AMEX,RPV,2007-03-16,0.168
AMEX,RPV,2006-12-27,0.195
AMEX,RPV,2006-09-15,0.278
AMEX,RZV,2009-12-18,0.063
AMEX,RZV,2009-09-18,0.032
AMEX,RZV,2009-03-20,0.123
AMEX,RZV,2008-12-19,0.107
AMEX,RZV,2008-09-19,0.204
AMEX,RZV,2008-06-20,0.193
AMEX,RZV,2008-03-20,0.171
AMEX,RZV,2007-12-21,0.13
AMEX,RZV,2007-09-21,0.232
AMEX,RZV,2007-06-15,0.145
AMEX,RZV,2007-03-16,0.146
AMEX,RZV,2006-12-27,0.116
AMEX,RZV,2006-09-15,0.315
AMEX,RPG,2009-12-18,0.046
AMEX,RPG,2009-09-18,0.038
AMEX,RPG,2009-03-20,0.037
AMEX,RPG,2008-12-19,0.066
AMEX,RPG,2008-09-19,0.058
AMEX,RPG,2008-06-20,0.046
AMEX,RPG,2008-03-20,0.042
AMEX,RPG,2007-12-21,0.058
AMEX,RPG,2007-09-21,0.067
