exchange,stock_symbol,date,dividends
AMEX,SVT,2009-04-16,0.15
AMEX,SVT,2008-02-15,0.15
AMEX,SVT,1989-04-17,0.35
AMEX,SVT,1988-05-23,0.1
AMEX,SVT,1988-04-15,0.5
AMEX,SVT,1987-04-14,0.875
AMEX,SSO,2009-12-23,0.009
AMEX,SSO,2009-09-24,0.09
AMEX,SSO,2009-06-24,0.086
AMEX,SSO,2009-03-24,0.108
AMEX,SSO,2008-12-23,0.059
AMEX,SSO,2008-09-24,0.133
AMEX,SSO,2008-06-24,0.214
AMEX,SSO,2008-03-25,0.155
AMEX,SSO,2007-12-20,3.649
AMEX,SSO,2007-09-25,0.244
AMEX,SSO,2007-06-26,0.273
AMEX,SSO,2007-03-27,0.25
AMEX,SSO,2006-12-20,3.797
AMEX,SWH,2010-01-14,0.012
AMEX,SWH,2009-11-17,0.039
AMEX,SWH,2009-11-13,0.007
AMEX,SWH,2009-10-09,0.012
AMEX,SWH,2009-08-06,0.007
AMEX,SWH,2009-07-13,0.012
AMEX,SWH,2009-05-27,0.007
AMEX,SWH,2009-05-19,0.039
AMEX,SWH,2009-05-15,0.108
AMEX,SWH,2009-04-06,0.012
AMEX,SWH,2009-02-17,0.039
AMEX,SWH,2009-02-12,0.007
AMEX,SWH,2008-11-28,0.007
AMEX,SWH,2008-11-18,0.039
AMEX,SWH,2008-09-18,0.007
AMEX,SWH,2008-08-19,0.033
AMEX,SWH,2008-06-16,0.007
AMEX,SWH,2008-05-30,0.125
AMEX,SWH,2008-05-13,0.033
AMEX,SWH,2008-03-12,0.007
AMEX,SWH,2008-02-19,0.033
AMEX,SWH,2007-12-12,0.007
AMEX,SWH,2007-11-13,0.033
AMEX,SWH,2007-09-10,0.007
AMEX,SWH,2007-08-14,0.03
AMEX,SWH,2007-06-20,0.007
AMEX,SWH,2007-06-13,0.008
AMEX,SWH,2007-05-15,0.03
AMEX,SWH,2007-05-08,0.098
AMEX,SWH,2007-03-13,0.007
AMEX,SWH,2007-02-13,0.03
AMEX,SWH,2006-12-13,0.007
AMEX,SWH,2006-11-14,0.03
AMEX,SWH,2006-09-25,0.007
AMEX,SWH,2006-08-15,0.027
AMEX,SWH,2006-06-15,0.007
AMEX,SWH,2006-05-15,0.027
AMEX,SWH,2006-05-05,0.069
AMEX,SWH,2006-03-15,0.007
AMEX,SWH,2006-02-22,0.2
AMEX,SWH,2005-12-13,0.007
AMEX,SWH,2005-11-15,0.024
AMEX,SWH,2005-09-21,0.022
AMEX,SWH,2005-09-14,0.007
AMEX,SWH,2005-08-15,0.024
AMEX,SWH,2005-06-28,0.002
AMEX,SWH,2005-06-13,0.007
AMEX,SWH,2005-05-16,0.024
AMEX,SWH,2005-05-10,0.057
AMEX,SWH,2005-01-13,2.12
AMEX,SWH,2004-11-15,0.924
AMEX,SWH,2004-09-24,0.001
AMEX,SWH,2004-08-23,0.024
AMEX,SWH,2003-10-15,0.048
AMEX,SWH,2003-06-17,0.008
AMEX,SWH,2003-05-19,0.07
AMEX,SWH,2003-05-07,0.025
AMEX,SWH,2003-02-26,0.525
AMEX,SWH,2003-02-25,0.024
AMEX,SWH,2002-06-18,0.007
AMEX,SWH,2001-06-22,0.001
AMEX,SWH,2001-05-01,0.02
AMEX,SSE,2005-04-22,0.0
AMEX,SGC,2009-11-16,0.135
AMEX,SGC,2009-08-17,0.135
AMEX,SGC,2009-05-11,0.135
AMEX,SGC,2009-02-13,0.135
AMEX,SGC,2008-11-10,0.135
AMEX,SGC,2008-08-11,0.135
AMEX,SGC,2008-05-12,0.135
AMEX,SGC,2008-02-11,0.135
AMEX,SGC,2007-11-08,0.135
AMEX,SGC,2007-08-09,0.135
AMEX,SGC,2007-05-14,0.135
AMEX,SGC,2007-02-09,0.135
AMEX,SGC,2006-11-10,0.135
AMEX,SGC,2006-08-10,0.135
AMEX,SGC,2006-05-15,0.135
AMEX,SGC,2006-02-10,0.135
AMEX,SGC,2005-11-09,0.135
AMEX,SGC,2005-07-28,0.135
AMEX,SGC,2005-05-12,0.135
AMEX,SGC,2005-02-17,0.135
AMEX,SGC,2004-11-10,0.135
AMEX,SGC,2004-07-29,0.135
AMEX,SGC,2004-05-13,0.135
AMEX,SGC,2004-02-19,0.135
AMEX,SGC,2003-11-06,0.135
AMEX,SGC,2003-07-31,0.135
AMEX,SGC,2003-05-08,0.135
AMEX,SGC,2003-02-12,0.135
AMEX,SGC,2002-11-06,0.135
AMEX,SGC,2002-08-01,0.135
AMEX,SGC,2002-05-09,0.135
AMEX,SGC,2002-02-13,0.135
AMEX,SGC,2001-11-07,0.135
AMEX,SGC,2001-08-02,0.135
AMEX,SGC,2001-05-10,0.135
AMEX,SGC,2001-02-21,0.135
AMEX,SGC,2000-11-08,0.135
AMEX,SGC,2000-08-03,0.135
AMEX,SGC,2000-05-11,0.135
AMEX,SGC,2000-02-10,0.135
AMEX,SGC,1999-11-10,0.135
AMEX,SGC,1999-08-12,0.135
AMEX,SGC,1999-05-13,0.135
AMEX,SGC,1999-02-10,0.135
AMEX,SGC,1998-11-12,0.135
AMEX,SGC,1998-08-06,0.125
AMEX,SGC,1998-05-14,0.125
AMEX,SGC,1998-02-11,0.125
AMEX,SGC,1997-11-06,0.125
AMEX,SGC,1997-08-07,0.11
AMEX,SGC,1997-05-08,0.11
AMEX,SGC,1997-02-12,0.11
AMEX,SGC,1996-11-14,0.11
AMEX,SGC,1996-08-08,0.09
AMEX,SGC,1996-05-09,0.08
AMEX,SGC,1996-02-14,0.09
AMEX,SGC,1995-11-16,0.09
AMEX,SGC,1995-08-11,0.09
AMEX,SGC,1995-05-05,0.09
AMEX,SGC,1995-02-13,0.08
AMEX,SGC,1994-11-14,0.08
AMEX,SGC,1994-08-15,0.08
AMEX,SGC,1994-05-11,0.08
AMEX,SGC,1994-02-14,0.08
