exchange,stock_symbol,date,dividends
AMEX,TWO,2009-12-29,0.26
AMEX,TLO,2010-02-01,0.18
AMEX,TLO,2009-12-29,0.187
AMEX,TLO,2009-12-01,0.187
AMEX,TLO,2009-11-02,0.18
AMEX,TLO,2009-10-01,0.17
AMEX,TLO,2009-09-01,0.191
AMEX,TLO,2009-08-03,0.195
AMEX,TLO,2009-07-01,0.175
AMEX,TLO,2009-06-01,0.197
AMEX,TLO,2009-05-01,0.182
AMEX,TLO,2009-04-01,0.208
AMEX,TLO,2009-03-02,0.168
AMEX,TLO,2009-02-02,0.225
AMEX,TLO,2008-12-29,0.207
AMEX,TLO,2008-12-01,0.204
AMEX,TLO,2008-11-03,0.21
AMEX,TLO,2008-10-01,0.183
AMEX,TLO,2008-09-02,0.202
AMEX,TLO,2008-08-01,0.203
AMEX,TLO,2008-07-01,0.214
AMEX,TLO,2008-06-02,0.209
AMEX,TLO,2008-05-01,0.204
AMEX,TLO,2008-04-01,0.217
AMEX,TLO,2008-03-03,0.198
AMEX,TLO,2008-02-01,0.2
AMEX,TLO,2007-12-28,0.213
AMEX,TLO,2007-12-03,0.183
AMEX,TLO,2007-11-01,0.206
AMEX,TLO,2007-10-01,0.199
AMEX,TLO,2007-09-04,0.207
AMEX,TLO,2007-08-01,0.207
AMEX,TLO,2007-07-02,0.22
AMEX,TSC,2009-12-11,0.02
AMEX,TSC,2009-09-21,0.02
AMEX,TSC,2009-06-11,0.02
AMEX,TSC,2009-03-12,0.02
AMEX,TSC,2008-12-12,0.02
AMEX,TSC,2008-09-12,0.02
AMEX,TSC,2008-06-12,0.02
AMEX,TSC,2008-03-13,0.02
AMEX,TSC,2007-12-19,0.02
AMEX,TSC,2007-09-20,0.02
AMEX,TSC,2007-07-20,0.02
AMEX,TSC,2007-03-21,0.02
AMEX,TSC,2006-12-12,0.02
AMEX,TSC,2006-09-06,0.02
AMEX,TSC,2006-06-12,0.02
AMEX,TSC,2006-03-08,0.02
AMEX,TSC,2005-11-16,0.02
AMEX,TSC,2005-08-19,0.02
AMEX,TSC,2005-05-13,0.02
AMEX,TSC,2005-03-04,0.02
AMEX,TSC,2004-11-02,0.02
AMEX,TSC,2004-09-16,2.0
AMEX,TSC,2004-07-30,0.02
AMEX,TSC,2004-05-04,0.02
AMEX,TSC,2004-01-30,0.02
AMEX,TSC,2003-11-05,0.02
AMEX,TSC,2003-07-30,0.02
AMEX,TSC,2003-04-29,0.02
AMEX,TSC,2003-02-10,0.02
AMEX,TSC,2002-10-29,0.02
AMEX,TSC,2002-07-29,0.02
AMEX,TSC,2002-04-30,0.02
AMEX,TSC,2002-02-05,0.02
AMEX,TSC,2001-10-29,0.02
AMEX,TSC,2001-07-31,0.02
AMEX,TSC,2001-05-01,0.02
AMEX,TSC,2001-01-29,0.02
AMEX,TSC,2000-10-30,0.02
AMEX,TSC,2000-07-31,0.02
AMEX,TSC,2000-05-01,0.02
AMEX,TSC,2000-01-28,0.02
AMEX,TSC,1999-10-28,0.02
AMEX,TSC,1999-07-30,0.02
AMEX,TSC,1999-04-29,0.02
AMEX,TSC,1999-01-28,0.02
AMEX,TSC,1998-10-29,0.02
AMEX,TSC,1998-07-30,0.02
AMEX,TSC,1998-04-29,0.02
AMEX,TSC,1998-01-29,0.02
AMEX,TSC,1997-10-29,0.02
AMEX,TSC,1997-07-30,0.02
AMEX,TSC,1997-04-29,0.02
AMEX,TSC,1997-01-29,0.02
AMEX,TSC,1996-10-31,0.02
AMEX,TSC,1996-07-30,0.02
AMEX,TSC,1996-04-29,0.02
AMEX,TSC,1996-01-30,0.02
AMEX,TSC,1995-11-02,0.02
AMEX,TSC,1995-07-28,0.02
AMEX,TLX,2006-04-18,0.035
AMEX,TLX,2006-01-11,0.035
AMEX,TLX,2005-10-05,0.035
AMEX,TLX,2005-06-21,0.035
AMEX,TLX,2005-04-18,0.035
AMEX,TLX,2005-01-12,0.035
AMEX,TLX,2004-10-06,0.035
AMEX,TLX,2004-06-28,0.035
AMEX,TLX,2004-04-16,0.035
AMEX,TLX,2004-01-14,0.035
AMEX,TLX,2003-10-08,0.035
AMEX,TLX,2003-06-26,0.035
AMEX,TLX,2003-04-08,0.035
AMEX,TLX,2003-01-17,0.035
AMEX,TLX,2002-10-04,0.035
AMEX,TLX,2002-06-26,0.035
AMEX,TLX,2002-04-08,0.035
AMEX,TLX,2002-01-03,0.035
AMEX,TLX,2001-10-04,0.035
AMEX,TLX,2001-06-20,0.035
AMEX,TLX,2001-04-03,0.035
AMEX,TLX,2001-01-02,0.035
AMEX,TLX,2000-10-04,0.035
AMEX,TLX,2000-06-21,0.035
AMEX,TLX,2000-03-30,0.035
AMEX,TLX,1999-12-31,0.035
AMEX,TLX,1999-10-06,0.035
AMEX,TLX,1999-06-30,0.036
AMEX,TLX,1999-03-31,0.035
AMEX,TLX,1998-12-30,0.035
AMEX,TLX,1998-10-07,0.035
AMEX,TLX,1998-07-02,0.035
AMEX,TLX,1998-04-02,0.035
AMEX,TLX,1997-12-31,0.035
AMEX,TLX,1997-10-08,0.035
AMEX,TLX,1997-07-02,0.035
AMEX,TLX,1997-03-20,0.035
AMEX,TLX,1996-12-31,0.035
AMEX,TLX,1996-10-02,0.035
AMEX,TLX,1996-07-02,0.035
AMEX,TLX,1996-03-27,0.035
AMEX,TLX,1995-12-13,0.035
AMEX,TLX,1995-09-18,0.035
AMEX,TLX,1995-06-26,0.035
AMEX,TLX,1995-03-27,0.035
AMEX,TLX,1994-12-12,0.035
AMEX,TLX,1994-09-14,0.035
AMEX,TLX,1994-06-22,0.035
AMEX,TLX,1994-03-29,0.035
AMEX,TLX,1993-12-13,0.035
AMEX,TLX,1993-09-14,0.03
AMEX,TLX,1993-06-17,0.03
AMEX,TLX,1993-03-12,0.03
AMEX,TLX,1992-12-14,0.03
AMEX,TLX,1992-09-14,0.03
AMEX,TLX,1992-06-17,0.03
AMEX,TF,2009-12-18,0.174
AMEX,TF,2008-12-18,0.084
AMEX,TF,2007-12-19,0.2
AMEX,TF,2006-12-26,0.28
AMEX,TF,2005-12-28,0.095
AMEX,TF,2004-12-29,0.04
AMEX,TF,2003-12-29,0.062
AMEX,TCX,2001-05-11,0.067
AMEX,TPI,2010-01-27,0.025
