exchange,stock_symbol,date,dividends
AMEX,UPW,2009-12-23,0.249
AMEX,UPW,2009-09-24,0.239
AMEX,UPW,2009-06-24,0.231
AMEX,UPW,2009-03-24,0.221
AMEX,UPW,2008-12-23,0.215
AMEX,UPW,2008-09-24,0.255
AMEX,UPW,2008-06-24,0.383
AMEX,UPW,2008-03-25,0.39
AMEX,UPW,2007-12-20,4.581
AMEX,UPW,2007-09-25,0.433
AMEX,UPW,2007-06-26,0.847
AMEX,UVE,2009-11-12,0.2
AMEX,UVE,2009-09-01,0.12
AMEX,UVE,2009-04-07,0.12
AMEX,UVE,2009-02-10,0.1
AMEX,UVE,2008-11-28,0.2
AMEX,UVE,2008-09-30,0.1
AMEX,UVE,2008-07-07,0.1
AMEX,UVE,2008-03-06,0.09
AMEX,UVE,2007-09-25,0.08
AMEX,UVE,2007-07-18,0.07
AMEX,UVT,2009-12-23,0.023
AMEX,UVT,2009-09-24,0.036
AMEX,UVT,2009-06-24,0.042
AMEX,UVT,2009-03-24,0.041
AMEX,UVT,2008-12-23,0.057
AMEX,UVT,2008-09-24,0.105
AMEX,UVT,2008-06-24,0.136
AMEX,UVT,2008-03-25,0.105
AMEX,UVT,2007-12-20,0.151
AMEX,UVT,2007-09-25,0.218
AMEX,UVT,2007-06-26,0.459
AMEX,UG,2009-12-16,0.32
AMEX,UG,2009-05-28,0.28
AMEX,UG,2008-12-11,0.28
AMEX,UG,2008-05-29,0.27
AMEX,UG,2007-12-13,0.28
AMEX,UG,2007-05-30,0.27
AMEX,UG,2006-12-22,0.22
AMEX,UG,2006-05-31,0.25
AMEX,UG,2005-12-13,0.22
AMEX,UG,2005-05-27,0.25
AMEX,UG,2004-12-13,0.18
AMEX,UG,2004-09-22,0.25
AMEX,UG,2003-12-11,0.15
AMEX,UG,2002-12-18,0.1
AMEX,UG,2001-12-21,0.1
AMEX,UG,2000-12-14,0.1
AMEX,UG,1999-12-13,0.08
AMEX,UG,1999-12-08,0.018
AMEX,UG,1998-12-08,0.018
AMEX,UG,1997-12-10,0.06
AMEX,UKW,2009-12-23,0.015
AMEX,UKW,2009-09-24,0.003
