exchange,stock_symbol,date,dividends
AMEX,VIG,2009-12-22,0.241
AMEX,VIG,2009-09-24,0.231
AMEX,VIG,2009-03-25,0.276
AMEX,VIG,2008-12-22,0.257
AMEX,VIG,2008-09-24,0.268
AMEX,VIG,2008-06-24,0.281
AMEX,VIG,2008-03-25,0.22
AMEX,VIG,2007-12-20,0.281
AMEX,VIG,2007-09-24,0.217
AMEX,VIG,2007-06-25,0.191
AMEX,VIG,2007-03-26,0.184
AMEX,VIG,2006-12-22,0.251
AMEX,VIG,2006-09-25,0.177
AMEX,VIG,2006-06-26,0.098
AMEX,VAW,2009-12-22,0.923
AMEX,VAW,2008-12-22,1.599
AMEX,VAW,2007-12-14,1.277
AMEX,VAW,2006-12-18,1.136
AMEX,VAW,2005-12-22,0.968
AMEX,VAW,2004-12-22,0.975
AMEX,VPL,2009-12-24,1.421
AMEX,VPL,2008-12-24,0.823
AMEX,VPL,2007-12-24,1.669
AMEX,VPL,2006-12-22,1.473
AMEX,VPL,2005-12-27,0.93
AMEX,VEU,2009-12-24,0.863
AMEX,VEU,2008-12-24,0.785
AMEX,VEU,2007-12-24,0.51
AMEX,VBK,2009-12-24,0.229
AMEX,VBK,2009-03-23,0.011
AMEX,VBK,2008-03-12,0.011
AMEX,VBK,2007-12-20,0.405
AMEX,VBK,2007-03-22,0.01
AMEX,VBK,2006-12-22,0.255
AMEX,VBK,2006-03-20,0.01
AMEX,VBK,2005-12-27,0.214
AMEX,VBK,2004-12-22,0.088
AMEX,VO,2009-12-24,0.697
AMEX,VO,2009-03-23,0.033
AMEX,VO,2008-03-12,0.018
AMEX,VO,2007-12-20,1.008
AMEX,VO,2007-03-22,0.017
AMEX,VO,2006-12-22,0.973
AMEX,VO,2005-12-27,0.753
AMEX,VO,2004-12-27,0.641
AMEX,VMM,2010-01-13,0.048
AMEX,VMM,2009-12-09,0.048
AMEX,VMM,2009-11-10,0.048
AMEX,VMM,2009-10-14,0.048
AMEX,VMM,2009-09-09,0.048
