exchange	stock_symbol	date	dividends
AMEX	WAC	2009-12-29	0.5
AMEX	WAC	2009-11-16	0.5
AMEX	WAC	2009-08-17	0.5
AMEX	WAC	2007-05-18	0.15
AMEX	WAC	2006-12-21	0.15
AMEX	WAC	2006-11-20	0.15
AMEX	WAC	2006-08-17	0.2
AMEX	WAC	2006-05-18	0.2
AMEX	WAC	2005-12-28	0.25
AMEX	WAC	2005-11-21	0.25
AMEX	WAC	2005-08-18	0.3
AMEX	WAC	2005-05-25	0.3
AMEX	WAC	2004-12-29	0.3
AMEX	WAC	2004-11-18	0.3
AMEX	WAC	2004-08-20	0.3
AMEX	WAC	2004-05-27	0.3
AMEX	WAC	2004-03-02	0.4
AMEX	WAC	2003-12-29	0.3
AMEX	WAC	2003-11-24	0.3
AMEX	WAC	2003-08-06	0.3
AMEX	WAC	2003-05-20	0.3
AMEX	WAC	2003-03-04	0.15
AMEX	WAC	2002-12-27	0.25
AMEX	WAC	2002-11-21	0.25
AMEX	WAC	2002-08-20	0.25
AMEX	WAC	2002-05-23	0.25
AMEX	WAC	2001-12-27	0.2
AMEX	WAC	2001-11-26	0.2
AMEX	WAC	2001-08-10	0.2
AMEX	WAC	2001-05-11	0.2
AMEX	WAC	2000-12-27	0.2
AMEX	WAC	2000-11-16	0.2
AMEX	WAC	2000-08-11	0.14
AMEX	WAC	2000-05-11	0.12
AMEX	WAC	1999-12-29	0.1
AMEX	WAC	1999-11-10	0.1
AMEX	WAC	1999-08-10	0.1
AMEX	WAC	1999-05-05	0.2
AMEX	WAC	1998-12-29	0.11
AMEX	WAC	1998-09-28	0.17
AMEX	WAC	1998-06-26	0.21
AMEX	WAC	1998-03-27	0.21
AMEX	WOC	2006-06-30	3
AMEX	WOC	1999-01-14	0.1
AMEX	WOC	1998-01-14	0.1
AMEX	WOC	1997-03-31	0.05
AMEX	WOC	1996-08-19	0.005
AMEX	WOC	1995-07-26	0.07
AMEX	WOC	1994-08-16	0.015
AMEX	WOC	1994-07-25	0.015
AMEX	WOC	1993-07-26	0.012
AMEX	WOC	1991-07-09	0.206
AMEX	WOC	1990-07-09	0.12
AMEX	WTT	2005-11-02	0.03
AMEX	WTT	2005-08-02	0.03
AMEX	WTT	2005-05-02	0.03
AMEX	WTT	2005-02-02	0.03
AMEX	WTT	2004-11-03	0.03
AMEX	WTT	2004-08-04	0.03
AMEX	WTT	2004-05-04	0.03
AMEX	WTT	2004-02-04	0.03
AMEX	WTT	2003-11-06	0.03
AMEX	WTT	2003-08-07	0.02
AMEX	WTT	2003-05-08	0.02
AMEX	WTT	2003-01-30	0.02
AMEX	WTT	2002-10-24	0.02
AMEX	WTT	2002-07-17	0.02
AMEX	WTT	2002-04-10	0.02
AMEX	WTT	2001-12-27	0.02
AMEX	WTT	2001-09-26	0.02
AMEX	WTT	2001-06-27	0.02
AMEX	WTT	1998-03-19	0.05
AMEX	WTT	1997-12-18	0.05
AMEX	WTT	1997-09-18	0.05
AMEX	WTT	1997-06-19	0.05
AMEX	WTT	1997-03-20	0.05
AMEX	WTT	1996-12-19	0.04
AMEX	WTT	1996-09-19	0.04
AMEX	WTT	1996-06-20	0.04
AMEX	WTT	1996-03-20	0.03
AMEX	WTT	1995-12-20	0.03
AMEX	WTT	1995-09-20	0.02
AMEX	WTT	1995-06-21	0.02
AMEX	WTT	1995-03-16	0.01333
AMEX	WTT	1994-12-19	0.01333
AMEX	WTT	1994-09-19	0.0125
AMEX	WTT	1994-06-17	0.00834
AMEX	WTT	1994-03-17	0.00834
AMEX	WTT	1993-12-17	0.00834
AMEX	WTT	1993-09-17	0.00834
AMEX	WTT	1993-06-17	0.00834
AMEX	WGA	2008-03-26	5
AMEX	WGA	2007-03-07	0
AMEX	WGA	2006-03-14	0
