exchange,stock_symbol,date,dividends
AMEX,XME,2009-12-18,0.141
AMEX,XME,2009-09-18,0.097
AMEX,XME,2009-06-19,0.106
AMEX,XME,2009-03-20,0.114
AMEX,XME,2008-09-19,0.144
AMEX,XME,2008-06-20,0.116
AMEX,XME,2008-03-20,0.04
AMEX,XME,2007-12-21,0.171
AMEX,XME,2007-09-21,0.077
AMEX,XME,2007-06-15,0.061
AMEX,XME,2007-03-16,0.098
AMEX,XME,2006-09-15,0.09
AMEX,XES,2009-12-18,0.058
AMEX,XES,2009-09-18,0.033
AMEX,XES,2009-06-19,0.037
AMEX,XES,2009-03-20,0.047
AMEX,XES,2008-09-19,0.033
AMEX,XES,2008-06-20,0.061
AMEX,XES,2008-03-20,0.027
AMEX,XES,2007-12-21,0.125
AMEX,XES,2007-09-21,0.001
AMEX,XES,2007-06-15,0.008
AMEX,XES,2007-03-16,0.058
AMEX,XES,2006-09-15,0.005
AMEX,XLU,2009-12-18,0.369
AMEX,XLU,2009-09-18,0.305
AMEX,XLU,2009-06-19,0.317
AMEX,XLU,2009-03-20,0.282
AMEX,XLU,2008-12-19,0.359
AMEX,XLU,2008-09-19,0.3
AMEX,XLU,2008-06-20,0.305
AMEX,XLU,2008-03-20,0.271
AMEX,XLU,2007-12-21,0.327
AMEX,XLU,2007-09-21,0.284
AMEX,XLU,2007-06-15,0.276
AMEX,XLU,2007-03-16,0.208
AMEX,XLU,2006-09-15,0.272
AMEX,XLU,2006-06-16,0.269
AMEX,XLU,2006-03-17,0.242
AMEX,XLU,2005-12-16,0.288
AMEX,XLU,2005-09-16,0.251
AMEX,XLU,2005-06-17,0.249
AMEX,XLU,2005-03-18,0.222
AMEX,XLU,2004-12-17,0.262
AMEX,XLU,2004-09-17,0.209
AMEX,XLU,2004-06-18,0.205
AMEX,XLU,2004-03-19,0.198
AMEX,XLU,2003-12-19,0.212
AMEX,XLU,2003-09-19,0.195
AMEX,XLU,2003-06-20,0.193
AMEX,XLU,2003-03-21,0.197
AMEX,XLU,2002-12-20,0.227
AMEX,XLU,2002-09-20,0.232
AMEX,XLU,2002-06-21,0.237
AMEX,XLU,2002-03-15,0.224
AMEX,XLU,2001-09-21,0.233
AMEX,XLU,2001-06-15,0.219
AMEX,XLU,2001-03-16,0.215
AMEX,XLU,2000-12-18,0.254
AMEX,XLU,2000-12-15,0.238
AMEX,XLU,2000-09-15,0.251
AMEX,XLU,2000-06-16,0.221
AMEX,XLU,1999-12-20,0.182
AMEX,XLU,1999-12-17,0.183
AMEX,XLU,1999-06-18,0.187
AMEX,XLU,1999-03-19,0.19
AMEX,XFN,2004-01-02,0.03
AMEX,XLI,2009-12-18,0.181
AMEX,XLI,2009-09-18,0.144
AMEX,XLI,2009-06-19,0.148
AMEX,XLI,2009-03-20,0.173
AMEX,XLI,2008-09-19,0.176
AMEX,XLI,2008-06-20,0.171
AMEX,XLI,2008-03-20,0.16
AMEX,XLI,2007-12-21,0.186
AMEX,XLI,2007-09-21,0.204
AMEX,XLI,2007-06-15,0.101
AMEX,XLI,2007-03-16,0.076
AMEX,XLI,2006-09-15,0.138
AMEX,XLI,2006-06-16,0.085
AMEX,XLI,2006-03-17,0.126
AMEX,XLI,2005-12-16,0.19
AMEX,XLI,2005-09-16,0.118
AMEX,XLI,2005-06-17,0.075
AMEX,XLI,2005-03-18,0.107
AMEX,XLI,2004-12-17,0.156
AMEX,XLI,2004-09-17,0.099
AMEX,XLI,2004-06-18,0.058
AMEX,XLI,2004-03-19,0.091
AMEX,XLI,2003-12-19,0.13
AMEX,XLI,2003-09-19,0.087
AMEX,XLI,2003-06-20,0.05
AMEX,XLI,2003-03-21,0.076
AMEX,XLI,2002-12-20,0.113
AMEX,XLI,2002-09-20,0.077
AMEX,XLI,2002-06-21,0.059
